Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,UAB,UAB,Tue Nov 9,71,209,UNC Asheville,"W, 102-77",74,Home,1-0,,
2022,UAB,UAB,Fri Nov 12,59,118,Morehead St.,"W, 85-71",70,Home,2-0,,
2022,UAB,UAB,Sun Nov 14,58,NR,Rhodes,"W, 98-61",79,Home,3-0,,
2022,UAB,UAB,Thu Nov 18,56,99,South Carolina,"L, 66-63",73,Away,3-1,,
2022,UAB,UAB,Sun Nov 21,59,314,Alabama A&M,"W, 86-41",74,Home,4-1,,
2022,UAB,UAB,Thu Nov 25,53,161,New Mexico,"W, 86-73",75,Neutral,5-1,,
2022,UAB,UAB,Fri Nov 26,52,23,San Francisco,"L, 63-61",68,Neutral,5-2,,
2022,UAB,UAB,Wed Dec 1,51,186,East Tennessee St.,"W, 70-56",66,Home,6-2,,
2022,UAB,UAB,Sat Dec 4,50,68,Saint Louis,"W, 77-72",66,Away,7-2,,
2022,UAB,UAB,Sun Dec 12,42,NR,Millsaps,"W, 103-29",82,Home,8-2,,
2022,UAB,UAB,Tue Dec 14,42,303,Grambling St.,"W, 79-61",76,Home,9-2,,
2022,UAB,UAB,Sat Dec 18,44,66,West Virginia,"L, 65-59",66,Home,9-3,,
2022,UAB,UAB,Wed Dec 22,53,355,Mississippi Valley St.,"W, 100-58",79,Home,10-3,,
2022,UAB,UAB,Thu Dec 30,49,168,UTEP,"W, 75-62",69,Home,11-3,1-0,
2022,UAB,UAB,Sat Jan 1,50,312,UTSA,"W, 87-59",69,Home,12-3,2-0,
2022,UAB,UAB,Thu Jan 6,44,57,North Texas,"W, 69-63",60,Away,13-3,3-0,
2022,UAB,UAB,Sat Jan 8,42,220,Rice,"L, 85-80",73,Away,13-4,3-1,
2022,UAB,UAB,Thu Jan 13,48,275,FIU,"W, 84-56",68,Home,14-4,4-1,
2022,UAB,UAB,Sat Jan 15,43,129,Florida Atlantic,"W, 76-65",70,Home,15-4,5-1,
2022,UAB,UAB,Sat Jan 22,43,100,Louisiana Tech,"W, 83-76",76,Away,16-4,6-1,
2022,UAB,UAB,Thu Jan 27,40,112,Western Kentucky,"W, 68-65",72,Away,17-4,7-1,
2022,UAB,UAB,Sat Jan 29,40,238,Marshall,"L, 84-81",74,Away,17-5,7-2,
2022,UAB,UAB,Sat Feb 5,50,92,Middle Tennessee,"W, 97-75",74,Home,18-5,8-2,
2022,UAB,UAB,Thu Feb 10,38,341,Southern Miss,"W, 84-63",67,Home,19-5,9-2,
2022,UAB,UAB,Sun Feb 13,40,194,Old Dominion,"L, 81-72",68,Away,19-6,9-3,
2022,UAB,UAB,Thu Feb 17,47,220,Rice,"W, 92-68",69,Home,20-6,10-3,
2022,UAB,UAB,Sat Feb 19,44,57,North Texas,"L, 58-57",59,Home,20-7,10-4,
2022,UAB,UAB,Thu Feb 24,47,312,UTSA,"W, 68-56",68,Away,21-7,11-4,
2022,UAB,UAB,Sat Feb 26,49,168,UTEP,"W, 69-66",66,Away,22-7,12-4,
2022,UAB,UAB,Wed Mar 2,54,341,Southern Miss,"W, 81-68",73,Away,23-7,13-4,
2022,UAB,UAB,Sat Mar 5,55,100,Louisiana Tech,"W, 87-74",69,Home,24-7,14-4,
2022,UAB,UAB,Thu Mar 10,52,129,Florida Atlantic,"W, 80-66",73,Neutral,25-7,,Conference USA
2022,UAB,UAB,Fri Mar 11,50,92,Middle Tennessee,"W, 102-98",92,Neutral,26-7,,Conference USA
2022,UAB,UAB,Sat Mar 12,49,100,Louisiana Tech,"W, 82-73",70,Neutral,27-7,,Conference USA
2022,UAB,UAB,Fri Mar 18,47,2,Houston,"L, 82-68",65,Neutral,27-8,,NCAA
