Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,USC,USC,Tue Nov 9,20,332,Cal St. Northridge,"W, 89-49",68,Home,1-0,,
2022,USC,USC,Sat Nov 13,17,116,Temple,"W, 76-71",71,Away,2-0,,
2022,USC,USC,Tue Nov 16,18,208,Florida Gulf Coast,"W, 78-61",68,Away,3-0,,
2022,USC,USC,Mon Nov 22,17,278,Dixie St.,"W, 98-71",81,Home,4-0,,
2022,USC,USC,Thu Nov 25,19,163,Saint Joseph's,"W, 70-55",68,Semi-Home,5-0,,
2022,USC,USC,Fri Nov 26,20,25,San Diego St.,"W, 58-43",58,Neutral,6-0,,
2022,USC,USC,Wed Dec 1,12,122,Utah,"W, 93-73",72,Home,7-0,1-0,
2022,USC,USC,Sat Dec 4,9,44,Washington St.,"W, 63-61",63,Away,8-0,2-0,
2022,USC,USC,Tue Dec 7,11,260,Eastern Kentucky,"W, 80-68",72,Home,9-0,,
2022,USC,USC,Sun Dec 12,14,160,Long Beach St.,"W, 73-62",67,Home,10-0,,
2022,USC,USC,Wed Dec 15,16,133,UC Irvine,"W, 66-61",69,Home,11-0,,
2022,USC,USC,Sat Dec 18,20,156,Georgia Tech,"W, 67-53",63,Neutral,12-0,,
2022,USC,USC,Thu Jan 6,18,142,California,"W, 77-63",64,Away,13-0,3-0,
2022,USC,USC,Tue Jan 11,15,106,Stanford,"L, 75-69",71,Away,13-1,3-1,
2022,USC,USC,Thu Jan 13,17,233,Oregon St.,"W, 81-71",70,Home,14-1,4-1,
2022,USC,USC,Sat Jan 15,18,82,Oregon,"L, 79-69",68,Home,14-2,4-2,
2022,USC,USC,Thu Jan 20,26,79,Colorado,"W, 61-58",69,Away,15-2,5-2,
2022,USC,USC,Sat Jan 22,26,122,Utah,"W, 79-67",68,Away,16-2,6-2,
2022,USC,USC,Mon Jan 24,23,97,Arizona St.,"W, 78-56",68,Home,17-2,7-2,
2022,USC,USC,Thu Jan 27,21,106,Stanford,"L, 64-61",60,Home,17-3,7-3,
2022,USC,USC,Sat Jan 29,26,142,California,"W, 79-72",65,Home,18-3,8-3,
2022,USC,USC,Thu Feb 3,27,97,Arizona St.,"W, 58-53",67,Away,19-3,9-3,
2022,USC,USC,Sat Feb 5,29,5,Arizona,"L, 72-63",64,Away,19-4,9-4,
2022,USC,USC,Tue Feb 8,25,293,Pacific,"W, 74-68",71,Home,20-4,,
2022,USC,USC,Sat Feb 12,33,11,UCLA,"W, 67-64",66,Home,21-4,10-4,
2022,USC,USC,Thu Feb 17,29,110,Washington,"W, 79-69",71,Home,22-4,11-4,
2022,USC,USC,Sun Feb 20,28,44,Washington St.,"W, 62-60",64,Home,23-4,12-4,
2022,USC,USC,Thu Feb 24,28,233,Oregon St.,"W, 94-91",87,Away,24-4,13-4,
2022,USC,USC,Sat Feb 26,31,82,Oregon,"W, 70-69",65,Away,25-4,14-4,
2022,USC,USC,Tue Mar 1,32,5,Arizona,"L, 91-71",68,Home,25-5,14-5,
2022,USC,USC,Sat Mar 5,41,11,UCLA,"L, 75-68",66,Away,25-6,14-6,
2022,USC,USC,Thu Mar 10,40,110,Washington,"W, 65-61",70,Neutral,26-6,,Pac 12
2022,USC,USC,Fri Mar 11,40,11,UCLA,"L, 69-59",61,Neutral,26-7,,Pac 12
2022,USC,USC,Fri Mar 18,42,41,Miami FL,"L, 68-66",68,Neutral,26-8,,NCAA
