Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Fairleigh Dickinson,Fairleigh Dickinson,Mon Nov 7,355,253,Loyola Chicago,"L, 88-82",81,Away,0-1,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Wed Nov 9,348,NR,Mercy,"W, 106-66",84,Home,1-1,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Nov 13,349,306,Manhattan,"W, 77-74",73,Home,2-1,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Fri Nov 18,348,242,SIU Edwardsville,"L, 79-78",77,Neutral,2-2,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Nov 19,347,169,Longwood,"L, 99-83",68,Away,2-3,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Nov 20,347,354,VMI,"W, 93-89",73,Neutral,3-3,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Tue Nov 22,346,59,Pittsburgh,"L, 83-61",69,Away,3-4,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Nov 27,346,308,Saint Peter's,"L, 77-63",65,Away,3-5,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Wed Nov 30,346,362,Hartford,"L, 74-66",70,Away,3-6,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Dec 3,347,191,Saint Joseph's,"W, 97-80",72,Away,4-6,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Fri Dec 9,335,341,Columbia,"W, 76-73",78,Away,5-6,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Dec 11,330,330,NJIT,"W, 73-71",70,Home,6-6,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Tue Dec 13,328,150,Richmond,"L, 77-48",67,Away,6-7,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Dec 22,331,203,Queens,"L, 82-73",72,Home,6-8,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Dec 29,332,309,Merrimack,"W, 71-63",69,Home,7-8,1-0,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Dec 31,332,NR,Centenary NJ,"W, 99-50",76,Home,8-8,,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Jan 5,327,355,St. Francis NY,"W, 76-57",66,Away,9-8,2-0,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Jan 7,318,363,LIU,"W, 101-89",80,Home,10-8,3-0,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Jan 14,318,339,Central Connecticut,"W, 88-80",65,Away,11-8,4-0,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Mon Jan 16,307,331,Stonehill,"W, 65-57",64,Away,12-8,5-0,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Fri Jan 20,298,326,Sacred Heart,"L, 92-85",75,Home,12-9,5-1,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Jan 22,313,331,Stonehill,"L, 70-59",68,Home,12-10,5-2,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Jan 26,320,336,St. Francis PA,"W, 87-82",74,Home,13-10,6-2,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Jan 28,317,309,Merrimack,"W, 78-71",69,Away,14-10,7-2,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Feb 4,313,313,Wagner,"L, 83-79",64,Home,14-11,7-3,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Feb 9,318,363,LIU,"W, 80-79",77,Away,15-11,8-3,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Feb 11,320,339,Central Connecticut,"L, 77-73",67,Home,15-12,8-4,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Feb 16,327,326,Sacred Heart,"L, 94-86",82,Away,15-13,8-5,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Feb 18,327,313,Wagner,"W, 66-48",65,Away,16-13,9-5,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Thu Feb 23,318,336,St. Francis PA,"L, 82-72",68,Away,16-14,9-6,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Feb 25,324,355,St. Francis NY,"W, 86-69",66,Home,17-14,10-6,
2023,Fairleigh Dickinson,Fairleigh Dickinson,Wed Mar 1,320,355,St. Francis NY,"W, 83-75",68,Home,18-14,,Northeast
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sat Mar 4,318,336,St. Francis PA,"W, 70-50",60,Home,19-14,,Northeast
2023,Fairleigh Dickinson,Fairleigh Dickinson,Tue Mar 7,315,309,Merrimack,"L, 67-66",64,Away,19-15,,Northeast
2023,Fairleigh Dickinson,Fairleigh Dickinson,Wed Mar 15,312,305,Texas Southern,"W, 84-61",70,Neutral,20-15,,NCAA
2023,Fairleigh Dickinson,Fairleigh Dickinson,Fri Mar 17,299,7,Purdue,"W, 63-58",64,Neutral,21-15,,NCAA
2023,Fairleigh Dickinson,Fairleigh Dickinson,Sun Mar 19,274,17,Florida Atlantic,"L, 78-70",73,Neutral,21-16,,NCAA
