Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Furman,Furman,Mon Nov 7,69,NR,North Greenville,"W, 91-55",83,Home,1-0,,
2023,Furman,Furman,Fri Nov 11,68,125,Belmont,"W, 89-74",72,Home,2-0,,
2023,Furman,Furman,Thu Nov 17,62,36,Penn St.,"L, 73-68",64,Neutral,2-1,,
2023,Furman,Furman,Fri Nov 18,62,177,Old Dominion,"L, 82-77",73,Neutral,2-2,,
2023,Furman,Furman,Sun Nov 20,71,221,South Carolina,"W, 79-60",67,Neutral,3-2,,
2023,Furman,Furman,Fri Nov 25,63,NR,Tusculum,"W, 102-74",75,Home,4-2,,
2023,Furman,Furman,Tue Nov 29,61,181,Appalachian St.,"W, 65-61",71,Away,5-2,,
2023,Furman,Furman,Sat Dec 3,65,345,South Carolina St.,"W, 88-76",79,Home,6-2,,
2023,Furman,Furman,Tue Dec 6,70,299,High Point,"L, 85-82",72,Home,6-3,,
2023,Furman,Furman,Sat Dec 10,84,244,Winthrop,"W, 82-67",68,Home,7-3,,
2023,Furman,Furman,Tue Dec 13,83,52,N.C. State,"L, 92-73",79,Away,7-4,,
2023,Furman,Furman,Sat Dec 17,89,132,Stephen F. Austin,"W, 72-70",68,Semi-Home,8-4,,
2023,Furman,Furman,Mon Dec 19,92,NR,Anderson SC,"W, 106-79",79,Home,9-4,,
2023,Furman,Furman,Thu Dec 29,93,354,VMI,"W, 85-62",71,Home,10-4,1-0,
2023,Furman,Furman,Sat Dec 31,94,236,Western Carolina,"L, 79-67",65,Away,10-5,1-1,
2023,Furman,Furman,Wed Jan 4,112,327,The Citadel,"W, 97-72",73,Home,11-5,2-1,
2023,Furman,Furman,Sat Jan 7,106,243,East Tennessee St.,"W, 70-56",67,Away,12-5,3-1,
2023,Furman,Furman,Wed Jan 11,100,230,Mercer,"W, 84-66",64,Away,13-5,4-1,
2023,Furman,Furman,Sat Jan 14,93,117,UNC Greensboro,"L, 88-80",76,Home,13-6,4-2,
2023,Furman,Furman,Wed Jan 18,107,184,Chattanooga,"W, 77-69",69,Away,14-6,5-2,
2023,Furman,Furman,Sun Jan 22,102,232,Wofford,"W, 96-82",71,Away,15-6,6-2,
2023,Furman,Furman,Wed Jan 25,97,136,Samford,"W, 91-84",77,Home,16-6,7-2,
2023,Furman,Furman,Sun Jan 29,96,117,UNC Greensboro,"W, 69-57",64,Away,17-6,8-2,
2023,Furman,Furman,Wed Feb 1,91,184,Chattanooga,"W, 79-58",68,Home,18-6,9-2,
2023,Furman,Furman,Sat Feb 4,85,232,Wofford,"W, 80-67",66,Home,19-6,10-2,
2023,Furman,Furman,Wed Feb 8,87,354,VMI,"W, 94-63",68,Away,20-6,11-2,
2023,Furman,Furman,Sat Feb 11,86,236,Western Carolina,"W, 93-59",75,Home,21-6,12-2,
2023,Furman,Furman,Wed Feb 15,82,327,The Citadel,"L, 69-65",63,Away,21-7,12-3,
2023,Furman,Furman,Sun Feb 19,87,243,East Tennessee St.,"W, 83-79",66,Home,22-7,13-3,
2023,Furman,Furman,Wed Feb 22,89,230,Mercer,"W, 70-67",67,Home,23-7,14-3,
2023,Furman,Furman,Sat Feb 25,92,136,Samford,"W, 93-79",70,Away,24-7,15-3,
2023,Furman,Furman,Sat Mar 4,88,230,Mercer,"W, 73-58",63,Neutral,25-7,,Southern
2023,Furman,Furman,Sun Mar 5,88,236,Western Carolina,"W, 83-80",71,Neutral,26-7,,Southern
2023,Furman,Furman,Mon Mar 6,90,184,Chattanooga,"W, 88-79",74,Neutral,27-7,,Southern
2023,Furman,Furman,Thu Mar 16,89,34,Virginia,"W, 68-67",65,Neutral,28-7,,NCAA
2023,Furman,Furman,Sat Mar 18,87,14,San Diego St.,"L, 75-52",63,Neutral,28-8,,NCAA
