Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Grand Canyon,Grand Canyon,Mon Nov 7,96,113,Montana St.,"W, 60-54",61,Home,1-0,,
2023,Grand Canyon,Grand Canyon,Wed Nov 9,96,NR,San Diego Christian,"W, 101-50",77,Home,2-0,,
2023,Grand Canyon,Grand Canyon,Sat Nov 12,93,62,Nevada,"L, 59-46",60,Away,2-1,,
2023,Grand Canyon,Grand Canyon,Fri Nov 18,103,182,Grambling St.,"W, 81-48",72,Home,3-1,,
2023,Grand Canyon,Grand Canyon,Mon Nov 21,96,102,Wichita St.,"L, 55-43",59,Neutral,3-2,,
2023,Grand Canyon,Grand Canyon,Tue Nov 22,103,223,Northern Iowa,"W, 69-67",62,Neutral,4-2,,
2023,Grand Canyon,Grand Canyon,Sat Nov 26,104,NR,Benedictine Mesa,"W, 110-53",75,Home,5-2,,
2023,Grand Canyon,Grand Canyon,Tue Nov 29,108,247,Alcorn St.,"W, 80-72",62,Home,6-2,,
2023,Grand Canyon,Grand Canyon,Sat Dec 3,113,162,Wyoming,"W, 66-58",64,Away,7-2,,
2023,Grand Canyon,Grand Canyon,Wed Dec 7,108,109,Loyola Marymount,"L, 69-65",67,Home,7-3,,
2023,Grand Canyon,Grand Canyon,Sat Dec 10,112,31,North Texas,"L, 60-58",60,Semi-Home,7-4,,
2023,Grand Canyon,Grand Canyon,Sat Dec 17,105,188,Pepperdine,"W, 83-73",80,Home,8-4,,
2023,Grand Canyon,Grand Canyon,Tue Dec 20,102,245,Idaho St.,"W, 68-66",64,Home,9-4,,
2023,Grand Canyon,Grand Canyon,Thu Dec 29,114,155,Cal Baptist,"W, 73-59",68,Home,10-4,1-0,
2023,Grand Canyon,Grand Canyon,Thu Jan 5,108,73,Sam Houston St.,"W, 72-68",77,Away,11-4,2-0,
2023,Grand Canyon,Grand Canyon,Sat Jan 7,101,132,Stephen F. Austin,"L, 73-68",65,Away,11-5,2-1,
2023,Grand Canyon,Grand Canyon,Thu Jan 12,105,241,UT Arlington,"W, 80-48",65,Home,12-5,3-1,
2023,Grand Canyon,Grand Canyon,Sat Jan 14,94,155,Cal Baptist,"L, 79-74",65,Away,12-6,3-2,
2023,Grand Canyon,Grand Canyon,Wed Jan 18,98,146,Utah Tech,"W, 89-85",67,Home,13-6,4-2,
2023,Grand Canyon,Grand Canyon,Sat Jan 21,103,64,Utah Valley,"L, 76-74",66,Home,13-7,4-3,
2023,Grand Canyon,Grand Canyon,Thu Jan 26,104,193,Abilene Christian,"W, 75-73",66,Away,14-7,5-3,
2023,Grand Canyon,Grand Canyon,Sat Jan 28,107,163,Tarleton St.,"L, 81-62",58,Away,14-8,5-4,
2023,Grand Canyon,Grand Canyon,Sat Feb 4,118,132,Stephen F. Austin,"W, 86-83",72,Home,15-8,6-4,
2023,Grand Canyon,Grand Canyon,Wed Feb 8,122,187,New Mexico St.,"W, 78-67",69,Home,16-8,7-4,
2023,Grand Canyon,Grand Canyon,Sat Feb 11,120,141,Seattle,"L, 63-58",67,Away,16-9,7-5,
2023,Grand Canyon,Grand Canyon,Wed Feb 15,120,246,UT Rio Grande Valley,"L, 77-76",67,Home,16-10,7-6,
2023,Grand Canyon,Grand Canyon,Fri Feb 17,127,193,Abilene Christian,"W, 94-84",70,Home,17-10,8-6,
2023,Grand Canyon,Grand Canyon,Tue Feb 21,,NR,Park,"W, 111-38",79,Home,18-10,,
2023,Grand Canyon,Grand Canyon,Fri Feb 24,123,141,Seattle,"L, 65-54",66,Home,18-11,8-7,
2023,Grand Canyon,Grand Canyon,Wed Mar 1,130,111,Southern Utah,"W, 83-78",71,Away,19-11,9-7,
2023,Grand Canyon,Grand Canyon,Fri Mar 3,128,146,Utah Tech,"W, 71-61",69,Away,20-11,10-7,
2023,Grand Canyon,Grand Canyon,Tue Mar 7,119,241,UT Arlington,"W, 82-77",67,Neutral,21-11,,Western Athletic
2023,Grand Canyon,Grand Canyon,Thu Mar 9,120,141,Seattle,"W, 84-79",71,Neutral,22-11,,Western Athletic
2023,Grand Canyon,Grand Canyon,Fri Mar 10,117,73,Sam Houston St.,"W, 78-75",61,Neutral,23-11,,Western Athletic
2023,Grand Canyon,Grand Canyon,Sat Mar 11,112,111,Southern Utah,"W, 84-66",69,Neutral,24-11,,Western Athletic
2023,Grand Canyon,Grand Canyon,Fri Mar 17,109,8,Gonzaga,"L, 82-70",68,Neutral,24-12,,NCAA
