Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Indiana,Indiana,Mon Nov 7,12,237,Morehead St.,"W, 88-53",72,Home,1-0,,
2023,Indiana,Indiana,Thu Nov 10,9,349,Bethune Cookman,"W, 101-49",71,Home,2-0,,
2023,Indiana,Indiana,Fri Nov 18,10,15,Xavier,"W, 81-79",71,Away,3-0,,
2023,Indiana,Indiana,Sun Nov 20,8,268,Miami OH,"W, 86-56",71,Semi-Home,4-0,,
2023,Indiana,Indiana,Wed Nov 23,8,321,Little Rock,"W, 87-68",75,Home,5-0,,
2023,Indiana,Indiana,Fri Nov 25,10,304,Jackson St.,"W, 90-51",71,Home,6-0,,
2023,Indiana,Indiana,Wed Nov 30,10,43,North Carolina,"W, 77-65",70,Home,7-0,,
2023,Indiana,Indiana,Sat Dec 3,8,39,Rutgers,"L, 63-48",66,Away,7-1,0-1,
2023,Indiana,Indiana,Wed Dec 7,10,94,Nebraska,"W, 81-65",72,Home,8-1,1-1,
2023,Indiana,Indiana,Sat Dec 10,10,11,Arizona,"L, 89-75",70,Neutral,8-2,,
2023,Indiana,Indiana,Sat Dec 17,16,9,Kansas,"L, 84-62",76,Away,8-3,,
2023,Indiana,Indiana,Tue Dec 20,16,337,Elon,"W, 96-72",79,Home,9-3,,
2023,Indiana,Indiana,Fri Dec 23,18,123,Kennesaw St.,"W, 69-55",65,Home,10-3,,
2023,Indiana,Indiana,Thu Jan 5,19,41,Iowa,"L, 91-89",76,Away,10-4,1-2,
2023,Indiana,Indiana,Sun Jan 8,19,38,Northwestern,"L, 84-83",74,Home,10-5,1-3,
2023,Indiana,Indiana,Wed Jan 11,25,36,Penn St.,"L, 85-66",65,Away,10-6,1-4,
2023,Indiana,Indiana,Sat Jan 14,33,61,Wisconsin,"W, 63-45",63,Home,11-6,2-4,
2023,Indiana,Indiana,Thu Jan 19,28,35,Illinois,"W, 80-65",69,Away,12-6,3-4,
2023,Indiana,Indiana,Sun Jan 22,22,26,Michigan St.,"W, 82-69",67,Home,13-6,4-4,
2023,Indiana,Indiana,Wed Jan 25,20,216,Minnesota,"W, 61-57",65,Away,14-6,5-4,
2023,Indiana,Indiana,Sat Jan 28,23,49,Ohio St.,"W, 86-70",65,Home,15-6,6-4,
2023,Indiana,Indiana,Tue Jan 31,18,23,Maryland,"L, 66-55",62,Away,15-7,6-5,
2023,Indiana,Indiana,Sat Feb 4,22,7,Purdue,"W, 79-74",65,Home,16-7,7-5,
2023,Indiana,Indiana,Tue Feb 7,20,39,Rutgers,"W, 66-60",63,Home,17-7,8-5,
2023,Indiana,Indiana,Sat Feb 11,21,44,Michigan,"W, 62-61",67,Away,18-7,9-5,
2023,Indiana,Indiana,Wed Feb 15,19,38,Northwestern,"L, 64-62",63,Away,18-8,9-6,
2023,Indiana,Indiana,Sat Feb 18,20,35,Illinois,"W, 71-68",70,Home,19-8,10-6,
2023,Indiana,Indiana,Tue Feb 21,19,26,Michigan St.,"L, 80-65",65,Away,19-9,10-7,
2023,Indiana,Indiana,Sat Feb 25,24,7,Purdue,"W, 79-71",69,Away,20-9,11-7,
2023,Indiana,Indiana,Tue Feb 28,21,41,Iowa,"L, 90-68",69,Home,20-10,11-8,
2023,Indiana,Indiana,Sun Mar 5,30,44,Michigan,"W, 75-73",72,Home,21-10,12-8,
2023,Indiana,Indiana,Fri Mar 10,31,23,Maryland,"W, 70-60",62,Neutral,22-10,,Big Ten
2023,Indiana,Indiana,Sat Mar 11,27,36,Penn St.,"L, 77-73",69,Neutral,22-11,,Big Ten
2023,Indiana,Indiana,Fri Mar 17,27,78,Kent St.,"W, 71-60",64,Neutral,23-11,,NCAA
2023,Indiana,Indiana,Sun Mar 19,26,24,Miami FL,"L, 85-69",69,Neutral,23-12,,NCAA
