Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Iowa St.,Iowa St.,Mon Nov 7,62,360,IUPUI,"W, 88-39",72,Home,1-0,,
2023,Iowa St.,Iowa St.,Sun Nov 13,60,319,North Carolina A&T,"W, 80-43",68,Home,2-0,,
2023,Iowa St.,Iowa St.,Sun Nov 20,53,227,Milwaukee,"W, 68-53",71,Home,3-0,,
2023,Iowa St.,Iowa St.,Thu Nov 24,55,51,Villanova,"W, 81-79",77,Neutral,4-0,,
2023,Iowa St.,Iowa St.,Fri Nov 25,51,43,North Carolina,"W, 70-65",64,Neutral,5-0,,
2023,Iowa St.,Iowa St.,Sun Nov 27,43,1,Connecticut,"L, 71-53",63,Neutral,5-1,,
2023,Iowa St.,Iowa St.,Wed Nov 30,47,269,North Dakota,"W, 63-44",62,Home,6-1,,
2023,Iowa St.,Iowa St.,Sun Dec 4,46,82,St. John's,"W, 71-60",73,Home,7-1,,
2023,Iowa St.,Iowa St.,Thu Dec 8,39,41,Iowa,"L, 75-56",68,Away,7-2,,
2023,Iowa St.,Iowa St.,Sun Dec 11,48,335,McNeese St.,"W, 77-40",66,Home,8-2,,
2023,Iowa St.,Iowa St.,Sun Dec 18,43,323,Western Michigan,"W, 73-57",60,Home,9-2,,
2023,Iowa St.,Iowa St.,Sat Dec 31,50,16,Baylor,"W, 77-62",68,Home,10-2,1-0,
2023,Iowa St.,Iowa St.,Wed Jan 4,40,54,Oklahoma,"W, 63-60",59,Away,11-2,2-0,
2023,Iowa St.,Iowa St.,Sat Jan 7,33,25,TCU,"W, 69-67",67,Away,12-2,3-0,
2023,Iowa St.,Iowa St.,Tue Jan 10,28,63,Texas Tech,"W, 84-50",68,Home,13-2,4-0,
2023,Iowa St.,Iowa St.,Sat Jan 14,17,9,Kansas,"L, 62-60",64,Away,13-3,4-1,
2023,Iowa St.,Iowa St.,Tue Jan 17,13,5,Texas,"W, 78-67",66,Home,14-3,5-1,
2023,Iowa St.,Iowa St.,Sat Jan 21,9,46,Oklahoma St.,"L, 61-59",64,Away,14-4,5-2,
2023,Iowa St.,Iowa St.,Tue Jan 24,12,21,Kansas St.,"W, 80-76",66,Home,15-4,6-2,
2023,Iowa St.,Iowa St.,Sat Jan 28,14,57,Missouri,"L, 78-61",65,Away,15-5,,
2023,Iowa St.,Iowa St.,Mon Jan 30,17,63,Texas Tech,"L, 80-77",75,Away,15-6,6-3,
2023,Iowa St.,Iowa St.,Sat Feb 4,18,9,Kansas,"W, 68-53",67,Home,16-6,7-3,
2023,Iowa St.,Iowa St.,Wed Feb 8,18,19,West Virginia,"L, 76-71",72,Away,16-7,7-4,
2023,Iowa St.,Iowa St.,Sat Feb 11,18,46,Oklahoma St.,"L, 64-56",67,Home,16-8,7-5,
2023,Iowa St.,Iowa St.,Wed Feb 15,17,25,TCU,"W, 70-59",67,Home,17-8,8-5,
2023,Iowa St.,Iowa St.,Sat Feb 18,15,21,Kansas St.,"L, 61-55",64,Away,17-9,8-6,
2023,Iowa St.,Iowa St.,Tue Feb 21,15,5,Texas,"L, 72-54",60,Away,17-10,8-7,
2023,Iowa St.,Iowa St.,Sat Feb 25,20,54,Oklahoma,"L, 61-50",60,Home,17-11,8-8,
2023,Iowa St.,Iowa St.,Mon Feb 27,24,19,West Virginia,"L, 72-69",64,Home,17-12,8-9,
2023,Iowa St.,Iowa St.,Sat Mar 4,28,16,Baylor,"W, 73-58",66,Away,18-12,9-9,
2023,Iowa St.,Iowa St.,Thu Mar 9,21,16,Baylor,"W, 78-72",62,Neutral,19-12,,Big 12
2023,Iowa St.,Iowa St.,Fri Mar 10,20,9,Kansas,"L, 71-58",67,Neutral,19-13,,Big 12
2023,Iowa St.,Iowa St.,Fri Mar 17,22,59,Pittsburgh,"L, 59-41",62,Neutral,19-14,,NCAA
