Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Kennesaw St.,Kennesaw St.,Mon Nov 7,207,NR,LaGrange,"W, 99-56",77,Home,1-0,,
2023,Kennesaw St.,Kennesaw St.,Fri Nov 11,213,74,Florida,"L, 88-78",75,Away,1-1,,
2023,Kennesaw St.,Kennesaw St.,Mon Nov 14,199,NR,Brewton Parker,"W, 95-36",74,Home,2-1,,
2023,Kennesaw St.,Kennesaw St.,Fri Nov 18,203,258,Southeastern Louisiana,"W, 72-68",68,Neutral,3-1,,
2023,Kennesaw St.,Kennesaw St.,Sat Nov 19,207,181,Appalachian St.,"W, 71-67",65,Away,4-1,,
2023,Kennesaw St.,Kennesaw St.,Sun Nov 20,193,226,Campbell,"L, 85-61",66,Neutral,4-2,,
2023,Kennesaw St.,Kennesaw St.,Sat Nov 26,231,60,VCU,"L, 64-61",66,Away,4-3,,
2023,Kennesaw St.,Kennesaw St.,Fri Dec 2,218,230,Mercer,"W, 66-63",65,Away,5-3,,
2023,Kennesaw St.,Kennesaw St.,Mon Dec 5,211,302,Charleston Southern,"W, 76-65",74,Away,6-3,,
2023,Kennesaw St.,Kennesaw St.,Mon Dec 12,204,14,San Diego St.,"L, 88-54",75,Away,6-4,,
2023,Kennesaw St.,Kennesaw St.,Sat Dec 17,218,NR,Georgia College & St.,"W, 79-55",76,Home,7-4,,
2023,Kennesaw St.,Kennesaw St.,Tue Dec 20,218,254,USC Upstate,"W, 65-56",68,Home,8-4,,
2023,Kennesaw St.,Kennesaw St.,Fri Dec 23,214,30,Indiana,"L, 69-55",65,Away,8-5,,
2023,Kennesaw St.,Kennesaw St.,Sat Dec 31,210,333,Central Arkansas,"W, 82-66",78,Home,9-5,1-0,
2023,Kennesaw St.,Kennesaw St.,Mon Jan 2,213,149,Eastern Kentucky,"W, 79-75",78,Home,10-5,2-0,
2023,Kennesaw St.,Kennesaw St.,Thu Jan 5,211,231,North Florida,"L, 89-86",68,Away,10-6,2-1,
2023,Kennesaw St.,Kennesaw St.,Sat Jan 7,216,203,Queens,"W, 76-67",71,Away,11-6,3-1,
2023,Kennesaw St.,Kennesaw St.,Thu Jan 12,197,234,Jacksonville,"W, 81-68",68,Home,12-6,4-1,
2023,Kennesaw St.,Kennesaw St.,Sat Jan 14,184,231,North Florida,"W, 86-72",68,Home,13-6,5-1,
2023,Kennesaw St.,Kennesaw St.,Thu Jan 19,175,172,Stetson,"W, 82-81",75,Away,14-6,6-1,
2023,Kennesaw St.,Kennesaw St.,Sat Jan 21,168,185,Florida Gulf Coast,"W, 65-63",58,Away,15-6,7-1,
2023,Kennesaw St.,Kennesaw St.,Thu Jan 26,156,324,Austin Peay,"W, 84-57",76,Home,16-6,8-1,
2023,Kennesaw St.,Kennesaw St.,Sat Jan 28,144,153,Lipscomb,"W, 85-72",75,Home,17-6,9-1,
2023,Kennesaw St.,Kennesaw St.,Thu Feb 2,142,262,Bellarmine,"W, 90-84",81,Away,18-6,10-1,
2023,Kennesaw St.,Kennesaw St.,Sat Feb 4,137,149,Eastern Kentucky,"L, 77-74",73,Away,18-7,10-2,
2023,Kennesaw St.,Kennesaw St.,Thu Feb 9,136,233,Jacksonville St.,"W, 54-52",61,Away,19-7,11-2,
2023,Kennesaw St.,Kennesaw St.,Sat Feb 11,136,233,Jacksonville St.,"W, 74-71",65,Home,20-7,12-2,
2023,Kennesaw St.,Kennesaw St.,Thu Feb 16,143,48,Liberty,"W, 88-81",74,Home,21-7,13-2,
2023,Kennesaw St.,Kennesaw St.,Sat Feb 18,136,203,Queens,"L, 83-76",72,Home,21-8,13-3,
2023,Kennesaw St.,Kennesaw St.,Wed Feb 22,143,256,North Alabama,"W, 79-66",67,Away,22-8,14-3,
2023,Kennesaw St.,Kennesaw St.,Fri Feb 24,138,333,Central Arkansas,"W, 72-56",69,Away,23-8,15-3,
2023,Kennesaw St.,Kennesaw St.,Tue Feb 28,129,203,Queens,"W, 67-66",70,Home,24-8,,ASUN
2023,Kennesaw St.,Kennesaw St.,Thu Mar 2,133,153,Lipscomb,"W, 80-71",68,Home,25-8,,ASUN
2023,Kennesaw St.,Kennesaw St.,Sun Mar 5,130,48,Liberty,"W, 67-66",67,Home,26-8,,ASUN
2023,Kennesaw St.,Kennesaw St.,Fri Mar 17,129,15,Xavier,"L, 72-67",72,Neutral,26-9,,NCAA
