Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Louisiana,Louisiana,Mon Nov 7,145,NR,Centenary,"W, 106-55",78,Home,1-0,,
2023,Louisiana,Louisiana,Fri Nov 11,144,158,Harvard,"W, 75-61",67,Neutral,2-0,,
2023,Louisiana,Louisiana,Sun Nov 13,134,243,East Tennessee St.,"W, 81-77",74,Neutral,3-0,,
2023,Louisiana,Louisiana,Thu Nov 17,141,165,Louisiana Tech,"W, 94-88",75,Home,4-0,,
2023,Louisiana,Louisiana,Tue Nov 22,141,183,SMU,"W, 76-72",78,Away,5-0,,
2023,Louisiana,Louisiana,Sat Nov 26,125,69,Drake,"L, 76-64",73,Away,5-1,,
2023,Louisiana,Louisiana,Tue Nov 29,127,NR,Loyola LA,"W, 104-70",72,Home,6-1,,
2023,Louisiana,Louisiana,Sat Dec 3,127,332,New Orleans,"W, 78-77",74,Away,7-1,,
2023,Louisiana,Louisiana,Sat Dec 10,138,136,Samford,"W, 75-58",65,Home,8-1,,
2023,Louisiana,Louisiana,Mon Dec 12,129,NR,Louisiana Christian,"W, 98-63",76,Home,9-1,,
2023,Louisiana,Louisiana,Thu Dec 15,131,335,McNeese St.,"W, 78-70",67,Away,10-1,,
2023,Louisiana,Louisiana,Wed Dec 21,132,5,Texas,"L, 100-72",78,Away,10-2,,
2023,Louisiana,Louisiana,Thu Dec 29,130,296,Coastal Carolina,"L, 77-76",70,Away,10-3,0-1,
2023,Louisiana,Louisiana,Sat Dec 31,136,177,Old Dominion,"L, 70-66",69,Away,10-4,0-2,
2023,Louisiana,Louisiana,Thu Jan 5,139,99,Southern Miss,"W, 75-61",64,Home,11-4,1-2,
2023,Louisiana,Louisiana,Sat Jan 7,123,281,Georgia St.,"W, 78-70",67,Home,12-4,2-2,
2023,Louisiana,Louisiana,Thu Jan 12,122,282,Louisiana Monroe,"W, 86-73",74,Away,13-4,3-2,
2023,Louisiana,Louisiana,Sat Jan 14,119,93,South Alabama,"W, 79-76",70,Away,14-4,4-2,
2023,Louisiana,Louisiana,Thu Jan 19,116,287,Arkansas St.,"W, 80-71",67,Away,15-4,5-2,
2023,Louisiana,Louisiana,Sat Jan 21,116,190,Texas St.,"W, 60-51",61,Away,16-4,6-2,
2023,Louisiana,Louisiana,Thu Jan 26,111,128,Troy,"W, 72-57",63,Home,17-4,7-2,
2023,Louisiana,Louisiana,Sat Jan 28,100,209,Georgia Southern,"W, 94-87",71,Home,18-4,8-2,
2023,Louisiana,Louisiana,Thu Feb 2,99,190,Texas St.,"W, 82-63",64,Home,19-4,9-2,
2023,Louisiana,Louisiana,Sat Feb 4,98,83,Marshall,"W, 77-67",72,Home,20-4,10-2,
2023,Louisiana,Louisiana,Thu Feb 9,92,99,Southern Miss,"L, 82-71",70,Away,20-5,10-3,
2023,Louisiana,Louisiana,Sat Feb 11,93,128,Troy,"L, 80-65",65,Away,20-6,10-4,
2023,Louisiana,Louisiana,Thu Feb 16,103,282,Louisiana Monroe,"W, 84-67",68,Home,21-6,11-4,
2023,Louisiana,Louisiana,Sat Feb 18,99,98,James Madison,"L, 74-68",69,Away,21-7,11-5,
2023,Louisiana,Louisiana,Wed Feb 22,99,287,Arkansas St.,"W, 85-74",70,Home,22-7,12-5,
2023,Louisiana,Louisiana,Fri Feb 24,101,93,South Alabama,"W, 74-64",67,Home,23-7,13-5,
2023,Louisiana,Louisiana,Sat Mar 4,98,209,Georgia Southern,"W, 67-49",71,Neutral,24-7,,Sun Belt
2023,Louisiana,Louisiana,Sun Mar 5,93,190,Texas St.,"W, 64-58",63,Neutral,25-7,,Sun Belt
2023,Louisiana,Louisiana,Mon Mar 6,95,93,South Alabama,"W, 71-66",64,Neutral,26-7,,Sun Belt
2023,Louisiana,Louisiana,Thu Mar 16,91,6,Tennessee,"L, 58-55",67,Neutral,26-8,,NCAA
