Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Montana St.,Montana St.,Mon Nov 7,173,108,Grand Canyon,"L, 60-54",61,Away,0-1,,
2023,Montana St.,Montana St.,Sun Nov 13,167,167,Long Beach St.,"W, 70-57",67,Away,1-1,,
2023,Montana St.,Montana St.,Tue Nov 15,150,42,Oregon,"L, 81-51",69,Away,1-2,,
2023,Montana St.,Montana St.,Fri Nov 18,161,NR,Warner Pacific,"W, 106-64",77,Home,2-2,,
2023,Montana St.,Montana St.,Sun Nov 20,166,269,North Dakota,"W, 81-71",67,Away,3-2,,
2023,Montana St.,Montana St.,Fri Nov 25,164,117,UNC Greensboro,"L, 77-66",71,Neutral,3-3,,
2023,Montana St.,Montana St.,Sat Nov 26,167,189,Quinnipiac,"L, 70-53",69,Neutral,3-4,,
2023,Montana St.,Montana St.,Sun Nov 27,194,116,Middle Tennessee,"L, 72-71",72,Neutral,3-5,,
2023,Montana St.,Montana St.,Wed Nov 30,187,111,Southern Utah,"W, 86-83",78,Away,4-5,,
2023,Montana St.,Montana St.,Thu Dec 8,180,202,St. Thomas,"W, 82-65",70,Home,5-5,,
2023,Montana St.,Montana St.,Sat Dec 10,167,318,Nebraska Omaha,"W, 82-54",64,Home,6-5,,
2023,Montana St.,Montana St.,Sat Dec 17,150,NR,Northwest Indian,"W, 144-59",85,Home,7-5,,
2023,Montana St.,Montana St.,Tue Dec 20,147,11,Arizona,"L, 85-64",77,Away,7-6,,
2023,Montana St.,Montana St.,Thu Dec 29,150,300,Idaho,"W, 72-58",65,Home,8-6,1-0,
2023,Montana St.,Montana St.,Sat Dec 31,146,121,Eastern Washington,"L, 70-67",67,Home,8-7,1-1,
2023,Montana St.,Montana St.,Thu Jan 5,158,222,Northern Colorado,"W, 77-56",71,Away,9-7,2-1,
2023,Montana St.,Montana St.,Sat Jan 7,141,213,Northern Arizona,"W, 69-54",70,Away,10-7,3-1,
2023,Montana St.,Montana St.,Thu Jan 12,129,245,Idaho St.,"W, 81-68",67,Home,11-7,4-1,
2023,Montana St.,Montana St.,Sat Jan 14,124,196,Weber St.,"W, 67-52",64,Home,12-7,5-1,
2023,Montana St.,Montana St.,Mon Jan 16,122,300,Idaho,"L, 74-70",73,Away,12-8,5-2,
2023,Montana St.,Montana St.,Sat Jan 21,127,164,Montana,"W, 67-64",61,Away,13-8,6-2,
2023,Montana St.,Montana St.,Thu Jan 26,122,239,Portland St.,"W, 75-66",66,Away,14-8,7-2,
2023,Montana St.,Montana St.,Sat Jan 28,117,228,Sacramento St.,"W, 72-65",61,Away,15-8,8-2,
2023,Montana St.,Montana St.,Thu Feb 2,111,213,Northern Arizona,"W, 69-68",60,Home,16-8,9-2,
2023,Montana St.,Montana St.,Sat Feb 4,114,222,Northern Colorado,"W, 75-62",62,Home,17-8,10-2,
2023,Montana St.,Montana St.,Thu Feb 9,114,196,Weber St.,"L, 73-63",64,Away,17-9,10-3,
2023,Montana St.,Montana St.,Sat Feb 11,119,245,Idaho St.,"W, 58-52",63,Away,18-9,11-3,
2023,Montana St.,Montana St.,Sat Feb 18,113,164,Montana,"W, 72-68",67,Home,19-9,12-3,
2023,Montana St.,Montana St.,Thu Feb 23,111,228,Sacramento St.,"W, 60-56",61,Home,20-9,13-3,
2023,Montana St.,Montana St.,Sat Feb 25,112,239,Portland St.,"W, 91-78",79,Home,21-9,14-3,
2023,Montana St.,Montana St.,Mon Feb 27,113,121,Eastern Washington,"W, 79-74",64,Away,22-9,15-3,
2023,Montana St.,Montana St.,Sun Mar 5,109,222,Northern Colorado,"W, 84-73",70,Neutral,23-9,,Big Sky
2023,Montana St.,Montana St.,Tue Mar 7,109,196,Weber St.,"W, 60-58",75,Neutral,24-9,,Big Sky
2023,Montana St.,Montana St.,Wed Mar 8,110,213,Northern Arizona,"W, 85-78",68,Neutral,25-9,,Big Sky
2023,Montana St.,Montana St.,Fri Mar 17,110,21,Kansas St.,"L, 77-65",69,Neutral,25-10,,NCAA
