Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Northern Kentucky,Northern Kentucky,Mon Nov 7,151,78,Kent St.,"L, 79-57",64,Home,0-1,,
2023,Northern Kentucky,Northern Kentucky,Sat Nov 12,182,NR,Cincinnati Clermont,"W, 89-49",73,Home,1-1,,
2023,Northern Kentucky,Northern Kentucky,Wed Nov 16,181,50,Cincinnati,"W, 64-51",63,Home,2-1,,
2023,Northern Kentucky,Northern Kentucky,Mon Nov 21,161,185,Florida Gulf Coast,"L, 82-61",68,Semi-Away,2-2,,
2023,Northern Kentucky,Northern Kentucky,Tue Nov 22,181,241,UT Arlington,"L, 60-56",62,Neutral,2-3,,
2023,Northern Kentucky,Northern Kentucky,Wed Nov 23,197,87,Toledo,"L, 82-69",68,Neutral,2-4,,
2023,Northern Kentucky,Northern Kentucky,Sun Nov 27,207,288,Tennessee Tech,"W, 85-77",76,Home,3-4,,
2023,Northern Kentucky,Northern Kentucky,Thu Dec 1,208,131,Youngstown St.,"W, 77-73",81,Home,4-4,1-0,
2023,Northern Kentucky,Northern Kentucky,Sat Dec 3,206,238,Robert Morris,"W, 60-56",62,Home,5-4,2-0,
2023,Northern Kentucky,Northern Kentucky,Wed Dec 7,212,67,Washington St.,"L, 68-47",58,Away,5-5,,
2023,Northern Kentucky,Northern Kentucky,Wed Dec 14,229,149,Eastern Kentucky,"W, 64-61",62,Home,6-5,,
2023,Northern Kentucky,Northern Kentucky,Sun Dec 18,234,NR,Miami Hamilton,"W, 81-41",67,Home,7-5,,
2023,Northern Kentucky,Northern Kentucky,Wed Dec 21,228,17,Florida Atlantic,"L, 67-52",64,Away,7-6,,
2023,Northern Kentucky,Northern Kentucky,Thu Dec 29,230,197,Wright St.,"W, 78-64",66,Home,8-6,3-0,
2023,Northern Kentucky,Northern Kentucky,Sat Dec 31,218,360,IUPUI,"W, 55-42",58,Away,9-6,4-0,
2023,Northern Kentucky,Northern Kentucky,Fri Jan 6,219,272,Oakland,"L, 64-63",63,Home,9-7,4-1,
2023,Northern Kentucky,Northern Kentucky,Sun Jan 8,226,200,Detroit Mercy,"W, 78-76",70,Home,10-7,5-1,
2023,Northern Kentucky,Northern Kentucky,Thu Jan 12,225,227,Milwaukee,"L, 80-75",76,Away,10-8,5-2,
2023,Northern Kentucky,Northern Kentucky,Sat Jan 14,232,361,Green Bay,"W, 74-53",59,Away,11-8,6-2,
2023,Northern Kentucky,Northern Kentucky,Thu Jan 19,218,195,Cleveland St.,"W, 57-56",64,Home,12-8,7-2,
2023,Northern Kentucky,Northern Kentucky,Sat Jan 21,219,240,Purdue Fort Wayne,"W, 74-54",60,Home,13-8,8-2,
2023,Northern Kentucky,Northern Kentucky,Thu Jan 26,200,361,Green Bay,"W, 68-50",58,Home,14-8,9-2,
2023,Northern Kentucky,Northern Kentucky,Sat Jan 28,200,227,Milwaukee,"L, 75-74",75,Home,14-9,9-3,
2023,Northern Kentucky,Northern Kentucky,Thu Feb 2,208,238,Robert Morris,"W, 65-52",63,Away,15-9,10-3,
2023,Northern Kentucky,Northern Kentucky,Sat Feb 4,197,131,Youngstown St.,"L, 74-56",58,Away,15-10,10-4,
2023,Northern Kentucky,Northern Kentucky,Fri Feb 10,205,197,Wright St.,"L, 83-65",64,Away,15-11,10-5,
2023,Northern Kentucky,Northern Kentucky,Sun Feb 12,213,360,IUPUI,"W, 86-47",62,Home,16-11,11-5,
2023,Northern Kentucky,Northern Kentucky,Fri Feb 17,209,240,Purdue Fort Wayne,"W, 63-50",61,Away,17-11,12-5,
2023,Northern Kentucky,Northern Kentucky,Sun Feb 19,198,195,Cleveland St.,"L, 64-63",61,Away,17-12,12-6,
2023,Northern Kentucky,Northern Kentucky,Thu Feb 23,195,200,Detroit Mercy,"W, 67-64",60,Away,18-12,13-6,
2023,Northern Kentucky,Northern Kentucky,Sat Feb 25,182,272,Oakland,"W, 78-69",65,Away,19-12,14-6,
2023,Northern Kentucky,Northern Kentucky,Thu Mar 2,177,272,Oakland,"W, 81-74",64,Home,20-12,,Horizon League
2023,Northern Kentucky,Northern Kentucky,Mon Mar 6,174,131,Youngstown St.,"W, 75-63",63,Neutral,21-12,,Horizon League
2023,Northern Kentucky,Northern Kentucky,Tue Mar 7,163,195,Cleveland St.,"W, 63-61",61,Neutral,22-12,,Horizon League
2023,Northern Kentucky,Northern Kentucky,Thu Mar 16,161,2,Houston,"L, 63-52",62,Neutral,22-13,,NCAA
