Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Northwestern,Northwestern,Mon Nov 7,70,293,Chicago St.,"W, 85-54",71,Home,1-0,,
2023,Northwestern,Northwestern,Fri Nov 11,67,250,Northern Illinois,"W, 63-46",64,Home,2-0,,
2023,Northwestern,Northwestern,Tue Nov 15,68,219,Georgetown,"W, 75-63",68,Away,3-0,,
2023,Northwestern,Northwestern,Fri Nov 18,55,240,Purdue Fort Wayne,"W, 60-52",72,Home,4-0,,
2023,Northwestern,Northwestern,Tue Nov 22,59,48,Liberty,"W, 66-52",65,Neutral,5-0,,
2023,Northwestern,Northwestern,Wed Nov 23,53,32,Auburn,"L, 43-42",61,Neutral,5-1,,
2023,Northwestern,Northwestern,Mon Nov 28,46,59,Pittsburgh,"L, 87-58",64,Home,5-2,,
2023,Northwestern,Northwestern,Sun Dec 4,75,26,Michigan St.,"W, 70-63",66,Away,6-2,1-0,
2023,Northwestern,Northwestern,Sun Dec 11,61,271,Prairie View A&M,"W, 61-51",67,Home,7-2,,
2023,Northwestern,Northwestern,Sat Dec 17,68,135,DePaul,"W, 83-45",74,Home,8-2,,
2023,Northwestern,Northwestern,Tue Dec 20,56,301,Illinois Chicago,"W, 92-54",70,Home,9-2,,
2023,Northwestern,Northwestern,Thu Dec 29,45,175,Brown,"W, 63-58",67,Home,10-2,,
2023,Northwestern,Northwestern,Sun Jan 1,51,49,Ohio St.,"L, 73-57",68,Home,10-3,1-1,
2023,Northwestern,Northwestern,Wed Jan 4,61,35,Illinois,"W, 73-60",70,Home,11-3,2-1,
2023,Northwestern,Northwestern,Sun Jan 8,58,30,Indiana,"W, 84-83",74,Away,12-3,3-1,
2023,Northwestern,Northwestern,Wed Jan 11,51,39,Rutgers,"L, 65-62",59,Home,12-4,3-2,
2023,Northwestern,Northwestern,Sun Jan 15,55,44,Michigan,"L, 85-78",74,Away,12-5,3-3,
2023,Northwestern,Northwestern,Mon Jan 23,51,61,Wisconsin,"W, 66-63",60,Home,13-5,4-3,
2023,Northwestern,Northwestern,Wed Jan 25,51,94,Nebraska,"W, 78-63",68,Away,14-5,5-3,
2023,Northwestern,Northwestern,Sat Jan 28,45,216,Minnesota,"W, 81-61",62,Home,15-5,6-3,
2023,Northwestern,Northwestern,Tue Jan 31,43,41,Iowa,"L, 86-70",66,Away,15-6,6-4,
2023,Northwestern,Northwestern,Thu Feb 2,54,44,Michigan,"L, 68-51",59,Home,15-7,6-5,
2023,Northwestern,Northwestern,Sun Feb 5,59,61,Wisconsin,"W, 54-52",57,Away,16-7,7-5,
2023,Northwestern,Northwestern,Thu Feb 9,57,49,Ohio St.,"W, 69-63",63,Away,17-7,8-5,
2023,Northwestern,Northwestern,Sun Feb 12,51,7,Purdue,"W, 64-58",65,Home,18-7,9-5,
2023,Northwestern,Northwestern,Wed Feb 15,47,30,Indiana,"W, 64-62",63,Home,19-7,10-5,
2023,Northwestern,Northwestern,Sun Feb 19,46,41,Iowa,"W, 80-60",68,Home,20-7,11-5,
2023,Northwestern,Northwestern,Thu Feb 23,42,35,Illinois,"L, 66-62",66,Away,20-8,11-6,
2023,Northwestern,Northwestern,Sun Feb 26,41,23,Maryland,"L, 75-59",55,Away,20-9,11-7,
2023,Northwestern,Northwestern,Wed Mar 1,48,36,Penn St.,"L, 68-65",63,Home,20-10,11-8,
2023,Northwestern,Northwestern,Sun Mar 5,50,39,Rutgers,"W, 65-53",69,Away,21-10,12-8,
2023,Northwestern,Northwestern,Fri Mar 10,42,36,Penn St.,"L, 67-65",70,Neutral,21-11,,Big Ten
2023,Northwestern,Northwestern,Thu Mar 16,41,37,Boise St.,"W, 75-67",60,Neutral,22-11,,NCAA
2023,Northwestern,Northwestern,Sat Mar 18,36,3,UCLA,"L, 68-63",60,Neutral,22-12,,NCAA
