Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Pittsburgh,Pittsburgh,Mon Nov 7,84,273,Tennessee Martin,"W, 80-58",79,Home,1-0,,
2023,Pittsburgh,Pittsburgh,Fri Nov 11,83,19,West Virginia,"L, 81-56",67,Home,1-1,,
2023,Pittsburgh,Pittsburgh,Wed Nov 16,100,44,Michigan,"L, 91-60",67,Neutral,1-2,,
2023,Pittsburgh,Pittsburgh,Thu Nov 17,121,60,VCU,"L, 71-67",73,Neutral,1-3,,
2023,Pittsburgh,Pittsburgh,Sun Nov 20,120,350,Alabama St.,"W, 73-54",68,Home,2-3,,
2023,Pittsburgh,Pittsburgh,Tue Nov 22,123,265,Fairleigh Dickinson,"W, 83-61",69,Home,3-3,,
2023,Pittsburgh,Pittsburgh,Fri Nov 25,122,320,William & Mary,"W, 80-64",66,Home,4-3,,
2023,Pittsburgh,Pittsburgh,Mon Nov 28,121,38,Northwestern,"W, 87-58",64,Away,5-3,,
2023,Pittsburgh,Pittsburgh,Fri Dec 2,92,52,N.C. State,"W, 68-60",70,Away,6-3,1-0,
2023,Pittsburgh,Pittsburgh,Wed Dec 7,79,81,Vanderbilt,"L, 75-74",69,Away,6-4,,
2023,Pittsburgh,Pittsburgh,Sat Dec 10,80,326,Sacred Heart,"W, 91-66",75,Home,7-4,,
2023,Pittsburgh,Pittsburgh,Sat Dec 17,77,231,North Florida,"W, 82-56",68,Home,8-4,,
2023,Pittsburgh,Pittsburgh,Tue Dec 20,72,118,Syracuse,"W, 84-82",73,Away,9-4,2-0,
2023,Pittsburgh,Pittsburgh,Fri Dec 30,70,43,North Carolina,"W, 76-74",72,Home,10-4,3-0,
2023,Pittsburgh,Pittsburgh,Tue Jan 3,66,34,Virginia,"W, 68-65",61,Home,11-4,4-0,
2023,Pittsburgh,Pittsburgh,Sat Jan 7,64,68,Clemson,"L, 75-74",66,Home,11-5,4-1,
2023,Pittsburgh,Pittsburgh,Wed Jan 11,65,18,Duke,"L, 77-69",71,Away,11-6,4-2,
2023,Pittsburgh,Pittsburgh,Sat Jan 14,64,161,Georgia Tech,"W, 71-60",63,Away,12-6,5-2,
2023,Pittsburgh,Pittsburgh,Wed Jan 18,62,290,Louisville,"W, 75-54",67,Away,13-6,6-2,
2023,Pittsburgh,Pittsburgh,Sat Jan 21,57,205,Florida St.,"L, 71-64",65,Home,13-7,6-3,
2023,Pittsburgh,Pittsburgh,Wed Jan 25,68,86,Wake Forest,"W, 81-79",68,Home,14-7,7-3,
2023,Pittsburgh,Pittsburgh,Sat Jan 28,65,24,Miami FL,"W, 71-68",69,Home,15-7,8-3,
2023,Pittsburgh,Pittsburgh,Wed Feb 1,68,43,North Carolina,"W, 65-64",65,Away,16-7,9-3,
2023,Pittsburgh,Pittsburgh,Tue Feb 7,61,290,Louisville,"W, 91-57",64,Home,17-7,10-3,
2023,Pittsburgh,Pittsburgh,Sat Feb 11,60,205,Florida St.,"W, 83-75",70,Away,18-7,11-3,
2023,Pittsburgh,Pittsburgh,Tue Feb 14,58,170,Boston College,"W, 77-58",72,Home,19-7,12-3,
2023,Pittsburgh,Pittsburgh,Sat Feb 18,57,80,Virginia Tech,"L, 79-72",64,Away,19-8,12-4,
2023,Pittsburgh,Pittsburgh,Tue Feb 21,58,161,Georgia Tech,"W, 76-68",61,Home,20-8,13-4,
2023,Pittsburgh,Pittsburgh,Sat Feb 25,59,118,Syracuse,"W, 99-82",66,Home,21-8,14-4,
2023,Pittsburgh,Pittsburgh,Wed Mar 1,55,166,Notre Dame,"L, 88-81",71,Away,21-9,14-5,
2023,Pittsburgh,Pittsburgh,Sat Mar 4,65,24,Miami FL,"L, 78-76",69,Away,21-10,14-6,
2023,Pittsburgh,Pittsburgh,Wed Mar 8,68,161,Georgia Tech,"W, 89-81",70,Neutral,22-10,,Atlantic Coast
2023,Pittsburgh,Pittsburgh,Thu Mar 9,66,18,Duke,"L, 96-69",65,Neutral,22-11,,Atlantic Coast
2023,Pittsburgh,Pittsburgh,Tue Mar 14,77,53,Mississippi St.,"W, 60-59",62,Neutral,23-11,,NCAA
2023,Pittsburgh,Pittsburgh,Fri Mar 17,77,29,Iowa St.,"W, 59-41",62,Neutral,24-11,,NCAA
2023,Pittsburgh,Pittsburgh,Sun Mar 19,62,15,Xavier,"L, 84-73",77,Neutral,24-12,,NCAA
