Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Providence,Providence,Tue Nov 8,55,206,Rider,"W, 66-65",65,Home,1-0,,
2023,Providence,Providence,Sat Nov 12,64,310,Northeastern,"W, 89-65",68,Home,2-0,,
2023,Providence,Providence,Tue Nov 15,60,331,Stonehill,"W, 100-76",72,Home,3-0,,
2023,Providence,Providence,Sat Nov 19,57,24,Miami FL,"L, 74-64",68,Neutral,3-1,,
2023,Providence,Providence,Sun Nov 20,64,96,Saint Louis,"L, 76-73",68,Neutral,3-2,,
2023,Providence,Providence,Wed Nov 23,67,309,Merrimack,"W, 71-57",65,Home,4-2,,
2023,Providence,Providence,Sat Nov 26,69,341,Columbia,"W, 78-64",71,Home,5-2,,
2023,Providence,Providence,Wed Nov 30,75,25,TCU,"L, 75-62",68,Away,5-3,,
2023,Providence,Providence,Sat Dec 3,81,255,Rhode Island,"W, 88-74",70,Away,6-3,,
2023,Providence,Providence,Wed Dec 7,76,306,Manhattan,"W, 99-59",80,Home,7-3,,
2023,Providence,Providence,Sat Dec 10,70,346,Albany,"W, 93-55",73,Home,8-3,,
2023,Providence,Providence,Sat Dec 17,69,58,Seton Hall,"W, 71-67",72,Away,9-3,1-0,
2023,Providence,Providence,Tue Dec 20,69,10,Marquette,"W, 103-98",86,Home,10-3,2-0,
2023,Providence,Providence,Thu Dec 29,65,119,Butler,"W, 72-52",67,Away,11-3,3-0,
2023,Providence,Providence,Sun Jan 1,49,135,DePaul,"W, 74-59",74,Away,12-3,4-0,
2023,Providence,Providence,Wed Jan 4,43,1,Connecticut,"W, 73-61",61,Home,13-3,5-0,
2023,Providence,Providence,Sat Jan 7,28,82,St. John's,"W, 83-80",78,Home,14-3,6-0,
2023,Providence,Providence,Sat Jan 14,28,12,Creighton,"L, 73-67",69,Away,14-4,6-1,
2023,Providence,Providence,Wed Jan 18,31,10,Marquette,"L, 83-75",66,Away,14-5,6-2,
2023,Providence,Providence,Sat Jan 21,32,135,DePaul,"W, 75-64",66,Home,15-5,7-2,
2023,Providence,Providence,Wed Jan 25,31,119,Butler,"W, 79-58",67,Home,16-5,8-2,
2023,Providence,Providence,Sun Jan 29,31,51,Villanova,"W, 70-65",62,Away,17-5,9-2,
2023,Providence,Providence,Wed Feb 1,28,15,Xavier,"L, 85-83",72,Away,17-6,9-3,
2023,Providence,Providence,Wed Feb 8,28,219,Georgetown,"W, 74-62",67,Home,18-6,10-3,
2023,Providence,Providence,Sat Feb 11,29,82,St. John's,"L, 73-68",73,Away,18-7,10-4,
2023,Providence,Providence,Tue Feb 14,32,12,Creighton,"W, 94-86",87,Home,19-7,11-4,
2023,Providence,Providence,Sat Feb 18,30,51,Villanova,"W, 85-72",67,Home,20-7,12-4,
2023,Providence,Providence,Wed Feb 22,29,1,Connecticut,"L, 87-69",64,Away,20-8,12-5,
2023,Providence,Providence,Sun Feb 26,29,219,Georgetown,"W, 88-68",70,Away,21-8,13-5,
2023,Providence,Providence,Wed Mar 1,28,15,Xavier,"L, 94-89",71,Home,21-9,13-6,
2023,Providence,Providence,Sat Mar 4,31,58,Seton Hall,"L, 82-58",59,Home,21-10,13-7,
2023,Providence,Providence,Thu Mar 9,45,1,Connecticut,"L, 73-66",64,Neutral,21-11,,Big East
2023,Providence,Providence,Fri Mar 17,44,27,Kentucky,"L, 61-53",64,Neutral,21-12,,NCAA
