Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Mon Nov 7,212,53,Mississippi St.,"L, 63-44",69,Away,0-1,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Fri Nov 11,222,278,UTSA,"W, 75-55",70,Home,1-1,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Mon Nov 14,204,NR,Trinity TX,"W, 91-73",87,Home,2-1,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Nov 17,204,246,UT Rio Grande Valley,"W, 97-75",74,Home,3-1,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Tue Nov 22,196,295,Cal St. Bakersfield,"L, 73-63",68,Neutral,3-2,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Nov 23,207,247,Alcorn St.,"W, 98-67",72,Neutral,4-2,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Fri Nov 25,177,178,UTEP,"L, 72-67",74,Away,4-3,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Nov 30,182,246,UT Rio Grande Valley,"L, 89-82",75,Away,4-4,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Dec 7,193,NR,Texas Lutheran,"W, 100-63",76,Home,5-4,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Tue Dec 13,197,11,Arizona,"L, 99-61",76,Away,5-5,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Fri Dec 16,202,NR,Schreiner,"W, 104-69",78,Home,6-5,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Tue Dec 20,203,46,Oklahoma St.,"L, 81-58",74,Away,6-6,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Dec 28,212,NR,Our Lady of the Lake,"W, 88-74",74,Home,7-6,,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Dec 31,212,215,Northwestern St.,"W, 65-59",67,Away,8-6,1-0,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Jan 4,205,340,Incarnate Word,"W, 91-61",72,Home,9-6,2-0,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Jan 7,192,340,Incarnate Word,"W, 80-71",72,Away,10-6,3-0,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Jan 12,186,258,Southeastern Louisiana,"L, 85-82",80,Home,10-7,3-1,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Jan 14,201,332,New Orleans,"W, 97-79",75,Home,11-7,4-1,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Jan 19,198,358,Lamar,"L, 68-66",69,Away,11-8,4-2,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Jan 21,209,353,Houston Christian,"L, 90-78",72,Away,11-9,4-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Jan 26,227,263,Nicholls St.,"W, 96-86",69,Home,12-9,5-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Jan 28,223,335,McNeese St.,"W, 83-72",68,Home,13-9,6-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Feb 2,219,332,New Orleans,"W, 86-69",72,Away,14-9,7-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Feb 4,207,258,Southeastern Louisiana,"W, 83-72",71,Away,15-9,8-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Feb 9,196,353,Houston Christian,"W, 91-68",72,Home,16-9,9-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Feb 11,193,358,Lamar,"W, 61-52",65,Home,17-9,10-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Feb 16,197,263,Nicholls St.,"W, 78-74",77,Away,18-9,11-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Feb 18,186,335,McNeese St.,"W, 77-54",69,Away,19-9,12-3,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Feb 23,169,307,Texas A&M Commerce,"L, 84-80",68,Home,19-10,12-4,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Sat Feb 25,187,215,Northwestern St.,"W, 83-75",72,Home,20-10,13-4,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Mar 1,182,307,Texas A&M Commerce,"W, 93-88",76,Away,21-10,14-4,
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Tue Mar 7,176,335,McNeese St.,"W, 80-63",66,Neutral,22-10,,Southland
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Wed Mar 8,173,215,Northwestern St.,"W, 75-71",64,Neutral,23-10,,Southland
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Tue Mar 14,170,257,Southeast Missouri St.,"W, 75-71",73,Neutral,24-10,,NCAA
2023,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Thu Mar 16,171,4,Alabama,"L, 96-75",73,Neutral,24-11,,NCAA
