Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,College of Charleston,Charleston,Mon Nov 6,97,226,Iona,"W, 71-69",73,Home,1-0,,
2024,College of Charleston,Charleston,Fri Nov 10,101,88,Duquesne,"L, 90-72",77,Neutral,1-1,,
2024,College of Charleston,Charleston,Thu Nov 16,136,104,Vermont,"L, 73-64",67,Neutral,1-2,,
2024,College of Charleston,Charleston,Fri Nov 17,151,159,Wyoming,"L, 67-60",69,Neutral,1-3,,
2024,College of Charleston,Charleston,Sun Nov 19,170,313,Coastal Carolina,"W, 80-72",73,Away,2-3,,
2024,College of Charleston,Charleston,Sun Nov 26,159,171,Kent St.,"W, 84-78",71,Away,3-3,,
2024,College of Charleston,Charleston,Fri Dec 1,147,137,Liberty,"W, 76-67",67,Neutral,4-3,,
2024,College of Charleston,Charleston,Sat Dec 2,131,47,Florida Atlantic,"L, 90-74",71,Away,4-4,,
2024,College of Charleston,Charleston,Sun Dec 10,131,206,Rhode Island,"W, 85-70",74,Home,5-4,,
2024,College of Charleston,Charleston,Thu Dec 14,127,255,The Citadel,"W, 86-71",70,Home,6-4,,
2024,College of Charleston,Charleston,Mon Dec 18,123,313,Coastal Carolina,"W, 84-81",79,Home,7-4,,
2024,College of Charleston,Charleston,Thu Dec 21,126,99,Saint Joseph's,"W, 89-82",78,Home,8-4,,
2024,College of Charleston,Charleston,Fri Dec 29,123,NR,Montreat,"W, 96-59",78,Home,9-4,,
2024,College of Charleston,Charleston,Thu Jan 4,126,113,Hofstra,"W, 73-61",70,Away,10-4,1-0,
2024,College of Charleston,Charleston,Sat Jan 6,112,168,Stony Brook,"W, 93-87",68,Away,11-4,2-0,
2024,College of Charleston,Charleston,Thu Jan 11,116,317,Elon,"W, 80-62",71,Home,12-4,3-0,
2024,College of Charleston,Charleston,Sat Jan 13,115,198,Monmouth,"W, 94-83",76,Home,13-4,4-0,
2024,College of Charleston,Charleston,Thu Jan 18,116,146,Towson,"L, 82-78",67,Home,13-5,4-1,
2024,College of Charleston,Charleston,Sat Jan 20,124,119,UNC Wilmington,"L, 78-69",66,Away,13-6,4-2,
2024,College of Charleston,Charleston,Thu Jan 25,132,341,Hampton,"W, 107-86",72,Away,14-6,5-2,
2024,College of Charleston,Charleston,Sat Jan 27,128,311,Campbell,"W, 90-67",70,Away,15-6,6-2,
2024,College of Charleston,Charleston,Thu Feb 1,122,119,UNC Wilmington,"L, 80-74",69,Home,15-7,6-3,
2024,College of Charleston,Charleston,Sat Feb 3,124,319,William & Mary,"W, 84-83",70,Away,16-7,7-3,
2024,College of Charleston,Charleston,Thu Feb 8,133,346,North Carolina A&T,"W, 80-58",69,Home,17-7,8-3,
2024,College of Charleston,Charleston,Sat Feb 10,130,126,Drexel,"W, 80-70",68,Home,18-7,9-3,
2024,College of Charleston,Charleston,Thu Feb 15,130,250,Northeastern,"W, 77-73",64,Away,19-7,10-3,
2024,College of Charleston,Charleston,Mon Feb 19,125,319,William & Mary,"W, 65-57",69,Home,20-7,11-3,
2024,College of Charleston,Charleston,Thu Feb 22,127,169,Delaware,"W, 90-71",71,Away,21-7,12-3,
2024,College of Charleston,Charleston,Sat Feb 24,119,146,Towson,"W, 72-56",61,Away,22-7,13-3,
2024,College of Charleston,Charleston,Thu Feb 29,113,311,Campbell,"W, 96-73",74,Home,23-7,14-3,
2024,College of Charleston,Charleston,Sat Mar 2,106,113,Hofstra,"W, 87-76",65,Home,24-7,15-3,
2024,College of Charleston,Charleston,Sun Mar 10,104,198,Monmouth,"W, 83-59",63,Neutral,25-7,,Coastal Athletic Association
2024,College of Charleston,Charleston,Mon Mar 11,100,146,Towson,"W, 61-56",65,Neutral,26-7,,Coastal Athletic Association
2024,College of Charleston,Charleston,Tue Mar 12,99,168,Stony Brook,"W, 82-79",72,Neutral,27-7,,Coastal Athletic Association
2024,College of Charleston,Charleston,Fri Mar 22,99,14,Alabama,"L, 109-96",83,Neutral,27-8,,NCAA
