Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Duquesne,Duquesne,Mon Nov 6,89,197,Cleveland St.,"W, 79-77",71,Home,1-0,,
2024,Duquesne,Duquesne,Fri Nov 10,91,101,Charleston,"W, 90-72",77,Neutral,2-0,,
2024,Duquesne,Duquesne,Mon Nov 13,79,168,Stony Brook,"W, 85-63",67,Home,3-0,,
2024,Duquesne,Duquesne,Wed Nov 15,77,69,Princeton,"L, 70-67",64,Home,3-1,,
2024,Duquesne,Duquesne,Fri Nov 17,83,225,Rider,"W, 77-58",70,Home,4-1,,
2024,Duquesne,Duquesne,Wed Nov 22,83,30,Nebraska,"L, 89-79",63,Away,4-2,,
2024,Duquesne,Duquesne,Wed Nov 29,81,82,UC Irvine,"W, 66-62",67,Home,5-2,,
2024,Duquesne,Duquesne,Wed Dec 6,85,238,Marshall,"W, 85-72",79,Away,6-2,,
2024,Duquesne,Duquesne,Fri Dec 8,83,201,Saint Peter's,"W, 68-59",62,Home,7-2,,
2024,Duquesne,Duquesne,Mon Dec 18,81,64,Bradley,"W, 69-67",65,Neutral,8-2,,
2024,Duquesne,Duquesne,Sat Dec 23,80,109,Santa Clara,"L, 81-73",69,Neutral,8-3,,
2024,Duquesne,Duquesne,Sat Dec 30,91,NR,Cleary,"W, 95-47",73,Home,9-3,,
2024,Duquesne,Duquesne,Wed Jan 3,92,92,Massachusetts,"L, 80-61",70,Away,9-4,0-1,
2024,Duquesne,Duquesne,Sat Jan 6,101,93,Loyola Chicago,"L, 72-67",80,Away,9-5,0-2,
2024,Duquesne,Duquesne,Fri Jan 12,101,32,Dayton,"L, 72-62",66,Home,9-6,0-3,
2024,Duquesne,Duquesne,Tue Jan 16,106,89,Richmond,"L, 63-61",62,Home,9-7,0-4,
2024,Duquesne,Duquesne,Sat Jan 20,109,99,Saint Joseph's,"L, 71-69",65,Away,9-8,0-5,
2024,Duquesne,Duquesne,Tue Jan 23,105,102,St. Bonaventure,"W, 54-50",67,Home,10-8,1-5,
2024,Duquesne,Duquesne,Sat Jan 27,103,188,Fordham,"W, 68-59",67,Home,11-8,2-5,
2024,Duquesne,Duquesne,Wed Jan 31,103,295,Chicago St.,"W, 65-60",67,Home,12-8,,
2024,Duquesne,Duquesne,Sat Feb 3,111,206,Rhode Island,"W, 85-71",68,Away,13-8,3-5,
2024,Duquesne,Duquesne,Wed Feb 7,104,125,Davidson,"L, 72-59",62,Home,13-9,3-6,
2024,Duquesne,Duquesne,Sat Feb 10,113,102,St. Bonaventure,"W, 75-69",69,Away,14-9,4-6,
2024,Duquesne,Duquesne,Tue Feb 13,108,32,Dayton,"L, 75-59",61,Away,14-10,4-7,
2024,Duquesne,Duquesne,Sat Feb 17,109,99,Saint Joseph's,"W, 66-56",65,Home,15-10,5-7,
2024,Duquesne,Duquesne,Tue Feb 20,106,199,Saint Louis,"W, 81-66",73,Home,16-10,6-7,
2024,Duquesne,Duquesne,Fri Feb 23,106,188,Fordham,"L, 79-67",69,Away,16-11,6-8,
2024,Duquesne,Duquesne,Wed Feb 28,115,195,La Salle,"W, 75-63",63,Home,17-11,7-8,
2024,Duquesne,Duquesne,Sat Mar 2,109,97,George Mason,"W, 59-51",63,Away,18-11,8-8,
2024,Duquesne,Duquesne,Tue Mar 5,100,75,VCU,"W, 69-59",63,Away,19-11,9-8,
2024,Duquesne,Duquesne,Sat Mar 9,98,203,George Washington,"W, 67-65",65,Home,20-11,10-8,
2024,Duquesne,Duquesne,Wed Mar 13,100,199,Saint Louis,"W, 83-73",67,Neutral,21-11,,Atlantic 10
2024,Duquesne,Duquesne,Thu Mar 14,98,32,Dayton,"W, 65-57",62,Neutral,22-11,,Atlantic 10
2024,Duquesne,Duquesne,Sat Mar 16,94,102,St. Bonaventure,"W, 70-60",63,Neutral,23-11,,Atlantic 10
2024,Duquesne,Duquesne,Sun Mar 17,90,75,VCU,"W, 57-51",62,Neutral,24-11,,Atlantic 10
2024,Duquesne,Duquesne,Thu Mar 21,85,18,BYU,"W, 71-67",67,Neutral,25-11,,NCAA
2024,Duquesne,Duquesne,Sat Mar 23,82,10,Illinois,"L, 89-63",62,Neutral,25-12,,NCAA
