Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Florida Atlantic,Florida Atlantic,Wed Nov 8,36,93,Loyola Chicago,"W, 75-62",70,Semi-Away,1-0,,
2024,Florida Atlantic,Florida Atlantic,Tue Nov 14,33,326,Eastern Michigan,"W, 100-57",66,Home,2-0,,
2024,Florida Atlantic,Florida Atlantic,Sat Nov 18,25,173,Bryant,"L, 61-52",72,Home,2-1,,
2024,Florida Atlantic,Florida Atlantic,Thu Nov 23,49,61,Butler,"W, 91-86",71,Neutral,3-1,,
2024,Florida Atlantic,Florida Atlantic,Fri Nov 24,48,35,Texas A&M,"W, 96-89",67,Neutral,4-1,,
2024,Florida Atlantic,Florida Atlantic,Sun Nov 26,37,58,Virginia Tech,"W, 84-50",72,Neutral,5-1,,
2024,Florida Atlantic,Florida Atlantic,Thu Nov 30,21,137,Liberty,"W, 83-58",63,Home,6-1,,
2024,Florida Atlantic,Florida Atlantic,Sat Dec 2,17,101,Charleston,"W, 90-74",71,Home,7-1,,
2024,Florida Atlantic,Florida Atlantic,Tue Dec 5,14,10,Illinois,"L, 98-89",75,Neutral,7-2,,
2024,Florida Atlantic,Florida Atlantic,Wed Dec 13,20,285,FIU,"W, 94-60",72,Home,8-2,,
2024,Florida Atlantic,Florida Atlantic,Sat Dec 16,18,102,St. Bonaventure,"W, 64-54",70,Neutral,9-2,,
2024,Florida Atlantic,Florida Atlantic,Sat Dec 23,13,6,Arizona,"W, 96-95",87,Neutral,10-2,,
2024,Florida Atlantic,Florida Atlantic,Sat Dec 30,10,241,Florida Gulf Coast,"L, 72-68",65,Away,10-3,,
2024,Florida Atlantic,Florida Atlantic,Tue Jan 2,21,189,East Carolina,"W, 79-64",62,Home,11-3,1-0,
2024,Florida Atlantic,Florida Atlantic,Sat Jan 6,20,120,Charlotte,"L, 70-68",62,Away,11-4,1-1,
2024,Florida Atlantic,Florida Atlantic,Thu Jan 11,21,136,Tulane,"W, 85-84",72,Away,12-4,2-1,
2024,Florida Atlantic,Florida Atlantic,Sun Jan 14,21,106,UAB,"W, 86-73",72,Home,13-4,3-1,
2024,Florida Atlantic,Florida Atlantic,Thu Jan 18,22,154,Wichita St.,"W, 86-77",70,Home,14-4,4-1,
2024,Florida Atlantic,Florida Atlantic,Sun Jan 21,24,254,UTSA,"W, 112-103",82,Away,15-4,5-1,
2024,Florida Atlantic,Florida Atlantic,Wed Jan 24,25,229,Rice,"W, 69-56",66,Away,16-4,6-1,
2024,Florida Atlantic,Florida Atlantic,Sun Jan 28,27,74,North Texas,"W, 66-63",60,Home,17-4,7-1,
2024,Florida Atlantic,Florida Atlantic,Sat Feb 3,28,184,Tulsa,"W, 102-70",79,Home,18-4,8-1,
2024,Florida Atlantic,Florida Atlantic,Thu Feb 8,27,106,UAB,"L, 76-73",72,Away,18-5,8-2,
2024,Florida Atlantic,Florida Atlantic,Sun Feb 11,29,154,Wichita St.,"W, 95-82",79,Away,19-5,9-2,
2024,Florida Atlantic,Florida Atlantic,Thu Feb 15,29,181,Temple,"W, 80-68",64,Home,20-5,10-2,
2024,Florida Atlantic,Florida Atlantic,Sun Feb 18,32,87,South Florida,"L, 90-86",72,Away,20-6,10-3,
2024,Florida Atlantic,Florida Atlantic,Thu Feb 22,36,72,SMU,"W, 80-70",68,Home,21-6,11-3,
2024,Florida Atlantic,Florida Atlantic,Sun Feb 25,33,76,Memphis,"L, 78-74",70,Away,21-7,11-4,
2024,Florida Atlantic,Florida Atlantic,Sat Mar 2,35,136,Tulane,"W, 79-73",75,Home,22-7,12-4,
2024,Florida Atlantic,Florida Atlantic,Wed Mar 6,40,74,North Texas,"W, 80-76",68,Away,23-7,13-4,
2024,Florida Atlantic,Florida Atlantic,Sat Mar 9,39,76,Memphis,"W, 92-84",71,Home,24-7,14-4,
2024,Florida Atlantic,Florida Atlantic,Fri Mar 15,36,74,North Texas,"W, 77-71",66,Neutral,25-7,,American Athletic
2024,Florida Atlantic,Florida Atlantic,Sat Mar 16,35,181,Temple,"L, 74-73",71,Neutral,25-8,,American Athletic
2024,Florida Atlantic,Florida Atlantic,Fri Mar 22,40,41,Northwestern,"L, 77-65",77,Neutral,25-9,,NCAA
