Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Grambling St.,Grambling St.,Mon Nov 6,266,NR,UNT Dallas,"W, 82-67",71,Home,1-0,,
2024,Grambling St.,Grambling St.,Fri Nov 10,267,24,Colorado,"L, 95-63",72,Away,1-1,,
2024,Grambling St.,Grambling St.,Tue Nov 14,272,NR,Champion Christian,"W, 113-73",82,Home,2-1,,
2024,Grambling St.,Grambling St.,Fri Nov 17,277,289,Delaware St.,"L, 71-63",72,Neutral,2-2,,
2024,Grambling St.,Grambling St.,Sun Nov 19,301,8,Iowa St.,"L, 92-37",68,Away,2-3,,
2024,Grambling St.,Grambling St.,Wed Nov 22,313,142,Sam Houston St.,"L, 86-68",65,Neutral,2-4,,
2024,Grambling St.,Grambling St.,Fri Nov 24,323,132,Troy,"L, 80-67",72,Away,2-5,,
2024,Grambling St.,Grambling St.,Sat Dec 2,327,32,Dayton,"L, 76-46",62,Away,2-6,,
2024,Grambling St.,Grambling St.,Sun Dec 10,332,42,Washington St.,"L, 83-65",66,Away,2-7,,
2024,Grambling St.,Grambling St.,Thu Dec 14,330,53,Drake,"L, 68-56",66,Away,2-8,,
2024,Grambling St.,Grambling St.,Wed Dec 20,324,306,Southeastern Louisiana,"L, 48-47",54,Away,2-9,,
2024,Grambling St.,Grambling St.,Fri Dec 22,320,26,Florida,"L, 96-57",69,Away,2-10,,
2024,Grambling St.,Grambling St.,Tue Jan 2,324,NR,Biblical Studies,"W, 84-72",72,Home,3-10,,
2024,Grambling St.,Grambling St.,Sat Jan 6,322,330,Prairie View A&M,"W, 69-63",66,Home,4-10,1-0,
2024,Grambling St.,Grambling St.,Mon Jan 8,319,267,Texas Southern,"L, 54-52",65,Home,4-11,1-1,
2024,Grambling St.,Grambling St.,Sat Jan 13,323,303,Bethune Cookman,"W, 79-69",71,Away,5-11,2-1,
2024,Grambling St.,Grambling St.,Mon Jan 15,312,338,Florida A&M,"W, 65-52",60,Away,6-11,3-1,
2024,Grambling St.,Grambling St.,Sat Jan 20,302,261,Southern,"W, 79-62",71,Home,7-11,4-1,
2024,Grambling St.,Grambling St.,Sat Jan 27,284,362,Mississippi Valley St.,"W, 54-46",69,Home,8-11,5-1,
2024,Grambling St.,Grambling St.,Mon Jan 29,293,331,Arkansas Pine Bluff,"L, 86-70",67,Home,8-12,5-2,
2024,Grambling St.,Grambling St.,Sat Feb 3,311,309,Jackson St.,"W, 70-62",61,Away,9-12,6-2,
2024,Grambling St.,Grambling St.,Mon Feb 5,301,294,Alcorn St.,"W, 78-67",61,Away,10-12,7-2,
2024,Grambling St.,Grambling St.,Sat Feb 10,291,310,Alabama St.,"W, 74-68",71,Home,11-12,8-2,
2024,Grambling St.,Grambling St.,Mon Feb 12,285,324,Alabama A&M,"L, 60-50",70,Home,11-13,8-3,
2024,Grambling St.,Grambling St.,Sat Feb 17,301,267,Texas Southern,"W, 66-63",66,Away,12-13,9-3,
2024,Grambling St.,Grambling St.,Mon Feb 19,293,330,Prairie View A&M,"W, 83-74",69,Away,13-13,10-3,
2024,Grambling St.,Grambling St.,Sat Feb 24,289,261,Southern,"W, 63-57",60,Away,14-13,11-3,
2024,Grambling St.,Grambling St.,Sat Mar 2,281,338,Florida A&M,"W, 75-68",67,Home,15-13,12-3,
2024,Grambling St.,Grambling St.,Mon Mar 4,285,303,Bethune Cookman,"W, 69-60",71,Home,16-13,13-3,
2024,Grambling St.,Grambling St.,Thu Mar 7,284,324,Alabama A&M,"W, 74-73",70,Away,17-13,14-3,
2024,Grambling St.,Grambling St.,Sat Mar 9,285,310,Alabama St.,"L, 87-84",82,Away,17-14,14-4,
2024,Grambling St.,Grambling St.,Wed Mar 13,286,310,Alabama St.,"W, 56-50",60,Neutral,18-14,,Southwestern Athletic
2024,Grambling St.,Grambling St.,Fri Mar 15,284,303,Bethune Cookman,"W, 65-53",68,Neutral,19-14,,Southwestern Athletic
2024,Grambling St.,Grambling St.,Sat Mar 16,279,267,Texas Southern,"W, 75-66",64,Neutral,20-14,,Southwestern Athletic
2024,Grambling St.,Grambling St.,Wed Mar 20,267,223,Montana St.,"W, 88-81",74,Neutral,21-14,,NCAA
2024,Grambling St.,Grambling St.,Fri Mar 22,260,3,Purdue,"L, 78-50",61,Neutral,21-15,,NCAA
