Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,James Madison,James Madison,Mon Nov 6,136,16,Michigan St.,"W, 79-76",83,Away,1-0,,
2024,James Madison,James Madison,Thu Nov 9,98,171,Kent St.,"W, 113-108",99,Away,2-0,,
2024,James Madison,James Madison,Sun Nov 12,94,275,Howard,"W, 107-86",79,Home,3-0,,
2024,James Madison,James Madison,Fri Nov 17,86,227,Radford,"W, 76-73",69,Home,4-0,,
2024,James Madison,James Madison,Tue Nov 21,89,124,Southern Illinois,"W, 82-76",72,Neutral,5-0,,
2024,James Madison,James Madison,Wed Nov 22,89,237,Fresno St.,"W, 95-64",73,Neutral,6-0,,
2024,James Madison,James Madison,Wed Nov 29,71,348,Buffalo,"W, 81-66",67,Home,7-0,,
2024,James Madison,James Madison,Sun Dec 3,73,NR,Keystone,"W, 130-59",91,Home,8-0,,
2024,James Madison,James Madison,Sat Dec 9,75,287,Old Dominion,"W, 84-69",71,Away,9-0,,
2024,James Madison,James Madison,Sat Dec 16,71,341,Hampton,"W, 88-71",73,Away,10-0,,
2024,James Madison,James Madison,Tue Dec 19,68,361,Coppin St.,"W, 87-48",77,Home,11-0,,
2024,James Madison,James Madison,Fri Dec 22,66,334,Morgan St.,"W, 89-75",75,Away,12-0,,
2024,James Madison,James Madison,Sat Dec 30,69,180,Texas St.,"W, 82-65",66,Home,13-0,1-0,
2024,James Madison,James Madison,Thu Jan 4,61,151,Louisiana,"W, 68-61",73,Away,14-0,2-0,
2024,James Madison,James Madison,Sat Jan 6,60,243,Southern Miss,"L, 81-71",71,Away,14-1,2-1,
2024,James Madison,James Madison,Thu Jan 11,78,221,South Alabama,"W, 89-55",71,Home,15-1,3-1,
2024,James Madison,James Madison,Sat Jan 13,69,83,Appalachian St.,"L, 59-55",67,Home,15-2,3-2,
2024,James Madison,James Madison,Thu Jan 18,77,298,Louisiana Monroe,"W, 89-70",66,Home,16-2,4-2,
2024,James Madison,James Madison,Sat Jan 20,75,238,Marshall,"W, 67-52",68,Home,17-2,5-2,
2024,James Madison,James Madison,Wed Jan 24,76,287,Old Dominion,"W, 78-62",74,Away,18-2,6-2,
2024,James Madison,James Madison,Sat Jan 27,76,83,Appalachian St.,"L, 82-76",76,Away,18-3,6-3,
2024,James Madison,James Madison,Thu Feb 1,73,313,Coastal Carolina,"W, 105-67",76,Home,19-3,7-3,
2024,James Madison,James Madison,Sat Feb 3,70,287,Old Dominion,"W, 78-63",71,Home,20-3,8-3,
2024,James Madison,James Madison,Wed Feb 7,69,133,Arkansas St.,"W, 77-73",71,Away,21-3,9-3,
2024,James Madison,James Madison,Sat Feb 10,69,122,Akron,"W, 73-59",63,Home,22-3,,
2024,James Madison,James Madison,Thu Feb 15,63,218,Georgia St.,"W, 83-63",67,Home,23-3,10-3,
2024,James Madison,James Madison,Sat Feb 17,60,280,Georgia Southern,"W, 87-80",68,Home,24-3,11-3,
2024,James Madison,James Madison,Wed Feb 21,65,238,Marshall,"W, 84-58",72,Away,25-3,12-3,
2024,James Madison,James Madison,Sat Feb 24,58,280,Georgia Southern,"W, 80-74",71,Away,26-3,13-3,
2024,James Madison,James Madison,Wed Feb 28,61,218,Georgia St.,"W, 84-78",68,Away,27-3,14-3,
2024,James Madison,James Madison,Fri Mar 1,60,313,Coastal Carolina,"W, 86-76",70,Away,28-3,15-3,
2024,James Madison,James Madison,Sat Mar 9,65,238,Marshall,"W, 81-64",71,Neutral,29-3,,Sun Belt
2024,James Madison,James Madison,Sun Mar 10,65,180,Texas St.,"W, 73-68",67,Neutral,30-3,,Sun Belt
2024,James Madison,James Madison,Mon Mar 11,68,133,Arkansas St.,"W, 91-71",65,Neutral,31-3,,Sun Belt
2024,James Madison,James Madison,Fri Mar 22,59,17,Wisconsin,"W, 72-61",73,Neutral,32-3,,NCAA
2024,James Madison,James Madison,Sun Mar 24,57,7,Duke,"L, 93-55",64,Neutral,32-4,,NCAA
