Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Longwood,Longwood,Mon Nov 6,231,102,St. Bonaventure,"L, 73-69",65,Away,0-1,,
2024,Longwood,Longwood,Sat Nov 11,213,NR,St. Mary's MD,"W, 95-43",66,Home,1-1,,
2024,Longwood,Longwood,Wed Nov 15,213,347,Maryland Eastern Shore,"W, 80-61",73,Away,2-1,,
2024,Longwood,Longwood,Sat Nov 18,199,253,North Carolina Central,"W, 73-66",63,Home,3-1,,
2024,Longwood,Longwood,Fri Nov 24,197,289,Delaware St.,"W, 84-82",86,Home,4-1,,
2024,Longwood,Longwood,Sat Nov 25,213,210,Lamar,"W, 83-72",72,Home,5-1,,
2024,Longwood,Longwood,Sun Nov 26,202,303,Bethune Cookman,"W, 69-48",71,Home,6-1,,
2024,Longwood,Longwood,Thu Nov 30,193,NR,The Apprentice School,"W, 95-46",80,Home,7-1,,
2024,Longwood,Longwood,Sun Dec 3,192,334,Morgan St.,"W, 88-54",68,Away,8-1,,
2024,Longwood,Longwood,Sat Dec 9,151,289,Delaware St.,"W, 62-61",76,Away,9-1,,
2024,Longwood,Longwood,Mon Dec 11,151,NR,Gallaudet,"W, 92-61",64,Home,10-1,,
2024,Longwood,Longwood,Wed Dec 13,153,222,Milwaukee,"W, 80-67",67,Away,11-1,,
2024,Longwood,Longwood,Sun Dec 17,143,353,VMI,"W, 68-49",73,Home,12-1,,
2024,Longwood,Longwood,Wed Dec 20,144,253,North Carolina Central,"L, 79-70",71,Away,12-2,,
2024,Longwood,Longwood,Sat Dec 30,153,32,Dayton,"L, 78-69",62,Away,12-3,,
2024,Longwood,Longwood,Wed Jan 3,149,176,Winthrop,"L, 68-60",77,Away,12-4,0-1,
2024,Longwood,Longwood,Sat Jan 6,146,315,Charleston Southern,"W, 77-56",67,Home,13-4,1-1,
2024,Longwood,Longwood,Thu Jan 11,143,227,Radford,"L, 69-58",61,Home,13-5,1-2,
2024,Longwood,Longwood,Sat Jan 13,160,164,UNC Asheville,"L, 65-61",66,Away,13-6,1-3,
2024,Longwood,Longwood,Wed Jan 17,160,288,USC Upstate,"L, 73-71",62,Away,13-7,1-4,
2024,Longwood,Longwood,Sat Jan 20,168,271,Presbyterian,"W, 80-70",66,Home,14-7,2-4,
2024,Longwood,Longwood,Wed Jan 24,164,204,Gardner Webb,"L, 76-64",67,Home,14-8,2-5,
2024,Longwood,Longwood,Thu Feb 1,177,114,High Point,"L, 93-76",70,Away,14-9,2-6,
2024,Longwood,Longwood,Sat Feb 3,183,315,Charleston Southern,"L, 83-77",73,Away,14-10,2-7,
2024,Longwood,Longwood,Wed Feb 7,189,288,USC Upstate,"L, 69-64",71,Home,14-11,2-8,
2024,Longwood,Longwood,Sat Feb 10,199,176,Winthrop,"W, 84-74",70,Home,15-11,3-8,
2024,Longwood,Longwood,Sat Feb 17,193,271,Presbyterian,"W, 81-73",70,Away,16-11,4-8,
2024,Longwood,Longwood,Wed Feb 21,183,164,UNC Asheville,"W, 80-75",67,Home,17-11,5-8,
2024,Longwood,Longwood,Sat Feb 24,179,227,Radford,"L, 88-82",70,Away,17-12,5-9,
2024,Longwood,Longwood,Thu Feb 29,178,204,Gardner Webb,"L, 72-69",63,Away,17-13,5-10,
2024,Longwood,Longwood,Sat Mar 2,179,114,High Point,"W, 74-72",71,Home,18-13,6-10,
2024,Longwood,Longwood,Fri Mar 8,174,176,Winthrop,"W, 69-56",61,Neutral,19-13,,Big South
2024,Longwood,Longwood,Sat Mar 9,167,114,High Point,"W, 80-79",73,Away,20-13,,Big South
2024,Longwood,Longwood,Sun Mar 10,168,164,UNC Asheville,"W, 85-59",66,Neutral,21-13,,Big South
2024,Longwood,Longwood,Fri Mar 22,161,2,Houston,"L, 86-46",62,Neutral,21-14,,NCAA
