Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,New Mexico,New Mexico,Mon Nov 6,46,267,Texas Southern,"W, 92-55",77,Home,1-0,,
2024,New Mexico,New Mexico,Thu Nov 9,40,20,Saint Mary's,"L, 72-58",67,Away,1-1,,
2024,New Mexico,New Mexico,Thu Nov 16,50,112,UT Arlington,"W, 82-80",74,Home,2-1,,
2024,New Mexico,New Mexico,Tue Nov 21,63,139,Toledo,"W, 92-84",82,Neutral,3-1,,
2024,New Mexico,New Mexico,Wed Nov 22,58,229,Rice,"W, 90-56",74,Neutral,4-1,,
2024,New Mexico,New Mexico,Fri Nov 24,52,224,Pepperdine,"W, 90-71",77,Neutral,5-1,,
2024,New Mexico,New Mexico,Wed Nov 29,50,94,Louisiana Tech,"W, 74-65",70,Home,6-1,,
2024,New Mexico,New Mexico,Sat Dec 2,48,290,New Mexico St.,"W, 106-62",69,Home,7-1,,
2024,New Mexico,New Mexico,Wed Dec 6,36,205,UC Santa Barbara,"W, 84-61",76,Home,8-1,,
2024,New Mexico,New Mexico,Sat Dec 9,36,109,Santa Clara,"W, 93-76",81,Neutral,9-1,,
2024,New Mexico,New Mexico,Fri Dec 15,30,290,New Mexico St.,"W, 73-72",73,Away,10-1,,
2024,New Mexico,New Mexico,Wed Dec 20,35,82,UC Irvine,"W, 78-65",74,Home,11-1,,
2024,New Mexico,New Mexico,Fri Dec 29,35,NR,Eastern New Mexico,"W, 87-54",76,Home,12-1,,
2024,New Mexico,New Mexico,Tue Jan 2,36,36,Colorado St.,"L, 76-68",70,Away,12-2,0-1,
2024,New Mexico,New Mexico,Sat Jan 6,37,159,Wyoming,"W, 77-60",72,Home,13-2,1-1,
2024,New Mexico,New Mexico,Tue Jan 9,40,73,UNLV,"L, 83-73",71,Away,13-3,1-2,
2024,New Mexico,New Mexico,Sat Jan 13,43,22,San Diego St.,"W, 88-70",79,Home,14-3,2-2,
2024,New Mexico,New Mexico,Tue Jan 16,38,51,Utah St.,"W, 99-86",79,Home,15-3,3-2,
2024,New Mexico,New Mexico,Sat Jan 20,29,264,Air Force,"W, 85-66",71,Away,16-3,4-2,
2024,New Mexico,New Mexico,Wed Jan 24,28,248,San Jose St.,"W, 95-75",71,Away,17-3,5-2,
2024,New Mexico,New Mexico,Sun Jan 28,24,40,Nevada,"W, 89-55",68,Home,18-3,6-2,
2024,New Mexico,New Mexico,Wed Jan 31,19,44,Boise St.,"L, 86-78",72,Home,18-4,6-3,
2024,New Mexico,New Mexico,Tue Feb 6,19,159,Wyoming,"W, 91-73",78,Away,19-4,7-3,
2024,New Mexico,New Mexico,Sat Feb 10,19,73,UNLV,"L, 80-77",72,Home,19-5,7-4,
2024,New Mexico,New Mexico,Tue Feb 13,22,40,Nevada,"W, 83-82",66,Away,20-5,8-4,
2024,New Mexico,New Mexico,Fri Feb 16,24,22,San Diego St.,"L, 81-70",76,Away,20-6,8-5,
2024,New Mexico,New Mexico,Wed Feb 21,26,36,Colorado St.,"W, 68-66",71,Home,21-6,9-5,
2024,New Mexico,New Mexico,Sat Feb 24,26,264,Air Force,"L, 78-77",66,Home,21-7,9-6,
2024,New Mexico,New Mexico,Sat Mar 2,34,44,Boise St.,"L, 89-79",72,Away,21-8,9-7,
2024,New Mexico,New Mexico,Wed Mar 6,36,237,Fresno St.,"W, 79-58",71,Home,22-8,10-7,
2024,New Mexico,New Mexico,Sat Mar 9,35,51,Utah St.,"L, 87-85",73,Away,22-9,10-8,
2024,New Mexico,New Mexico,Wed Mar 13,34,264,Air Force,"W, 82-56",67,Neutral,23-9,,Mountain West
2024,New Mexico,New Mexico,Thu Mar 14,32,44,Boise St.,"W, 76-66",73,Neutral,24-9,,Mountain West
2024,New Mexico,New Mexico,Fri Mar 15,27,36,Colorado St.,"W, 74-61",68,Neutral,25-9,,Mountain West
2024,New Mexico,New Mexico,Sat Mar 16,25,22,San Diego St.,"W, 68-61",64,Neutral,26-9,,Mountain West
2024,New Mexico,New Mexico,Fri Mar 22,21,19,Clemson,"L, 77-56",71,Neutral,26-10,,NCAA
