Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Samford,Samford,Mon Nov 6,139,3,Purdue,"L, 98-45",76,Away,0-1,,
2024,Samford,Samford,Fri Nov 10,163,75,VCU,"L, 75-65",72,Away,0-2,,
2024,Samford,Samford,Tue Nov 14,170,NR,Mississippi College,"W, 96-52",77,Home,1-2,,
2024,Samford,Samford,Fri Nov 17,162,301,South Carolina St.,"W, 89-72",78,Home,2-2,,
2024,Samford,Samford,Wed Nov 22,156,310,Alabama St.,"W, 99-67",76,Home,3-2,,
2024,Samford,Samford,Fri Nov 24,142,212,Merrimack,"W, 79-71",70,Home,4-2,,
2024,Samford,Samford,Sat Nov 25,143,346,North Carolina A&T,"W, 101-83",79,Home,5-2,,
2024,Samford,Samford,Thu Nov 30,146,151,Louisiana,"W, 88-65",74,Home,6-2,,
2024,Samford,Samford,Sun Dec 3,131,NR,LaGrange,"W, 128-82",87,Home,7-2,,
2024,Samford,Samford,Mon Dec 11,130,324,Alabama A&M,"W, 118-91",96,Home,8-2,,
2024,Samford,Samford,Sat Dec 16,129,115,Belmont,"W, 99-93",78,Home,9-2,,
2024,Samford,Samford,Tue Dec 19,118,300,Valparaiso,"W, 79-61",66,Away,10-2,,
2024,Samford,Samford,Thu Dec 21,109,267,Texas Southern,"W, 87-65",79,Away,11-2,,
2024,Samford,Samford,Wed Jan 3,102,140,Chattanooga,"W, 89-74",73,Home,12-2,1-0,
2024,Samford,Samford,Sat Jan 6,102,255,The Citadel,"W, 80-64",67,Away,13-2,2-0,
2024,Samford,Samford,Thu Jan 11,89,147,UNC Greensboro,"W, 79-70",70,Home,14-2,3-0,
2024,Samford,Samford,Sat Jan 13,88,353,VMI,"W, 134-96",95,Home,15-2,4-0,
2024,Samford,Samford,Tue Jan 16,84,110,Western Carolina,"W, 75-71",69,Away,16-2,5-0,
2024,Samford,Samford,Sat Jan 20,82,209,Mercer,"W, 87-80",76,Home,17-2,6-0,
2024,Samford,Samford,Wed Jan 24,82,141,Furman,"L, 78-68",74,Away,17-3,6-1,
2024,Samford,Samford,Sat Jan 27,88,174,East Tennessee St.,"W, 75-72",66,Away,18-3,7-1,
2024,Samford,Samford,Wed Jan 31,89,193,Wofford,"W, 81-79",66,Home,19-3,8-1,
2024,Samford,Samford,Sat Feb 3,94,140,Chattanooga,"W, 78-56",68,Away,20-3,9-1,
2024,Samford,Samford,Thu Feb 8,85,147,UNC Greensboro,"W, 78-69",70,Away,21-3,10-1,
2024,Samford,Samford,Sat Feb 10,80,353,VMI,"W, 102-63",79,Away,22-3,11-1,
2024,Samford,Samford,Wed Feb 14,72,110,Western Carolina,"W, 88-62",69,Home,23-3,12-1,
2024,Samford,Samford,Sat Feb 17,65,209,Mercer,"L, 88-84",75,Away,23-4,12-2,
2024,Samford,Samford,Wed Feb 21,70,141,Furman,"W, 74-72",70,Home,24-4,13-2,
2024,Samford,Samford,Sat Feb 24,71,174,East Tennessee St.,"W, 87-71",73,Home,25-4,14-2,
2024,Samford,Samford,Wed Feb 28,72,193,Wofford,"L, 91-69",70,Away,25-5,14-3,
2024,Samford,Samford,Sat Mar 2,85,255,The Citadel,"W, 92-80",74,Home,26-5,15-3,
2024,Samford,Samford,Sat Mar 9,83,209,Mercer,"W, 70-57",63,Neutral,27-5,,Southern
2024,Samford,Samford,Sun Mar 10,79,141,Furman,"W, 84-77",75,Neutral,28-5,,Southern
2024,Samford,Samford,Mon Mar 11,80,174,East Tennessee St.,"W, 76-69",77,Neutral,29-5,,Southern
2024,Samford,Samford,Thu Mar 21,81,27,Kansas,"L, 93-89",79,Neutral,29-6,,NCAA
