Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Stetson,Stetson,Mon Nov 6,207,NR,Trinity Baptist,"W, 109-54",79,Home,1-0,,
2024,Stetson,Stetson,Sat Nov 11,208,73,UNLV,"L, 71-55",63,Away,1-1,,
2024,Stetson,Stetson,Mon Nov 13,219,2,Houston,"L, 79-48",62,Away,1-2,,
2024,Stetson,Stetson,Mon Nov 20,228,222,Milwaukee,"W, 85-67",65,Neutral,2-2,,
2024,Stetson,Stetson,Tue Nov 21,202,277,Central Michigan,"W, 71-61",60,Neutral,3-2,,
2024,Stetson,Stetson,Sun Nov 26,179,66,UCF,"W, 85-82",76,Away,4-2,,
2024,Stetson,Stetson,Wed Nov 29,159,NR,Coastal Georgia,"W, 94-49",70,Home,5-2,,
2024,Stetson,Stetson,Sun Dec 3,161,295,Chicago St.,"L, 77-54",63,Away,5-3,,
2024,Stetson,Stetson,Tue Dec 5,227,120,Charlotte,"L, 85-62",64,Away,5-4,,
2024,Stetson,Stetson,Sun Dec 10,249,NR,Johnson FL,"W, 123-43",77,Home,6-4,,
2024,Stetson,Stetson,Sun Dec 17,240,260,Nebraska Omaha,"L, 88-80",71,Away,6-5,,
2024,Stetson,Stetson,Tue Dec 19,252,285,FIU,"W, 80-68",70,Away,7-5,,
2024,Stetson,Stetson,Fri Dec 22,230,39,Cincinnati,"L, 83-75",64,Away,7-6,,
2024,Stetson,Stetson,Fri Dec 29,219,120,Charlotte,"W, 79-75",66,Home,8-6,,
2024,Stetson,Stetson,Thu Jan 4,207,240,North Florida,"W, 75-74",63,Home,9-6,1-0,
2024,Stetson,Stetson,Sat Jan 6,224,273,Jacksonville,"W, 71-55",62,Home,10-6,2-0,
2024,Stetson,Stetson,Wed Jan 10,190,265,Kennesaw St.,"L, 88-70",77,Away,10-7,2-1,
2024,Stetson,Stetson,Fri Jan 12,206,269,Queens,"W, 84-66",71,Away,11-7,3-1,
2024,Stetson,Stetson,Mon Jan 15,183,295,Chicago St.,"L, 77-70",61,Home,11-8,,
2024,Stetson,Stetson,Sat Jan 20,199,241,Florida Gulf Coast,"L, 80-56",63,Away,11-9,3-2,
2024,Stetson,Stetson,Thu Jan 25,223,245,Austin Peay,"W, 83-82",66,Home,12-9,4-2,
2024,Stetson,Stetson,Sat Jan 27,228,166,Lipscomb,"W, 80-59",71,Home,13-9,5-2,
2024,Stetson,Stetson,Thu Feb 1,206,252,North Alabama,"L, 79-72",66,Away,13-10,5-3,
2024,Stetson,Stetson,Sat Feb 3,211,340,Central Arkansas,"W, 73-62",76,Away,14-10,6-3,
2024,Stetson,Stetson,Wed Feb 7,205,316,Bellarmine,"W, 84-77",63,Away,15-10,7-3,
2024,Stetson,Stetson,Sat Feb 10,197,211,Eastern Kentucky,"W, 87-79",68,Home,16-10,8-3,
2024,Stetson,Stetson,Sat Feb 17,201,241,Florida Gulf Coast,"W, 61-60",63,Home,17-10,9-3,
2024,Stetson,Stetson,Thu Feb 22,204,269,Queens,"L, 83-75",73,Home,17-11,9-4,
2024,Stetson,Stetson,Sat Feb 24,218,265,Kennesaw St.,"W, 84-72",79,Home,18-11,10-4,
2024,Stetson,Stetson,Wed Feb 28,214,273,Jacksonville,"W, 86-73",61,Away,19-11,11-4,
2024,Stetson,Stetson,Fri Mar 1,197,240,North Florida,"L, 78-59",63,Away,19-12,11-5,
2024,Stetson,Stetson,Tue Mar 5,217,269,Queens,"W, 83-71",69,Home,20-12,,ASUN
2024,Stetson,Stetson,Thu Mar 7,211,273,Jacksonville,"W, 88-87",64,Home,21-12,,ASUN
2024,Stetson,Stetson,Sun Mar 10,214,245,Austin Peay,"W, 94-91",72,Home,22-12,,ASUN
2024,Stetson,Stetson,Fri Mar 22,220,1,Connecticut,"L, 91-52",69,Neutral,22-13,,NCAA
