Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Vermont,Vermont,Mon Nov 6,137,212,Merrimack,"W, 67-55",57,Home,1-0,,
2024,Vermont,Vermont,Sat Nov 11,136,NR,Plattsburgh St.,"W, 92-41",64,Home,2-0,,
2024,Vermont,Vermont,Thu Nov 16,132,101,Charleston,"W, 73-64",67,Neutral,3-0,,
2024,Vermont,Vermont,Fri Nov 17,121,199,Saint Louis,"W, 78-68",65,Neutral,4-0,,
2024,Vermont,Vermont,Sun Nov 19,104,137,Liberty,"L, 71-61",65,Neutral,4-1,,
2024,Vermont,Vermont,Wed Nov 22,112,NR,Northern Vermont,"W, 106-57",69,Home,5-1,,
2024,Vermont,Vermont,Sat Nov 25,107,64,Bradley,"L, 79-70",67,Away,5-2,,
2024,Vermont,Vermont,Wed Nov 29,119,336,Dartmouth,"W, 64-53",62,Home,6-2,,
2024,Vermont,Vermont,Sat Dec 2,121,90,Yale,"W, 66-65",62,Home,7-2,,
2024,Vermont,Vermont,Wed Dec 6,121,250,Northeastern,"W, 73-71",63,Away,8-2,,
2024,Vermont,Vermont,Sat Dec 9,119,150,Colgate,"L, 77-71",63,Home,8-3,,
2024,Vermont,Vermont,Sat Dec 16,134,58,Virginia Tech,"L, 73-51",66,Away,8-4,,
2024,Vermont,Vermont,Wed Dec 20,148,139,Toledo,"W, 86-60",70,Away,9-4,,
2024,Vermont,Vermont,Fri Dec 22,114,257,Miami OH,"L, 70-69",65,Away,9-5,,
2024,Vermont,Vermont,Tue Jan 2,123,191,Brown,"W, 71-70",62,Away,10-5,,
2024,Vermont,Vermont,Sat Jan 6,125,231,Maine,"W, 65-58",66,Home,11-5,1-0,
2024,Vermont,Vermont,Thu Jan 11,125,274,UMBC,"W, 77-72",67,Home,12-5,2-0,
2024,Vermont,Vermont,Sat Jan 13,131,335,NJIT,"W, 76-55",62,Home,13-5,3-0,
2024,Vermont,Vermont,Thu Jan 18,130,284,Binghamton,"W, 82-62",66,Away,14-5,4-0,
2024,Vermont,Vermont,Thu Jan 25,127,153,UMass Lowell,"W, 72-65",74,Away,15-5,5-0,
2024,Vermont,Vermont,Sat Jan 27,118,173,Bryant,"W, 67-57",68,Away,16-5,6-0,
2024,Vermont,Vermont,Thu Feb 1,109,244,Albany,"W, 81-59",71,Home,17-5,7-0,
2024,Vermont,Vermont,Sat Feb 3,103,284,Binghamton,"W, 62-49",57,Home,18-5,8-0,
2024,Vermont,Vermont,Thu Feb 8,104,335,NJIT,"L, 63-61",64,Away,18-6,8-1,
2024,Vermont,Vermont,Sat Feb 10,111,274,UMBC,"W, 72-70",66,Away,19-6,9-1,
2024,Vermont,Vermont,Thu Feb 15,113,246,New Hampshire,"W, 70-54",70,Home,20-6,10-1,
2024,Vermont,Vermont,Sat Feb 17,111,231,Maine,"W, 68-57",65,Away,21-6,11-1,
2024,Vermont,Vermont,Thu Feb 22,108,244,Albany,"W, 94-80",74,Away,22-6,12-1,
2024,Vermont,Vermont,Sat Feb 24,104,173,Bryant,"W, 65-48",64,Home,23-6,13-1,
2024,Vermont,Vermont,Sat Mar 2,97,153,UMass Lowell,"W, 74-62",65,Home,24-6,14-1,
2024,Vermont,Vermont,Tue Mar 5,97,246,New Hampshire,"W, 68-64",72,Away,25-6,15-1,
2024,Vermont,Vermont,Sat Mar 9,99,244,Albany,"W, 75-72",66,Home,26-6,,America East
2024,Vermont,Vermont,Tue Mar 12,103,246,New Hampshire,"W, 66-59",69,Home,27-6,,America East
2024,Vermont,Vermont,Sat Mar 16,104,153,UMass Lowell,"W, 66-61",64,Home,28-6,,America East
2024,Vermont,Vermont,Fri Mar 22,104,7,Duke,"L, 64-47",60,Neutral,28-7,,NCAA
