Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Wagner,Wagner,Mon Nov 6,295,188,Fordham,"L, 68-64",68,Away,0-1,,
2024,Wagner,Wagner,Thu Nov 9,290,NR,Molloy,"W, 83-48",69,Home,1-1,,
2024,Wagner,Wagner,Tue Nov 14,290,206,Rhode Island,"L, 69-53",62,Away,1-2,,
2024,Wagner,Wagner,Sat Nov 18,298,50,Seton Hall,"L, 72-51",62,Away,1-3,,
2024,Wagner,Wagner,Sat Nov 25,308,335,NJIT,"W, 64-51",61,Home,2-3,,
2024,Wagner,Wagner,Tue Nov 28,296,59,Providence,"L, 86-52",70,Away,2-4,,
2024,Wagner,Wagner,Sat Dec 2,303,168,Stony Brook,"W, 60-59",64,Away,3-4,,
2024,Wagner,Wagner,Wed Dec 6,294,361,Coppin St.,"W, 62-59",66,Away,4-4,,
2024,Wagner,Wagner,Sun Dec 10,300,297,Boston University,"L, 73-59",62,Home,4-5,,
2024,Wagner,Wagner,Sun Dec 17,320,175,Fairfield,"L, 63-51",63,Away,4-6,,
2024,Wagner,Wagner,Fri Dec 22,322,NR,Gwynedd Mercy,"W, 98-49",69,Home,5-6,,
2024,Wagner,Wagner,Sat Dec 30,321,337,Manhattan,"W, 68-56",62,Away,6-6,,
2024,Wagner,Wagner,Thu Jan 4,304,343,LIU,"L, 69-67",66,Away,6-7,0-1,
2024,Wagner,Wagner,Sat Jan 6,308,354,Saint Francis,"W, 71-56",62,Home,7-7,1-1,
2024,Wagner,Wagner,Mon Jan 15,302,359,Stonehill,"W, 64-54",60,Home,8-7,2-1,
2024,Wagner,Wagner,Fri Jan 19,300,212,Merrimack,"W, 71-65",64,Away,9-7,3-1,
2024,Wagner,Wagner,Sun Jan 21,287,293,Sacred Heart,"L, 66-61",62,Away,9-8,3-2,
2024,Wagner,Wagner,Thu Jan 25,294,212,Merrimack,"L, 60-44",58,Home,9-9,3-3,
2024,Wagner,Wagner,Sat Jan 27,308,262,Central Connecticut,"L, 69-68",64,Away,9-10,3-4,
2024,Wagner,Wagner,Thu Feb 1,302,302,Le Moyne,"W, 80-57",63,Home,10-10,4-4,
2024,Wagner,Wagner,Sat Feb 3,291,359,Stonehill,"L, 71-61",61,Away,10-11,4-5,
2024,Wagner,Wagner,Thu Feb 8,298,327,Fairleigh Dickinson,"W, 66-62",63,Away,11-11,5-5,
2024,Wagner,Wagner,Thu Feb 15,294,354,Saint Francis,"W, 65-63",68,Away,12-11,6-5,
2024,Wagner,Wagner,Sat Feb 17,294,293,Sacred Heart,"L, 63-53",62,Home,12-12,6-6,
2024,Wagner,Wagner,Thu Feb 22,310,262,Central Connecticut,"L, 73-72",68,Home,12-13,6-7,
2024,Wagner,Wagner,Sun Feb 25,307,343,LIU,"W, 72-57",65,Home,13-13,7-7,
2024,Wagner,Wagner,Thu Feb 29,307,302,Le Moyne,"L, 70-56",67,Away,13-14,7-8,
2024,Wagner,Wagner,Sat Mar 2,311,327,Fairleigh Dickinson,"L, 57-54",63,Home,13-15,7-9,
2024,Wagner,Wagner,Wed Mar 6,313,293,Sacred Heart,"W, 60-57",60,Away,14-15,,Northeast
2024,Wagner,Wagner,Sat Mar 9,309,262,Central Connecticut,"W, 66-56",62,Away,15-15,,Northeast
2024,Wagner,Wagner,Tue Mar 12,302,212,Merrimack,"W, 54-47",59,Away,16-15,,Northeast
2024,Wagner,Wagner,Tue Mar 19,293,275,Howard,"W, 71-68",64,Neutral,17-15,,NCAA
2024,Wagner,Wagner,Thu Mar 21,291,9,North Carolina,"L, 90-62",65,Neutral,17-16,,NCAA
