Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2024,Washington St.,Washington St.,Mon Nov 6,84,321,Idaho,"W, 84-59",67,Home,1-0,,
2024,Washington St.,Washington St.,Fri Nov 10,81,330,Prairie View A&M,"W, 83-65",72,Home,2-0,,
2024,Washington St.,Washington St.,Sat Nov 18,82,34,Mississippi St.,"L, 76-64",70,Neutral,2-1,,
2024,Washington St.,Washington St.,Sun Nov 19,84,206,Rhode Island,"W, 78-57",65,Neutral,3-1,,
2024,Washington St.,Washington St.,Fri Nov 24,72,281,Utah Tech,"W, 93-53",68,Home,4-1,,
2024,Washington St.,Washington St.,Mon Nov 27,58,152,Eastern Washington,"W, 82-72",66,Home,5-1,,
2024,Washington St.,Washington St.,Sat Dec 2,59,251,Portland St.,"W, 71-61",70,Home,6-1,,
2024,Washington St.,Washington St.,Wed Dec 6,60,217,UC Riverside,"W, 86-49",66,Home,7-1,,
2024,Washington St.,Washington St.,Sun Dec 10,43,259,Grambling St.,"W, 83-65",66,Home,8-1,,
2024,Washington St.,Washington St.,Sat Dec 16,47,109,Santa Clara,"L, 69-61",68,Neutral,8-2,,
2024,Washington St.,Washington St.,Thu Dec 21,66,44,Boise St.,"W, 66-61",70,Semi-Home,9-2,,
2024,Washington St.,Washington St.,Fri Dec 29,64,48,Utah,"L, 80-58",67,Away,9-3,0-1,
2024,Washington St.,Washington St.,Sun Dec 31,70,24,Colorado,"L, 74-67",68,Away,9-4,0-2,
2024,Washington St.,Washington St.,Thu Jan 4,66,155,Oregon St.,"W, 65-58",62,Home,10-4,1-2,
2024,Washington St.,Washington St.,Sat Jan 6,71,55,Oregon,"L, 89-84",67,Home,10-5,1-3,
2024,Washington St.,Washington St.,Wed Jan 10,73,85,USC,"W, 72-64",69,Away,11-5,2-3,
2024,Washington St.,Washington St.,Sat Jan 13,65,6,Arizona,"W, 73-70",69,Home,12-5,3-3,
2024,Washington St.,Washington St.,Thu Jan 18,61,105,Stanford,"W, 89-75",74,Away,13-5,4-3,
2024,Washington St.,Washington St.,Sat Jan 20,53,121,California,"L, 81-75",73,Away,13-6,4-4,
2024,Washington St.,Washington St.,Wed Jan 24,60,48,Utah,"W, 79-57",63,Home,14-6,5-4,
2024,Washington St.,Washington St.,Sat Jan 27,46,24,Colorado,"W, 78-69",66,Home,15-6,6-4,
2024,Washington St.,Washington St.,Sat Feb 3,44,60,Washington,"W, 90-87",72,Away,16-6,7-4,
2024,Washington St.,Washington St.,Thu Feb 8,43,155,Oregon St.,"W, 64-58",63,Away,17-6,8-4,
2024,Washington St.,Washington St.,Sat Feb 10,42,55,Oregon,"W, 62-56",64,Away,18-6,9-4,
2024,Washington St.,Washington St.,Thu Feb 15,39,121,California,"W, 84-65",68,Home,19-6,10-4,
2024,Washington St.,Washington St.,Sat Feb 17,38,105,Stanford,"W, 72-59",61,Home,20-6,11-4,
2024,Washington St.,Washington St.,Thu Feb 22,34,6,Arizona,"W, 77-74",71,Away,21-6,12-4,
2024,Washington St.,Washington St.,Sat Feb 24,30,127,Arizona St.,"L, 73-61",63,Away,21-7,12-5,
2024,Washington St.,Washington St.,Thu Feb 29,36,85,USC,"W, 75-72",67,Home,22-7,13-5,
2024,Washington St.,Washington St.,Sat Mar 2,40,98,UCLA,"W, 77-65",61,Home,23-7,14-5,
2024,Washington St.,Washington St.,Thu Mar 7,40,60,Washington,"L, 74-68",72,Home,23-8,14-6,
2024,Washington St.,Washington St.,Thu Mar 14,45,105,Stanford,"W, 79-62",68,Neutral,24-8,,Pac 12
2024,Washington St.,Washington St.,Fri Mar 15,41,24,Colorado,"L, 58-52",61,Neutral,24-9,,Pac 12
2024,Washington St.,Washington St.,Thu Mar 21,38,53,Drake,"W, 66-61",66,Neutral,25-9,,NCAA
2024,Washington St.,Washington St.,Sat Mar 23,35,8,Iowa St.,"L, 67-56",59,Neutral,25-10,,NCAA
