Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Alabama St.,Alabama St.,Mon Nov 4,280,93,UNLV,"L, 93-79",70,Away,0-1,,
2025,Alabama St.,Alabama St.,Sun Nov 10,274,88,LSU,"L, 74-61",72,Away,0-2,,
2025,Alabama St.,Alabama St.,Mon Nov 18,257,NR,Virginia Lynchburg,"W, 115-64",84,Home,1-2,,
2025,Alabama St.,Alabama St.,Fri Nov 22,255,165,Nebraska Omaha,"W, 85-67",72,Neutral,2-2,,
2025,Alabama St.,Alabama St.,Sat Nov 23,230,158,Lamar,"W, 77-75",68,Neutral,3-2,,
2025,Alabama St.,Alabama St.,Sun Nov 24,228,100,Akron,"L, 97-78",74,Away,3-3,,
2025,Alabama St.,Alabama St.,Wed Nov 27,240,55,Cincinnati,"L, 77-59",70,Away,3-4,,
2025,Alabama St.,Alabama St.,Tue Dec 3,235,50,SMU,"L, 101-72",73,Away,3-5,,
2025,Alabama St.,Alabama St.,Thu Dec 5,248,293,Southern Miss,"L, 81-64",74,Away,3-6,,
2025,Alabama St.,Alabama St.,Wed Dec 11,262,292,Tennessee Martin,"W, 103-93",79,Home,4-6,,
2025,Alabama St.,Alabama St.,Thu Dec 19,254,178,Norfolk St.,"L, 71-54",66,Neutral,4-7,,
2025,Alabama St.,Alabama St.,Fri Dec 20,274,307,Delaware St.,"L, 83-80",69,Neutral,4-8,,
2025,Alabama St.,Alabama St.,Mon Dec 30,271,19,Missouri,"L, 82-65",71,Away,4-9,,
2025,Alabama St.,Alabama St.,Sat Jan 4,269,364,Mississippi Valley St.,"W, 84-55",65,Home,5-9,1-0,
2025,Alabama St.,Alabama St.,Mon Jan 6,264,363,Arkansas Pine Bluff,"W, 93-91",72,Home,6-9,2-0,
2025,Alabama St.,Alabama St.,Sat Jan 11,273,246,Jackson St.,"L, 77-70",70,Away,6-10,2-1,
2025,Alabama St.,Alabama St.,Mon Jan 13,277,325,Alcorn St.,"L, 67-65",64,Away,6-11,2-2,
2025,Alabama St.,Alabama St.,Sat Jan 18,284,360,Alabama A&M,"W, 69-65",69,Away,7-11,3-2,
2025,Alabama St.,Alabama St.,Sat Jan 25,275,357,Prairie View A&M,"W, 66-63",70,Home,8-11,4-2,
2025,Alabama St.,Alabama St.,Mon Jan 27,283,278,Texas Southern,"L, 80-69",71,Home,8-12,4-3,
2025,Alabama St.,Alabama St.,Sat Feb 1,299,286,Bethune Cookman,"L, 67-64",72,Away,8-13,4-4,
2025,Alabama St.,Alabama St.,Mon Feb 3,296,317,Florida A&M,"W, 67-66",62,Away,9-13,5-4,
2025,Alabama St.,Alabama St.,Sat Feb 8,293,319,Grambling St.,"L, 77-67",67,Home,9-14,5-5,
2025,Alabama St.,Alabama St.,Mon Feb 10,305,231,Southern,"W, 82-81",72,Home,10-14,6-5,
2025,Alabama St.,Alabama St.,Sat Feb 15,301,363,Arkansas Pine Bluff,"W, 75-63",74,Away,11-14,7-5,
2025,Alabama St.,Alabama St.,Mon Feb 17,300,364,Mississippi Valley St.,"W, 79-56",68,Away,12-14,8-5,
2025,Alabama St.,Alabama St.,Sat Feb 22,299,317,Florida A&M,"W, 60-59",64,Home,13-14,9-5,
2025,Alabama St.,Alabama St.,Mon Feb 24,303,286,Bethune Cookman,"L, 70-68",69,Home,13-15,9-6,
2025,Alabama St.,Alabama St.,Sat Mar 1,303,360,Alabama A&M,"W, 94-52",69,Home,14-15,10-6,
2025,Alabama St.,Alabama St.,Thu Mar 6,293,231,Southern,"W, 66-65",67,Away,15-15,11-6,
2025,Alabama St.,Alabama St.,Sat Mar 8,288,319,Grambling St.,"W, 59-47",62,Away,16-15,12-6,
2025,Alabama St.,Alabama St.,Thu Mar 13,281,278,Texas Southern,"W, 84-79",76,Neutral,17-15,,Southwestern Athletic
2025,Alabama St.,Alabama St.,Fri Mar 14,276,319,Grambling St.,"W, 64-62",64,Neutral,18-15,,Southwestern Athletic
2025,Alabama St.,Alabama St.,Sat Mar 15,280,246,Jackson St.,"W, 60-56",64,Neutral,19-15,,Southwestern Athletic
2025,Alabama St.,Alabama St.,Tue Mar 18,273,309,Saint Francis,"W, 70-68",66,Neutral,20-15,,NCAA
2025,Alabama St.,Alabama St.,Thu Mar 20,273,4,Auburn,"L, 83-63",73,Neutral,20-16,,NCAA
