Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Auburn,Auburn,Wed Nov 6,5,242,Vermont,"W, 94-43",70,Home,1-0,,
2025,Auburn,Auburn,Sat Nov 9,2,2,Houston,"W, 74-69",62,Semi-Away,2-0,,
2025,Auburn,Auburn,Wed Nov 13,1,111,Kent St.,"W, 79-56",63,Home,3-0,,
2025,Auburn,Auburn,Mon Nov 18,1,113,North Alabama,"W, 102-69",74,Home,4-0,,
2025,Auburn,Auburn,Mon Nov 25,2,11,Iowa St.,"W, 83-81",71,Neutral,5-0,,
2025,Auburn,Auburn,Tue Nov 26,3,31,North Carolina,"W, 85-72",74,Neutral,6-0,,
2025,Auburn,Auburn,Wed Nov 27,1,54,Memphis,"W, 90-76",67,Neutral,7-0,,
2025,Auburn,Auburn,Wed Dec 4,1,1,Duke,"L, 84-78",63,Away,7-1,,
2025,Auburn,Auburn,Sun Dec 8,1,247,Richmond,"W, 98-54",73,Home,8-1,,
2025,Auburn,Auburn,Sat Dec 14,1,37,Ohio St.,"W, 91-53",65,Neutral,9-1,,
2025,Auburn,Auburn,Tue Dec 17,1,262,Georgia St.,"W, 100-59",74,Home,10-1,,
2025,Auburn,Auburn,Sat Dec 21,1,15,Purdue,"W, 87-69",68,Semi-Home,11-1,,
2025,Auburn,Auburn,Mon Dec 30,1,268,Monmouth,"W, 87-58",69,Home,12-1,,
2025,Auburn,Auburn,Sat Jan 4,1,19,Missouri,"W, 84-68",70,Home,13-1,1-0,
2025,Auburn,Auburn,Tue Jan 7,1,47,Texas,"W, 87-82",72,Away,14-1,2-0,
2025,Auburn,Auburn,Sat Jan 11,1,69,South Carolina,"W, 66-63",60,Away,15-1,3-0,
2025,Auburn,Auburn,Tue Jan 14,1,33,Mississippi St.,"W, 88-66",71,Home,16-1,4-0,
2025,Auburn,Auburn,Sat Jan 18,1,38,Georgia,"W, 70-68",66,Away,17-1,5-0,
2025,Auburn,Auburn,Sat Jan 25,2,5,Tennessee,"W, 53-51",63,Home,18-1,6-0,
2025,Auburn,Auburn,Wed Jan 29,1,88,LSU,"W, 87-74",73,Away,19-1,7-0,
2025,Auburn,Auburn,Sat Feb 1,2,22,Mississippi,"W, 92-82",70,Away,20-1,8-0,
2025,Auburn,Auburn,Tue Feb 4,1,40,Oklahoma,"W, 98-70",74,Home,21-1,9-0,
2025,Auburn,Auburn,Sat Feb 8,1,3,Florida,"L, 90-81",74,Home,21-2,9-1,
2025,Auburn,Auburn,Tue Feb 11,1,48,Vanderbilt,"W, 80-68",64,Away,22-2,10-1,
2025,Auburn,Auburn,Sat Feb 15,1,6,Alabama,"W, 94-85",78,Away,23-2,11-1,
2025,Auburn,Auburn,Wed Feb 19,1,36,Arkansas,"W, 67-60",69,Home,24-2,12-1,
2025,Auburn,Auburn,Sat Feb 22,2,38,Georgia,"W, 82-70",68,Home,25-2,13-1,
2025,Auburn,Auburn,Wed Feb 26,2,22,Mississippi,"W, 106-76",71,Home,26-2,14-1,
2025,Auburn,Auburn,Sat Mar 1,2,16,Kentucky,"W, 94-78",74,Away,27-2,15-1,
2025,Auburn,Auburn,Tue Mar 4,2,18,Texas A&M,"L, 83-72",62,Away,27-3,15-2,
2025,Auburn,Auburn,Sat Mar 8,2,6,Alabama,"L, 93-91",82,Home,27-4,15-3,
2025,Auburn,Auburn,Fri Mar 14,2,22,Mississippi,"W, 62-57",64,Neutral,28-4,,Southeastern
2025,Auburn,Auburn,Sat Mar 15,2,5,Tennessee,"L, 70-65",62,Neutral,28-5,,Southeastern
2025,Auburn,Auburn,Thu Mar 20,4,269,Alabama St.,"W, 83-63",73,Neutral,29-5,,NCAA
2025,Auburn,Auburn,Sat Mar 22,4,35,Creighton,"W, 82-70",68,Neutral,30-5,,NCAA
2025,Auburn,Auburn,Fri Mar 28,4,21,Michigan,"W, 78-65",75,Neutral,31-5,,NCAA
2025,Auburn,Auburn,Sun Mar 30,4,7,Michigan St.,"W, 70-64",67,Neutral,32-5,,NCAA
2025,Auburn,Auburn,Sat Apr 5,4,3,Florida,"L, 79-73",72,Neutral,32-6,,NCAA
