Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,BYU,BYU,Tue Nov 5,22,349,Central Arkansas,"W, 88-50",69,Home,1-0,,
2025,BYU,BYU,Fri Nov 8,19,159,UC Riverside,"W, 86-80",74,Home,2-0,,
2025,BYU,BYU,Wed Nov 13,31,212,Queens,"W, 99-55",74,Home,3-0,,
2025,BYU,BYU,Sat Nov 16,28,281,Idaho,"W, 95-71",72,Home,4-0,,
2025,BYU,BYU,Sat Nov 23,27,364,Mississippi Valley St.,"W, 87-43",62,Home,5-0,,
2025,BYU,BYU,Thu Nov 28,31,22,Mississippi,"L, 96-85",81,Neutral,5-1,,
2025,BYU,BYU,Fri Nov 29,36,125,N.C. State,"W, 72-61",65,Neutral,6-1,,
2025,BYU,BYU,Tue Dec 3,34,96,Providence,"L, 83-64",62,Away,6-2,,
2025,BYU,BYU,Wed Dec 11,47,259,Fresno St.,"W, 95-67",76,Home,7-2,,
2025,BYU,BYU,Sat Dec 14,44,185,Wyoming,"W, 68-49",60,Semi-Home,8-2,,
2025,BYU,BYU,Fri Dec 20,41,317,Florida A&M,"W, 103-57",76,Home,9-2,,
2025,BYU,BYU,Tue Dec 31,43,73,Arizona St.,"W, 76-56",65,Home,10-2,1-0,
2025,BYU,BYU,Sat Jan 4,34,2,Houston,"L, 86-55",63,Away,10-3,1-1,
2025,BYU,BYU,Tue Jan 7,39,9,Texas Tech,"L, 72-67",61,Home,10-4,1-2,
2025,BYU,BYU,Sat Jan 11,44,86,TCU,"L, 71-67",66,Away,10-5,1-3,
2025,BYU,BYU,Tue Jan 14,47,97,Oklahoma St.,"W, 85-69",69,Home,11-5,2-3,
2025,BYU,BYU,Sat Jan 18,43,76,Utah,"L, 73-72",74,Away,11-6,2-4,
2025,BYU,BYU,Tue Jan 21,45,87,Colorado,"W, 83-67",66,Away,12-6,3-4,
2025,BYU,BYU,Sat Jan 25,38,55,Cincinnati,"W, 80-52",60,Home,13-6,4-4,
2025,BYU,BYU,Tue Jan 28,31,30,Baylor,"W, 93-89",70,Home,14-6,5-4,
2025,BYU,BYU,Sat Feb 1,31,67,UCF,"W, 81-75",77,Away,15-6,6-4,
2025,BYU,BYU,Tue Feb 4,31,13,Arizona,"L, 85-74",72,Home,15-7,6-5,
2025,BYU,BYU,Sat Feb 8,34,55,Cincinnati,"L, 84-66",64,Away,15-8,6-6,
2025,BYU,BYU,Tue Feb 11,37,53,West Virginia,"W, 73-69",64,Away,16-8,7-6,
2025,BYU,BYU,Sat Feb 15,34,65,Kansas St.,"W, 80-65",66,Home,17-8,8-6,
2025,BYU,BYU,Tue Feb 18,33,24,Kansas,"W, 91-57",72,Home,18-8,9-6,
2025,BYU,BYU,Sat Feb 22,30,13,Arizona,"W, 96-95",70,Away,19-8,10-6,
2025,BYU,BYU,Wed Feb 26,28,73,Arizona St.,"W, 91-81",74,Away,20-8,11-6,
2025,BYU,BYU,Sat Mar 1,27,53,West Virginia,"W, 77-56",64,Home,21-8,12-6,
2025,BYU,BYU,Tue Mar 4,25,11,Iowa St.,"W, 88-85",85,Away,22-8,13-6,
2025,BYU,BYU,Sat Mar 8,23,76,Utah,"W, 85-74",74,Home,23-8,14-6,
2025,BYU,BYU,Thu Mar 13,24,11,Iowa St.,"W, 96-92",69,Neutral,24-8,,Big 12
2025,BYU,BYU,Fri Mar 14,23,2,Houston,"L, 74-54",63,Neutral,24-9,,Big 12
2025,BYU,BYU,Thu Mar 20,24,34,VCU,"W, 80-71",65,Neutral,25-9,,NCAA
2025,BYU,BYU,Sat Mar 22,24,12,Wisconsin,"W, 91-89",71,Neutral,26-9,,NCAA
2025,BYU,BYU,Thu Mar 27,24,6,Alabama,"L, 113-88",79,Neutral,26-10,,NCAA
