Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Baylor,Baylor,Mon Nov 4,11,8,Gonzaga,"L, 101-63",70,Away,0-1,,
2025,Baylor,Baylor,Sat Nov 9,26,36,Arkansas,"W, 72-67",65,Neutral,1-1,,
2025,Baylor,Baylor,Tue Nov 12,24,175,Sam Houston St.,"W, 104-67",73,Home,2-1,,
2025,Baylor,Baylor,Sun Nov 17,16,288,Tarleton St.,"W, 104-41",71,Home,3-1,,
2025,Baylor,Baylor,Thu Nov 21,12,14,St. John's,"W, 99-98",90,Neutral,4-1,,
2025,Baylor,Baylor,Fri Nov 22,11,5,Tennessee,"L, 77-62",61,Neutral,4-2,,
2025,Baylor,Baylor,Wed Nov 27,20,341,New Orleans,"W, 91-60",64,Home,5-2,,
2025,Baylor,Baylor,Wed Dec 4,23,32,Connecticut,"L, 76-72",60,Away,5-3,,
2025,Baylor,Baylor,Mon Dec 9,23,221,Abilene Christian,"W, 88-57",66,Home,6-3,,
2025,Baylor,Baylor,Wed Dec 11,16,178,Norfolk St.,"W, 94-69",70,Home,7-3,,
2025,Baylor,Baylor,Fri Dec 27,18,NR,Arlington Baptist,"W, 107-53",85,Home,8-3,,
2025,Baylor,Baylor,Tue Dec 31,21,76,Utah,"W, 81-56",77,Home,9-3,1-0,
2025,Baylor,Baylor,Sat Jan 4,15,11,Iowa St.,"L, 74-55",65,Away,9-4,1-1,
2025,Baylor,Baylor,Tue Jan 7,23,55,Cincinnati,"W, 68-48",60,Home,10-4,2-1,
2025,Baylor,Baylor,Sat Jan 11,19,73,Arizona St.,"W, 72-66",69,Away,11-4,3-1,
2025,Baylor,Baylor,Tue Jan 14,18,13,Arizona,"L, 81-70",68,Away,11-5,3-2,
2025,Baylor,Baylor,Sun Jan 19,23,86,TCU,"L, 74-71",67,Home,11-6,3-3,
2025,Baylor,Baylor,Wed Jan 22,25,65,Kansas St.,"W, 70-62",58,Home,12-6,4-3,
2025,Baylor,Baylor,Sat Jan 25,28,76,Utah,"W, 76-61",62,Away,13-6,5-3,
2025,Baylor,Baylor,Tue Jan 28,26,26,BYU,"L, 93-89",70,Away,13-7,5-4,
2025,Baylor,Baylor,Sat Feb 1,28,24,Kansas,"W, 81-70",76,Home,14-7,6-4,
2025,Baylor,Baylor,Tue Feb 4,25,9,Texas Tech,"L, 73-59",66,Away,14-8,6-5,
2025,Baylor,Baylor,Sat Feb 8,26,67,UCF,"W, 91-76",68,Home,15-8,7-5,
2025,Baylor,Baylor,Mon Feb 10,26,2,Houston,"L, 76-65",58,Away,15-9,7-6,
2025,Baylor,Baylor,Sat Feb 15,28,53,West Virginia,"W, 74-71",73,Home,16-9,8-6,
2025,Baylor,Baylor,Mon Feb 17,29,13,Arizona,"L, 74-67",68,Home,16-10,8-7,
2025,Baylor,Baylor,Sat Feb 22,29,87,Colorado,"L, 76-74",68,Away,16-11,8-8,
2025,Baylor,Baylor,Tue Feb 25,30,55,Cincinnati,"L, 69-67",60,Away,16-12,8-9,
2025,Baylor,Baylor,Sat Mar 1,30,97,Oklahoma St.,"W, 71-61",74,Home,17-12,9-9,
2025,Baylor,Baylor,Tue Mar 4,31,86,TCU,"W, 61-58",58,Away,18-12,10-9,
2025,Baylor,Baylor,Sat Mar 8,30,2,Houston,"L, 65-61",58,Home,18-13,10-10,
2025,Baylor,Baylor,Wed Mar 12,30,65,Kansas St.,"W, 70-56",61,Neutral,19-13,,Big 12
2025,Baylor,Baylor,Thu Mar 13,28,9,Texas Tech,"L, 76-74",61,Neutral,19-14,,Big 12
2025,Baylor,Baylor,Fri Mar 21,29,33,Mississippi St.,"W, 75-72",65,Neutral,20-14,,NCAA
2025,Baylor,Baylor,Sun Mar 23,29,1,Duke,"L, 89-66",59,Neutral,20-15,,NCAA
