Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Bryant,Bryant,Mon Nov 4,147,NR,Dean,"W, 105-63",80,Home,1-0,,
2025,Bryant,Bryant,Fri Nov 8,144,253,Siena,"L, 90-88",83,Home,1-1,,
2025,Bryant,Bryant,Thu Nov 14,176,339,Buffalo,"W, 87-64",78,Away,2-1,,
2025,Bryant,Bryant,Mon Nov 18,152,235,Delaware,"W, 85-84",78,Away,3-1,,
2025,Bryant,Bryant,Thu Nov 21,154,323,Stonehill,"L, 67-66",68,Away,3-2,,
2025,Bryant,Bryant,Sun Nov 24,172,123,St. Bonaventure,"L, 85-70",70,Away,3-3,,
2025,Bryant,Bryant,Tue Nov 26,184,252,Tennessee St.,"W, 97-85",82,Neutral,4-3,,
2025,Bryant,Bryant,Wed Nov 27,176,94,Chattanooga,"L, 84-76",68,Away,4-4,,
2025,Bryant,Bryant,Mon Dec 2,188,183,Drexel,"W, 78-73",71,Away,5-4,,
2025,Bryant,Bryant,Fri Dec 6,171,208,Brown,"L, 76-75",71,Home,5-5,,
2025,Bryant,Bryant,Sun Dec 8,182,NR,Vermont St. Johnson,"W, 122-63",77,Home,6-5,,
2025,Bryant,Bryant,Wed Dec 11,179,14,St. John's,"L, 99-77",78,Away,6-6,,
2025,Bryant,Bryant,Sat Dec 14,181,237,Fordham,"L, 86-84",81,Neutral,6-7,,
2025,Bryant,Bryant,Sun Dec 22,183,152,Towson,"L, 70-65",69,Away,6-8,,
2025,Bryant,Bryant,Mon Dec 30,193,101,Grand Canyon,"L, 112-66",91,Away,6-9,,
2025,Bryant,Bryant,Sat Jan 4,208,219,Maine,"W, 81-55",72,Home,7-9,1-0,
2025,Bryant,Bryant,Sat Jan 11,193,242,Vermont,"W, 73-53",62,Home,8-9,2-0,
2025,Bryant,Bryant,Thu Jan 16,177,275,Albany,"W, 89-79",73,Away,9-9,3-0,
2025,Bryant,Bryant,Sat Jan 18,171,244,UMass Lowell,"W, 85-62",76,Home,10-9,4-0,
2025,Bryant,Bryant,Thu Jan 23,152,356,New Hampshire,"W, 95-76",72,Away,11-9,5-0,
2025,Bryant,Bryant,Sat Jan 25,151,320,Binghamton,"W, 83-69",69,Home,12-9,6-0,
2025,Bryant,Bryant,Thu Jan 30,150,299,UMBC,"W, 92-86",75,Away,13-9,7-0,
2025,Bryant,Bryant,Sat Feb 1,148,353,NJIT,"W, 92-70",72,Away,14-9,8-0,
2025,Bryant,Bryant,Thu Feb 6,147,275,Albany,"L, 68-63",67,Home,14-10,8-1,
2025,Bryant,Bryant,Sat Feb 8,152,320,Binghamton,"W, 78-71",67,Away,15-10,9-1,
2025,Bryant,Bryant,Thu Feb 13,159,353,NJIT,"W, 88-66",75,Home,16-10,10-1,
2025,Bryant,Bryant,Sat Feb 15,156,299,UMBC,"W, 81-79",73,Home,17-10,11-1,
2025,Bryant,Bryant,Thu Feb 20,156,242,Vermont,"L, 59-55",64,Away,17-11,11-2,
2025,Bryant,Bryant,Thu Feb 27,166,244,UMass Lowell,"W, 79-78",77,Away,18-11,12-2,
2025,Bryant,Bryant,Sat Mar 1,165,219,Maine,"W, 80-72",67,Away,19-11,13-2,
2025,Bryant,Bryant,Tue Mar 4,159,356,New Hampshire,"W, 90-56",77,Home,20-11,14-2,
2025,Bryant,Bryant,Sat Mar 8,157,299,UMBC,"W, 85-74",73,Home,21-11,,America East
2025,Bryant,Bryant,Tue Mar 11,155,275,Albany,"W, 91-78",76,Home,22-11,,America East
2025,Bryant,Bryant,Sat Mar 15,150,219,Maine,"W, 79-59",74,Home,23-11,,America East
2025,Bryant,Bryant,Fri Mar 21,147,7,Michigan St.,"L, 87-62",71,Neutral,23-12,,NCAA
