Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Clemson,Clemson,Mon Nov 4,24,302,Charleston Southern,"W, 91-64",70,Home,1-0,,
2025,Clemson,Clemson,Fri Nov 8,25,309,Saint Francis,"W, 88-62",72,Home,2-0,,
2025,Clemson,Clemson,Tue Nov 12,26,187,Eastern Kentucky,"W, 75-62",65,Home,3-0,,
2025,Clemson,Clemson,Sun Nov 17,35,49,Boise St.,"L, 84-71",71,Away,3-1,,
2025,Clemson,Clemson,Thu Nov 21,44,151,Radford,"W, 79-51",64,Home,4-1,,
2025,Clemson,Clemson,Mon Nov 25,37,66,San Francisco,"W, 70-55",62,Neutral,5-1,,
2025,Clemson,Clemson,Tue Nov 26,31,58,Penn St.,"W, 75-67",69,Neutral,6-1,,
2025,Clemson,Clemson,Fri Nov 29,27,317,Florida A&M,"W, 86-58",66,Home,7-1,,
2025,Clemson,Clemson,Tue Dec 3,25,16,Kentucky,"W, 70-66",68,Home,8-1,,
2025,Clemson,Clemson,Sat Dec 7,22,193,Miami FL,"W, 65-55",59,Away,9-1,1-0,
2025,Clemson,Clemson,Sat Dec 14,20,54,Memphis,"L, 87-82",75,Home,9-2,,
2025,Clemson,Clemson,Tue Dec 17,27,69,South Carolina,"L, 91-88",76,Away,9-3,,
2025,Clemson,Clemson,Sat Dec 21,28,72,Wake Forest,"W, 73-62",70,Home,10-3,2-0,
2025,Clemson,Clemson,Wed Jan 1,30,81,Stanford,"W, 85-71",69,Home,11-3,3-0,
2025,Clemson,Clemson,Sat Jan 4,31,110,California,"W, 80-68",61,Home,12-3,4-0,
2025,Clemson,Clemson,Tue Jan 7,31,28,Louisville,"L, 74-64",66,Away,12-4,4-1,
2025,Clemson,Clemson,Sat Jan 11,35,91,Florida St.,"W, 77-57",62,Home,13-4,5-1,
2025,Clemson,Clemson,Tue Jan 14,30,103,Georgia Tech,"W, 70-59",65,Away,14-4,6-1,
2025,Clemson,Clemson,Sat Jan 18,27,63,Pittsburgh,"W, 78-75",62,Away,15-4,7-1,
2025,Clemson,Clemson,Wed Jan 22,27,115,Syracuse,"W, 86-72",64,Home,16-4,8-1,
2025,Clemson,Clemson,Sat Jan 25,27,164,Virginia Tech,"W, 72-57",61,Away,17-4,9-1,
2025,Clemson,Clemson,Sat Feb 1,29,125,N.C. State,"W, 68-58",61,Away,18-4,10-1,
2025,Clemson,Clemson,Tue Feb 4,28,103,Georgia Tech,"L, 89-86",85,Home,18-5,10-2,
2025,Clemson,Clemson,Sat Feb 8,29,1,Duke,"W, 77-71",63,Home,19-5,11-2,
2025,Clemson,Clemson,Mon Feb 10,29,31,North Carolina,"W, 85-65",70,Home,20-5,12-2,
2025,Clemson,Clemson,Sat Feb 15,27,91,Florida St.,"W, 72-46",64,Away,21-5,13-2,
2025,Clemson,Clemson,Sat Feb 22,21,50,SMU,"W, 79-69",62,Away,22-5,14-2,
2025,Clemson,Clemson,Wed Feb 26,20,98,Notre Dame,"W, 83-68",64,Home,23-5,15-2,
2025,Clemson,Clemson,Sat Mar 1,18,106,Virginia,"W, 71-58",62,Away,24-5,16-2,
2025,Clemson,Clemson,Wed Mar 5,18,181,Boston College,"W, 78-69",67,Away,25-5,17-2,
2025,Clemson,Clemson,Sat Mar 8,19,164,Virginia Tech,"W, 65-47",62,Home,26-5,18-2,
2025,Clemson,Clemson,Thu Mar 13,19,50,SMU,"W, 57-54",65,Neutral,27-5,,Atlantic Coast
2025,Clemson,Clemson,Fri Mar 14,19,28,Louisville,"L, 76-73",73,Neutral,27-6,,Atlantic Coast
2025,Clemson,Clemson,Thu Mar 20,18,60,McNeese,"L, 69-67",66,Neutral,27-7,,NCAA
