Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Drake,Drake,Mon Nov 4,133,NR,York NE,"W, 93-41",71,Home,1-0,,
2025,Drake,Drake,Sun Nov 10,133,271,Stephen F. Austin,"W, 66-51",61,Home,2-0,,
2025,Drake,Drake,Sat Nov 16,115,179,Florida Gulf Coast,"W, 63-61",63,Home,3-0,,
2025,Drake,Drake,Thu Nov 21,124,193,Miami FL,"W, 80-69",62,Neutral,4-0,,
2025,Drake,Drake,Fri Nov 22,108,116,Florida Atlantic,"W, 75-63",66,Neutral,5-0,,
2025,Drake,Drake,Sun Nov 24,90,48,Vanderbilt,"W, 81-70",71,Neutral,6-0,,
2025,Drake,Drake,Sat Nov 30,75,249,Georgia Southern,"W, 61-47",64,Home,7-0,,
2025,Drake,Drake,Thu Dec 5,76,205,Valparaiso,"W, 66-60",61,Away,8-0,1-0,
2025,Drake,Drake,Thu Dec 12,75,NR,St. Ambrose,"W, 90-35",66,Home,9-0,,
2025,Drake,Drake,Tue Dec 17,73,65,Kansas St.,"W, 73-70",66,Semi-Away,10-0,,
2025,Drake,Drake,Sat Dec 21,69,332,Green Bay,"W, 72-62",58,Home,11-0,,
2025,Drake,Drake,Sun Dec 29,77,124,Belmont,"W, 65-46",58,Home,12-0,2-0,
2025,Drake,Drake,Wed Jan 1,67,171,Illinois Chicago,"L, 74-70",59,Away,12-1,2-1,
2025,Drake,Drake,Sun Jan 5,72,138,Murray St.,"L, 66-59",59,Home,12-2,2-2,
2025,Drake,Drake,Wed Jan 8,86,92,Bradley,"W, 64-57",62,Away,13-2,3-2,
2025,Drake,Drake,Sat Jan 11,74,254,Evansville,"W, 63-40",57,Home,14-2,4-2,
2025,Drake,Drake,Wed Jan 15,75,132,Illinois St.,"W, 66-62",52,Home,15-2,5-2,
2025,Drake,Drake,Sat Jan 18,83,197,Indiana St.,"W, 71-53",64,Away,16-2,6-2,
2025,Drake,Drake,Wed Jan 22,76,205,Valparaiso,"W, 81-71",63,Home,17-2,7-2,
2025,Drake,Drake,Sat Jan 25,73,239,Missouri St.,"W, 69-62",61,Away,18-2,8-2,
2025,Drake,Drake,Wed Jan 29,72,102,Northern Iowa,"W, 66-52",56,Home,19-2,9-2,
2025,Drake,Drake,Sat Feb 1,68,190,Southern Illinois,"W, 75-65",61,Away,20-2,10-2,
2025,Drake,Drake,Tue Feb 4,64,138,Murray St.,"W, 55-45",49,Away,21-2,11-2,
2025,Drake,Drake,Sat Feb 8,60,197,Indiana St.,"W, 85-81",74,Home,22-2,12-2,
2025,Drake,Drake,Wed Feb 12,60,132,Illinois St.,"W, 84-77",65,Away,23-2,13-2,
2025,Drake,Drake,Sun Feb 16,60,92,Bradley,"L, 61-59",57,Home,23-3,13-3,
2025,Drake,Drake,Wed Feb 19,62,171,Illinois Chicago,"W, 74-57",59,Home,24-3,14-3,
2025,Drake,Drake,Sun Feb 23,60,102,Northern Iowa,"W, 64-58",65,Away,25-3,15-3,
2025,Drake,Drake,Wed Feb 26,59,254,Evansville,"W, 65-61",61,Away,26-3,16-3,
2025,Drake,Drake,Sun Mar 2,59,239,Missouri St.,"W, 68-60",59,Home,27-3,17-3,
2025,Drake,Drake,Fri Mar 7,61,190,Southern Illinois,"W, 70-53",59,Neutral,28-3,,Missouri Valley
2025,Drake,Drake,Sat Mar 8,61,124,Belmont,"W, 57-50",59,Neutral,29-3,,Missouri Valley
2025,Drake,Drake,Sun Mar 9,61,92,Bradley,"W, 63-48",55,Neutral,30-3,,Missouri Valley
2025,Drake,Drake,Thu Mar 20,58,19,Missouri,"W, 67-57",65,Neutral,31-3,,NCAA
2025,Drake,Drake,Sat Mar 22,52,9,Texas Tech,"L, 77-64",61,Neutral,31-4,,NCAA
