Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,High Point,High Point,Wed Nov 6,108,361,Coppin St.,"W, 93-51",71,Home,1-0,,
2025,High Point,High Point,Sat Nov 9,102,246,Jackson St.,"W, 80-71",71,Home,2-0,,
2025,High Point,High Point,Tue Nov 12,108,324,North Carolina Central,"W, 76-60",60,Home,3-0,,
2025,High Point,High Point,Fri Nov 15,103,99,UAB,"W, 68-65",68,Home,4-0,,
2025,High Point,High Point,Mon Nov 18,105,248,American,"W, 80-73",58,Home,5-0,,
2025,High Point,High Point,Sun Nov 24,109,239,Missouri St.,"L, 71-61",66,Neutral,5-1,,
2025,High Point,High Point,Mon Nov 25,123,282,Old Dominion,"W, 73-67",62,Neutral,6-1,,
2025,High Point,High Point,Tue Nov 26,126,215,Hampton,"W, 76-73",59,Neutral,7-1,,
2025,High Point,High Point,Sat Nov 30,138,NR,Pfeiffer,"W, 81-50",69,Home,8-1,,
2025,High Point,High Point,Tue Dec 3,136,143,UNC Greensboro,"L, 72-68",59,Away,8-2,,
2025,High Point,High Point,Fri Dec 6,138,71,North Texas,"W, 76-71",70,Home,9-2,,
2025,High Point,High Point,Sat Dec 14,126,170,Appalachian St.,"W, 65-59",71,Neutral,10-2,,
2025,High Point,High Point,Tue Dec 17,126,NR,Carolina,"W, 99-31",68,Home,11-2,,
2025,High Point,High Point,Sat Dec 21,128,190,Southern Illinois,"W, 94-81",72,Away,12-2,,
2025,High Point,High Point,Sun Dec 29,117,178,Norfolk St.,"L, 77-74",63,Home,12-3,,
2025,High Point,High Point,Thu Jan 2,124,151,Radford,"W, 76-58",59,Home,13-3,1-0,
2025,High Point,High Point,Sat Jan 4,121,201,UNC Asheville,"L, 103-99",77,Away,13-4,1-1,
2025,High Point,High Point,Wed Jan 8,122,302,Charleston Southern,"W, 93-79",69,Away,14-4,2-1,
2025,High Point,High Point,Sat Jan 11,109,264,Gardner Webb,"W, 96-55",72,Home,15-4,3-1,
2025,High Point,High Point,Thu Jan 16,98,210,Longwood,"L, 82-80",70,Away,15-5,3-2,
2025,High Point,High Point,Sat Jan 18,101,233,Presbyterian,"W, 77-66",64,Home,16-5,4-2,
2025,High Point,High Point,Wed Jan 22,100,340,USC Upstate,"W, 86-77",67,Away,17-5,5-2,
2025,High Point,High Point,Sat Jan 25,101,166,Winthrop,"W, 84-62",69,Home,18-5,6-2,
2025,High Point,High Point,Sat Feb 1,100,233,Presbyterian,"W, 84-72",61,Away,19-5,7-2,
2025,High Point,High Point,Wed Feb 5,97,151,Radford,"W, 78-75",63,Away,20-5,8-2,
2025,High Point,High Point,Sat Feb 8,98,201,UNC Asheville,"W, 104-100",85,Home,21-5,9-2,
2025,High Point,High Point,Thu Feb 13,97,210,Longwood,"W, 83-72",69,Home,22-5,10-2,
2025,High Point,High Point,Sat Feb 15,96,166,Winthrop,"W, 88-66",73,Away,23-5,11-2,
2025,High Point,High Point,Wed Feb 19,93,302,Charleston Southern,"W, 83-60",68,Home,24-5,12-2,
2025,High Point,High Point,Sat Feb 22,90,264,Gardner Webb,"W, 90-67",68,Away,25-5,13-2,
2025,High Point,High Point,Wed Feb 26,86,340,USC Upstate,"W, 88-66",79,Home,26-5,14-2,
2025,High Point,High Point,Fri Mar 7,87,264,Gardner Webb,"W, 85-64",67,Neutral,27-5,,Big South
2025,High Point,High Point,Sat Mar 8,86,151,Radford,"W, 76-73",58,Neutral,28-5,,Big South
2025,High Point,High Point,Sun Mar 9,84,166,Winthrop,"W, 81-69",71,Neutral,29-5,,Big South
2025,High Point,High Point,Thu Mar 20,84,15,Purdue,"L, 75-63",60,Neutral,29-6,,NCAA
