Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Kansas,Kansas,Mon Nov 4,7,314,Howard,"W, 87-57",71,Home,1-0,,
2025,Kansas,Kansas,Fri Nov 8,7,31,North Carolina,"W, 92-89",77,Home,2-0,,
2025,Kansas,Kansas,Tue Nov 12,8,7,Michigan St.,"W, 77-69",79,Neutral,3-0,,
2025,Kansas,Kansas,Sat Nov 16,7,174,Oakland,"W, 78-57",63,Home,4-0,,
2025,Kansas,Kansas,Tue Nov 19,7,105,UNC Wilmington,"W, 84-66",70,Home,5-0,,
2025,Kansas,Kansas,Tue Nov 26,9,1,Duke,"W, 75-72",68,Neutral,6-0,,
2025,Kansas,Kansas,Sat Nov 30,8,139,Furman,"W, 86-51",66,Home,7-0,,
2025,Kansas,Kansas,Wed Dec 4,6,35,Creighton,"L, 76-63",70,Away,7-1,,
2025,Kansas,Kansas,Sun Dec 8,9,19,Missouri,"L, 76-67",73,Away,7-2,,
2025,Kansas,Kansas,Sat Dec 14,11,125,N.C. State,"W, 75-60",62,Home,8-2,,
2025,Kansas,Kansas,Sun Dec 22,10,208,Brown,"W, 87-53",70,Home,9-2,,
2025,Kansas,Kansas,Tue Dec 31,9,53,West Virginia,"L, 62-61",60,Home,9-3,0-1,
2025,Kansas,Kansas,Sun Jan 5,13,67,UCF,"W, 99-48",77,Away,10-3,1-1,
2025,Kansas,Kansas,Wed Jan 8,8,73,Arizona St.,"W, 74-55",67,Home,11-3,2-1,
2025,Kansas,Kansas,Sat Jan 11,9,55,Cincinnati,"W, 54-40",61,Away,12-3,3-1,
2025,Kansas,Kansas,Wed Jan 15,7,11,Iowa St.,"L, 74-57",72,Away,12-4,3-2,
2025,Kansas,Kansas,Sat Jan 18,7,65,Kansas St.,"W, 84-74",64,Home,13-4,4-2,
2025,Kansas,Kansas,Wed Jan 22,8,86,TCU,"W, 74-61",67,Away,14-4,5-2,
2025,Kansas,Kansas,Sat Jan 25,7,2,Houston,"L, 92-86",80,Home,14-5,5-3,
2025,Kansas,Kansas,Tue Jan 28,7,67,UCF,"W, 91-87",76,Home,15-5,6-3,
2025,Kansas,Kansas,Sat Feb 1,8,30,Baylor,"L, 81-70",76,Away,15-6,6-4,
2025,Kansas,Kansas,Mon Feb 3,10,11,Iowa St.,"W, 69-52",62,Home,16-6,7-4,
2025,Kansas,Kansas,Sat Feb 8,9,65,Kansas St.,"L, 81-73",73,Away,16-7,7-5,
2025,Kansas,Kansas,Tue Feb 11,11,87,Colorado,"W, 71-59",65,Home,17-7,8-5,
2025,Kansas,Kansas,Sat Feb 15,10,76,Utah,"L, 74-67",69,Away,17-8,8-6,
2025,Kansas,Kansas,Tue Feb 18,16,26,BYU,"L, 91-57",72,Away,17-9,8-7,
2025,Kansas,Kansas,Sat Feb 22,22,97,Oklahoma St.,"W, 96-64",76,Home,18-9,9-7,
2025,Kansas,Kansas,Mon Feb 24,21,87,Colorado,"W, 71-64",69,Away,19-9,10-7,
2025,Kansas,Kansas,Sat Mar 1,20,9,Texas Tech,"L, 78-73",67,Home,19-10,10-8,
2025,Kansas,Kansas,Mon Mar 3,21,2,Houston,"L, 65-59",65,Away,19-11,10-9,
2025,Kansas,Kansas,Sat Mar 8,22,13,Arizona,"W, 83-76",66,Home,20-11,11-9,
2025,Kansas,Kansas,Wed Mar 12,21,67,UCF,"W, 98-94",85,Neutral,21-11,,Big 12
2025,Kansas,Kansas,Thu Mar 13,21,13,Arizona,"L, 88-77",70,Neutral,21-12,,Big 12
2025,Kansas,Kansas,Thu Mar 20,21,36,Arkansas,"L, 79-72",72,Neutral,21-13,,NCAA
