Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Lipscomb,Lipscomb,Mon Nov 4,137,140,Duquesne,"W, 77-72",75,Away,1-0,,
2025,Lipscomb,Lipscomb,Wed Nov 6,126,36,Arkansas,"L, 76-60",74,Away,1-1,,
2025,Lipscomb,Lipscomb,Sat Nov 9,127,114,Wofford,"W, 78-69",62,Home,2-1,,
2025,Lipscomb,Lipscomb,Tue Nov 12,120,124,Belmont,"L, 80-79",69,Home,2-2,,
2025,Lipscomb,Lipscomb,Sun Nov 17,126,161,Western Kentucky,"L, 66-61",75,Away,2-3,,
2025,Lipscomb,Lipscomb,Tue Nov 19,129,16,Kentucky,"L, 97-68",71,Away,2-4,,
2025,Lipscomb,Lipscomb,Sun Nov 24,136,246,Jackson St.,"W, 77-53",69,Home,3-4,,
2025,Lipscomb,Lipscomb,Sat Nov 30,128,360,Alabama A&M,"W, 82-44",73,Away,4-4,,
2025,Lipscomb,Lipscomb,Tue Dec 3,113,94,Chattanooga,"W, 80-62",67,Away,5-4,,
2025,Lipscomb,Lipscomb,Thu Dec 5,101,202,Southeast Missouri,"W, 78-60",69,Home,6-4,,
2025,Lipscomb,Lipscomb,Mon Dec 16,97,NR,Truett McConnell,"W, 99-67",80,Home,7-4,,
2025,Lipscomb,Lipscomb,Thu Dec 19,98,119,Middle Tennessee,"L, 67-65",65,Away,7-5,,
2025,Lipscomb,Lipscomb,Sun Dec 29,94,NR,Asbury,"W, 112-54",78,Home,8-5,,
2025,Lipscomb,Lipscomb,Thu Jan 2,95,200,Jacksonville,"W, 70-65",62,Away,9-5,1-0,
2025,Lipscomb,Lipscomb,Sat Jan 4,94,266,North Florida,"W, 96-64",76,Away,10-5,2-0,
2025,Lipscomb,Lipscomb,Thu Jan 9,77,212,Queens,"L, 75-73",63,Home,10-6,2-1,
2025,Lipscomb,Lipscomb,Sat Jan 11,89,350,West Georgia,"W, 86-67",67,Home,11-6,3-1,
2025,Lipscomb,Lipscomb,Thu Jan 16,86,347,Bellarmine,"W, 87-53",66,Away,12-6,4-1,
2025,Lipscomb,Lipscomb,Sat Jan 18,82,280,Austin Peay,"W, 88-60",66,Home,13-6,5-1,
2025,Lipscomb,Lipscomb,Thu Jan 23,76,113,North Alabama,"L, 74-64",61,Away,13-7,5-2,
2025,Lipscomb,Lipscomb,Sat Jan 25,85,349,Central Arkansas,"W, 68-55",64,Away,14-7,6-2,
2025,Lipscomb,Lipscomb,Thu Jan 30,82,187,Eastern Kentucky,"L, 80-71",69,Home,14-8,6-3,
2025,Lipscomb,Lipscomb,Sat Feb 1,91,347,Bellarmine,"W, 87-80",67,Home,15-8,7-3,
2025,Lipscomb,Lipscomb,Wed Feb 5,93,350,West Georgia,"W, 76-67",69,Away,16-8,8-3,
2025,Lipscomb,Lipscomb,Sat Feb 8,92,212,Queens,"W, 94-81",70,Away,17-8,9-3,
2025,Lipscomb,Lipscomb,Thu Feb 13,90,352,Stetson,"W, 93-60",67,Home,18-8,10-3,
2025,Lipscomb,Lipscomb,Sat Feb 15,87,179,Florida Gulf Coast,"W, 82-68",67,Home,19-8,11-3,
2025,Lipscomb,Lipscomb,Tue Feb 18,86,187,Eastern Kentucky,"L, 66-57",67,Away,19-9,11-4,
2025,Lipscomb,Lipscomb,Thu Feb 20,88,113,North Alabama,"W, 75-63",62,Home,20-9,12-4,
2025,Lipscomb,Lipscomb,Mon Feb 24,88,280,Austin Peay,"W, 95-78",59,Away,21-9,13-4,
2025,Lipscomb,Lipscomb,Wed Feb 26,84,349,Central Arkansas,"W, 78-60",67,Home,22-9,14-4,
2025,Lipscomb,Lipscomb,Mon Mar 3,83,349,Central Arkansas,"W, 84-66",67,Home,23-9,,ASUN
2025,Lipscomb,Lipscomb,Thu Mar 6,84,212,Queens,"W, 81-75",68,Home,24-9,,ASUN
2025,Lipscomb,Lipscomb,Sun Mar 9,82,113,North Alabama,"W, 76-65",66,Home,25-9,,ASUN
2025,Lipscomb,Lipscomb,Fri Mar 21,82,11,Iowa St.,"L, 82-55",69,Neutral,25-10,,NCAA
