Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Michigan,Michigan,Mon Nov 4,36,154,Cleveland St.,"W, 101-53",75,Home,1-0,,
2025,Michigan,Michigan,Sun Nov 10,25,72,Wake Forest,"L, 72-70",69,Semi-Away,1-1,,
2025,Michigan,Michigan,Fri Nov 15,31,86,TCU,"W, 76-64",73,Home,2-1,,
2025,Michigan,Michigan,Mon Nov 18,30,146,Miami OH,"W, 94-67",73,Home,3-1,,
2025,Michigan,Michigan,Thu Nov 21,25,288,Tarleton St.,"W, 72-49",65,Home,4-1,,
2025,Michigan,Michigan,Mon Nov 25,28,164,Virginia Tech,"W, 75-63",70,Neutral,5-1,,
2025,Michigan,Michigan,Wed Nov 27,32,43,Xavier,"W, 78-53",71,Neutral,6-1,,
2025,Michigan,Michigan,Tue Dec 3,22,12,Wisconsin,"W, 67-64",68,Away,7-1,1-0,
2025,Michigan,Michigan,Sat Dec 7,16,62,Iowa,"W, 85-83",74,Home,8-1,2-0,
2025,Michigan,Michigan,Tue Dec 10,22,36,Arkansas,"L, 89-87",78,Neutral,8-2,,
2025,Michigan,Michigan,Wed Dec 18,22,40,Oklahoma,"L, 87-86",70,Neutral,8-3,,
2025,Michigan,Michigan,Sun Dec 22,25,156,Purdue Fort Wayne,"W, 89-58",70,Home,9-3,,
2025,Michigan,Michigan,Sun Dec 29,20,161,Western Kentucky,"W, 112-64",84,Home,10-3,,
2025,Michigan,Michigan,Sat Jan 4,11,57,USC,"W, 85-74",72,Away,11-3,3-0,
2025,Michigan,Michigan,Tue Jan 7,13,20,UCLA,"W, 94-75",72,Away,12-3,4-0,
2025,Michigan,Michigan,Sun Jan 12,10,104,Washington,"W, 91-75",73,Home,13-3,5-0,
2025,Michigan,Michigan,Thu Jan 16,11,83,Minnesota,"L, 84-81",70,Away,13-4,5-1,
2025,Michigan,Michigan,Sun Jan 19,11,44,Northwestern,"W, 80-76",76,Home,14-4,6-1,
2025,Michigan,Michigan,Fri Jan 24,12,15,Purdue,"L, 91-64",71,Away,14-5,6-2,
2025,Michigan,Michigan,Mon Jan 27,18,58,Penn St.,"W, 76-72",69,Home,15-5,7-2,
2025,Michigan,Michigan,Sat Feb 1,21,70,Rutgers,"W, 66-63",69,Away,16-5,8-2,
2025,Michigan,Michigan,Wed Feb 5,21,27,Oregon,"W, 80-76",75,Home,17-5,9-2,
2025,Michigan,Michigan,Sat Feb 8,21,45,Indiana,"W, 70-67",67,Away,18-5,10-2,
2025,Michigan,Michigan,Tue Feb 11,20,15,Purdue,"W, 75-73",69,Home,19-5,11-2,
2025,Michigan,Michigan,Sun Feb 16,22,37,Ohio St.,"W, 86-83",70,Away,20-5,12-2,
2025,Michigan,Michigan,Fri Feb 21,19,7,Michigan St.,"L, 75-62",66,Home,20-6,12-3,
2025,Michigan,Michigan,Mon Feb 24,24,46,Nebraska,"W, 49-46",69,Away,21-6,13-3,
2025,Michigan,Michigan,Thu Feb 27,23,70,Rutgers,"W, 84-82",74,Home,22-6,14-3,
2025,Michigan,Michigan,Sun Mar 2,25,17,Illinois,"L, 93-73",70,Home,22-7,14-4,
2025,Michigan,Michigan,Wed Mar 5,28,10,Maryland,"L, 71-65",71,Home,22-8,14-5,
2025,Michigan,Michigan,Sun Mar 9,28,7,Michigan St.,"L, 79-62",71,Away,22-9,14-6,
2025,Michigan,Michigan,Fri Mar 14,29,15,Purdue,"W, 86-68",66,Neutral,23-9,,Big Ten
2025,Michigan,Michigan,Sat Mar 15,27,10,Maryland,"W, 81-80",74,Neutral,24-9,,Big Ten
2025,Michigan,Michigan,Sun Mar 16,26,12,Wisconsin,"W, 59-53",67,Neutral,25-9,,Big Ten
2025,Michigan,Michigan,Thu Mar 20,25,39,UC San Diego,"W, 68-65",66,Neutral,26-9,,NCAA
2025,Michigan,Michigan,Sat Mar 22,25,18,Texas A&M,"W, 91-79",76,Neutral,27-9,,NCAA
2025,Michigan,Michigan,Fri Mar 28,21,4,Auburn,"L, 78-65",75,Neutral,27-10,,NCAA
