Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Mississippi,Mississippi,Mon Nov 4,46,285,LIU,"W, 90-60",74,Home,1-0,,
2025,Mississippi,Mississippi,Fri Nov 8,46,319,Grambling St.,"W, 66-64",71,Home,2-0,,
2025,Mississippi,Mississippi,Tue Nov 12,59,109,South Alabama,"W, 64-54",65,Home,3-0,,
2025,Mississippi,Mississippi,Sat Nov 16,61,42,Colorado St.,"W, 84-69",63,Semi-Home,4-0,,
2025,Mississippi,Mississippi,Thu Nov 21,50,330,Oral Roberts,"W, 100-68",74,Home,5-0,,
2025,Mississippi,Mississippi,Thu Nov 28,48,26,BYU,"W, 96-85",81,Neutral,6-0,,
2025,Mississippi,Mississippi,Fri Nov 29,41,15,Purdue,"L, 80-78",63,Neutral,6-1,,
2025,Mississippi,Mississippi,Tue Dec 3,41,28,Louisville,"W, 86-63",67,Away,7-1,,
2025,Mississippi,Mississippi,Sat Dec 7,28,327,Lindenwood,"W, 86-53",66,Home,8-1,,
2025,Mississippi,Mississippi,Sat Dec 14,29,293,Southern Miss,"W, 77-46",64,Neutral,9-1,,
2025,Mississippi,Mississippi,Tue Dec 17,25,231,Southern,"W, 74-61",73,Home,10-1,,
2025,Mississippi,Mississippi,Sat Dec 21,29,212,Queens,"W, 80-62",71,Home,11-1,,
2025,Mississippi,Mississippi,Sat Dec 28,30,54,Memphis,"L, 87-70",76,Away,11-2,,
2025,Mississippi,Mississippi,Sat Jan 4,32,38,Georgia,"W, 63-51",65,Home,12-2,1-0,
2025,Mississippi,Mississippi,Wed Jan 8,28,36,Arkansas,"W, 73-66",65,Away,13-2,2-0,
2025,Mississippi,Mississippi,Sat Jan 11,24,88,LSU,"W, 77-65",69,Home,14-2,3-0,
2025,Mississippi,Mississippi,Tue Jan 14,23,6,Alabama,"W, 74-64",76,Away,15-2,4-0,
2025,Mississippi,Mississippi,Sat Jan 18,18,33,Mississippi St.,"L, 84-81",74,Away,15-3,4-1,
2025,Mississippi,Mississippi,Wed Jan 22,17,18,Texas A&M,"L, 63-62",73,Home,15-4,4-2,
2025,Mississippi,Mississippi,Sat Jan 25,17,19,Missouri,"L, 83-75",74,Away,15-5,4-3,
2025,Mississippi,Mississippi,Wed Jan 29,22,47,Texas,"W, 72-69",66,Home,16-5,5-3,
2025,Mississippi,Mississippi,Sat Feb 1,22,4,Auburn,"L, 92-82",70,Home,16-6,5-4,
2025,Mississippi,Mississippi,Tue Feb 4,21,16,Kentucky,"W, 98-84",71,Home,17-6,6-4,
2025,Mississippi,Mississippi,Sat Feb 8,19,88,LSU,"W, 72-70",69,Away,18-6,7-4,
2025,Mississippi,Mississippi,Wed Feb 12,20,69,South Carolina,"W, 72-68",64,Away,19-6,8-4,
2025,Mississippi,Mississippi,Sat Feb 15,20,33,Mississippi St.,"L, 81-71",77,Home,19-7,8-5,
2025,Mississippi,Mississippi,Sat Feb 22,23,48,Vanderbilt,"L, 77-72",68,Away,19-8,8-6,
2025,Mississippi,Mississippi,Wed Feb 26,24,4,Auburn,"L, 106-76",71,Away,19-9,8-7,
2025,Mississippi,Mississippi,Sat Mar 1,25,40,Oklahoma,"W, 87-84",71,Home,20-9,9-7,
2025,Mississippi,Mississippi,Wed Mar 5,26,5,Tennessee,"W, 78-76",63,Home,21-9,10-7,
2025,Mississippi,Mississippi,Sat Mar 8,25,3,Florida,"L, 90-71",72,Away,21-10,10-8,
2025,Mississippi,Mississippi,Thu Mar 13,27,36,Arkansas,"W, 83-80",75,Neutral,22-10,,Southeastern
2025,Mississippi,Mississippi,Fri Mar 14,26,4,Auburn,"L, 62-57",64,Neutral,22-11,,Southeastern
2025,Mississippi,Mississippi,Fri Mar 21,27,31,North Carolina,"W, 71-64",70,Neutral,23-11,,NCAA
2025,Mississippi,Mississippi,Sun Mar 23,26,11,Iowa St.,"W, 91-78",68,Neutral,24-11,,NCAA
2025,Mississippi,Mississippi,Fri Mar 28,20,7,Michigan St.,"L, 73-70",64,Neutral,24-12,,NCAA
