Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Nebraska Omaha,Nebraska Omaha,Mon Nov 4,319,NR,Mid America Christian,"W, 85-69",72,Home,1-0,,
2025,Nebraska Omaha,Nebraska Omaha,Thu Nov 7,317,352,Stetson,"W, 79-76",71,Away,2-0,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Nov 9,308,83,Minnesota,"L, 68-64",66,Away,2-1,,
2025,Nebraska Omaha,Nebraska Omaha,Thu Nov 14,284,93,UNLV,"L, 80-69",73,Away,2-2,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Nov 16,280,296,Southern Utah,"L, 79-73",70,Away,2-3,,
2025,Nebraska Omaha,Nebraska Omaha,Fri Nov 22,270,269,Alabama St.,"L, 85-67",72,Neutral,2-4,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Nov 23,300,100,Akron,"L, 92-84",66,Away,2-5,,
2025,Nebraska Omaha,Nebraska Omaha,Sun Nov 24,289,158,Lamar,"W, 65-59",65,Neutral,3-5,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Nov 30,293,221,Abilene Christian,"L, 71-55",66,Home,3-6,,
2025,Nebraska Omaha,Nebraska Omaha,Wed Dec 4,309,189,Montana St.,"L, 76-65",65,Home,3-7,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Dec 7,312,348,Sacramento St.,"W, 70-60",66,Away,4-7,,
2025,Nebraska Omaha,Nebraska Omaha,Fri Dec 13,292,102,Northern Iowa,"L, 78-58",65,Away,4-8,,
2025,Nebraska Omaha,Nebraska Omaha,Sun Dec 15,295,11,Iowa St.,"L, 83-51",69,Away,4-9,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Dec 21,304,182,Cal Poly,"W, 86-82",73,Home,5-9,,
2025,Nebraska Omaha,Nebraska Omaha,Sat Dec 28,300,NR,Mount Marty,"W, 81-51",72,Home,6-9,,
2025,Nebraska Omaha,Nebraska Omaha,Thu Jan 2,302,265,North Dakota,"W, 95-85",73,Away,7-9,1-0,
2025,Nebraska Omaha,Nebraska Omaha,Sat Jan 4,289,135,North Dakota St.,"W, 85-80",69,Away,8-9,2-0,
2025,Nebraska Omaha,Nebraska Omaha,Wed Jan 8,265,238,Kansas City,"W, 77-58",66,Home,9-9,3-0,
2025,Nebraska Omaha,Nebraska Omaha,Sat Jan 11,246,137,South Dakota St.,"W, 87-80",71,Home,10-9,4-0,
2025,Nebraska Omaha,Nebraska Omaha,Wed Jan 15,240,311,Denver,"W, 80-62",63,Away,11-9,5-0,
2025,Nebraska Omaha,Nebraska Omaha,Thu Jan 23,223,130,St. Thomas,"W, 89-78",72,Home,12-9,6-0,
2025,Nebraska Omaha,Nebraska Omaha,Sat Jan 25,210,330,Oral Roberts,"W, 84-76",69,Away,13-9,7-0,
2025,Nebraska Omaha,Nebraska Omaha,Wed Jan 29,209,240,South Dakota,"L, 91-87",75,Away,13-10,7-1,
2025,Nebraska Omaha,Nebraska Omaha,Sat Feb 1,206,311,Denver,"W, 78-69",68,Home,14-10,8-1,
2025,Nebraska Omaha,Nebraska Omaha,Thu Feb 6,215,265,North Dakota,"W, 80-77",65,Home,15-10,9-1,
2025,Nebraska Omaha,Nebraska Omaha,Sat Feb 8,216,135,North Dakota St.,"W, 85-74",65,Home,16-10,10-1,
2025,Nebraska Omaha,Nebraska Omaha,Thu Feb 13,204,137,South Dakota St.,"L, 98-85",73,Away,16-11,10-2,
2025,Nebraska Omaha,Nebraska Omaha,Sat Feb 15,206,130,St. Thomas,"L, 95-84",70,Away,16-12,10-3,
2025,Nebraska Omaha,Nebraska Omaha,Wed Feb 19,202,238,Kansas City,"W, 78-66",65,Away,17-12,11-3,
2025,Nebraska Omaha,Nebraska Omaha,Sat Feb 22,189,240,South Dakota,"W, 93-85",77,Home,18-12,12-3,
2025,Nebraska Omaha,Nebraska Omaha,Sat Mar 1,188,330,Oral Roberts,"W, 80-57",64,Home,19-12,13-3,
2025,Nebraska Omaha,Nebraska Omaha,Thu Mar 6,180,238,Kansas City,"W, 70-61",64,Neutral,20-12,,Summit League
2025,Nebraska Omaha,Nebraska Omaha,Sat Mar 8,177,240,South Dakota,"W, 100-75",79,Neutral,21-12,,Summit League
2025,Nebraska Omaha,Nebraska Omaha,Sun Mar 9,165,130,St. Thomas,"W, 85-75",74,Neutral,22-12,,Summit League
2025,Nebraska Omaha,Nebraska Omaha,Thu Mar 20,157,14,St. John's,"L, 83-53",63,Neutral,22-13,,NCAA
