Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,SIU Edwardsville,SIUE,Mon Nov 4,321,NR,Westminster MO,"W, 95-42",81,Home,1-0,,
2025,SIU Edwardsville,SIUE,Wed Nov 6,321,45,Indiana,"L, 80-61",73,Away,1-1,,
2025,SIU Edwardsville,SIUE,Fri Nov 8,316,17,Illinois,"L, 90-58",68,Away,1-2,,
2025,SIU Edwardsville,SIUE,Tue Nov 12,319,197,Indiana St.,"W, 77-72",70,Away,2-2,,
2025,SIU Edwardsville,SIUE,Fri Nov 15,304,290,Western Michigan,"W, 79-60",67,Away,3-2,,
2025,SIU Edwardsville,SIUE,Sat Nov 16,251,359,Canisius,"W, 76-58",67,Neutral,4-2,,
2025,SIU Edwardsville,SIUE,Tue Nov 19,232,332,Green Bay,"L, 82-57",71,Away,4-3,,
2025,SIU Edwardsville,SIUE,Sat Nov 23,265,NR,St. Ambrose,"W, 83-49",71,Home,5-3,,
2025,SIU Edwardsville,SIUE,Fri Nov 29,263,266,North Florida,"L, 78-73",72,Home,5-4,,
2025,SIU Edwardsville,SIUE,Sun Dec 8,269,274,Ball St.,"W, 82-69",65,Home,6-4,,
2025,SIU Edwardsville,SIUE,Sun Dec 15,258,NR,Eureka,"W, 100-52",74,Home,7-4,,
2025,SIU Edwardsville,SIUE,Thu Dec 19,258,225,Little Rock,"L, 60-56",67,Away,7-5,0-1,
2025,SIU Edwardsville,SIUE,Sat Dec 21,254,202,Southeast Missouri,"L, 80-64",68,Away,7-6,0-2,
2025,SIU Edwardsville,SIUE,Thu Jan 2,267,345,Western Illinois,"W, 77-66",58,Home,8-6,1-2,
2025,SIU Edwardsville,SIUE,Sat Jan 4,259,327,Lindenwood,"W, 58-47",68,Home,9-6,2-2,
2025,SIU Edwardsville,SIUE,Tue Jan 7,257,316,Eastern Illinois,"W, 60-57",62,Away,10-6,3-2,
2025,SIU Edwardsville,SIUE,Sat Jan 11,255,303,Tennessee Tech,"W, 67-59",68,Home,11-6,4-2,
2025,SIU Edwardsville,SIUE,Thu Jan 16,254,252,Tennessee St.,"W, 87-80",82,Away,12-6,5-2,
2025,SIU Edwardsville,SIUE,Sat Jan 18,248,292,Tennessee Martin,"L, 85-82",65,Away,12-7,5-3,
2025,SIU Edwardsville,SIUE,Thu Jan 23,249,335,Southern Indiana,"W, 82-76",69,Home,13-7,6-3,
2025,SIU Edwardsville,SIUE,Sat Jan 25,248,328,Morehead St.,"W, 65-54",64,Home,14-7,7-3,
2025,SIU Edwardsville,SIUE,Thu Jan 30,243,327,Lindenwood,"L, 65-63",70,Away,14-8,7-4,
2025,SIU Edwardsville,SIUE,Sat Feb 1,251,345,Western Illinois,"W, 69-65",62,Away,15-8,8-4,
2025,SIU Edwardsville,SIUE,Tue Feb 4,246,316,Eastern Illinois,"W, 66-41",63,Home,16-8,9-4,
2025,SIU Edwardsville,SIUE,Thu Feb 6,235,303,Tennessee Tech,"W, 75-58",68,Away,17-8,10-4,
2025,SIU Edwardsville,SIUE,Thu Feb 13,228,292,Tennessee Martin,"L, 76-71",68,Home,17-9,10-5,
2025,SIU Edwardsville,SIUE,Sat Feb 15,232,252,Tennessee St.,"W, 84-72",74,Home,18-9,11-5,
2025,SIU Edwardsville,SIUE,Thu Feb 20,229,328,Morehead St.,"W, 80-62",63,Away,19-9,12-5,
2025,SIU Edwardsville,SIUE,Sat Feb 22,218,335,Southern Indiana,"L, 82-68",71,Away,19-10,12-6,
2025,SIU Edwardsville,SIUE,Thu Feb 27,229,202,Southeast Missouri,"L, 83-68",69,Home,19-11,12-7,
2025,SIU Edwardsville,SIUE,Sat Mar 1,234,225,Little Rock,"W, 73-65",69,Home,20-11,13-7,
2025,SIU Edwardsville,SIUE,Fri Mar 7,230,252,Tennessee St.,"W, 71-69",60,Neutral,21-11,,Ohio Valley
2025,SIU Edwardsville,SIUE,Sat Mar 8,231,202,Southeast Missouri,"W, 69-48",67,Neutral,22-11,,Ohio Valley
2025,SIU Edwardsville,SIUE,Thu Mar 20,216,2,Houston,"L, 78-40",63,Neutral,22-12,,NCAA
