Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Saint Mary's,Saint Mary's,Mon Nov 4,34,152,Towson,"W, 76-69",65,Home,1-0,,
2025,Saint Mary's,Saint Mary's,Thu Nov 7,41,94,Chattanooga,"W, 86-74",64,Home,2-0,,
2025,Saint Mary's,Saint Mary's,Tue Nov 12,42,100,Akron,"W, 87-68",71,Home,3-0,,
2025,Saint Mary's,Saint Mary's,Sun Nov 17,42,46,Nebraska,"W, 77-74",65,Neutral,4-0,,
2025,Saint Mary's,Saint Mary's,Wed Nov 20,41,NR,Cal St.Stanislaus,"W, 78-38",70,Home,5-0,,
2025,Saint Mary's,Saint Mary's,Sat Nov 23,41,182,Cal Poly,"W, 80-66",71,Home,6-0,,
2025,Saint Mary's,Saint Mary's,Thu Nov 28,41,57,USC,"W, 71-36",62,Neutral,7-0,,
2025,Saint Mary's,Saint Mary's,Fri Nov 29,31,73,Arizona St.,"L, 68-64",67,Neutral,7-1,,
2025,Saint Mary's,Saint Mary's,Tue Dec 3,33,191,UTSA,"W, 82-74",75,Home,8-1,,
2025,Saint Mary's,Saint Mary's,Sat Dec 7,40,76,Utah,"W, 72-63",69,Away,9-1,,
2025,Saint Mary's,Saint Mary's,Sat Dec 14,33,49,Boise St.,"L, 67-65",65,Semi-Away,9-2,,
2025,Saint Mary's,Saint Mary's,Thu Dec 19,33,184,Merrimack,"W, 73-68",60,Home,10-2,,
2025,Saint Mary's,Saint Mary's,Sun Dec 22,39,61,Utah St.,"L, 75-68",66,Home,10-3,,
2025,Saint Mary's,Saint Mary's,Sat Dec 28,45,284,Pacific,"W, 70-60",63,Home,11-3,1-0,
2025,Saint Mary's,Saint Mary's,Thu Jan 2,48,216,Pepperdine,"W, 71-41",63,Home,12-3,2-0,
2025,Saint Mary's,Saint Mary's,Sat Jan 4,46,270,Portland,"W, 81-58",67,Away,13-3,3-0,
2025,Saint Mary's,Saint Mary's,Tue Jan 7,44,155,Loyola Marymount,"W, 81-56",62,Home,14-3,4-0,
2025,Saint Mary's,Saint Mary's,Sat Jan 11,36,297,San Diego,"W, 103-56",63,Away,15-3,5-0,
2025,Saint Mary's,Saint Mary's,Sat Jan 18,29,216,Pepperdine,"W, 74-50",62,Away,16-3,6-0,
2025,Saint Mary's,Saint Mary's,Thu Jan 23,27,66,San Francisco,"W, 71-51",62,Home,17-3,7-0,
2025,Saint Mary's,Saint Mary's,Sat Jan 25,25,120,Washington St.,"W, 80-75",63,Away,18-3,8-0,
2025,Saint Mary's,Saint Mary's,Wed Jan 29,25,59,Santa Clara,"W, 67-54",62,Away,19-3,9-0,
2025,Saint Mary's,Saint Mary's,Sat Feb 1,23,8,Gonzaga,"W, 62-58",61,Home,20-3,10-0,
2025,Saint Mary's,Saint Mary's,Thu Feb 6,23,66,San Francisco,"L, 65-64",65,Away,20-4,10-1,
2025,Saint Mary's,Saint Mary's,Sat Feb 8,23,80,Oregon St.,"W, 63-49",57,Away,21-4,11-1,
2025,Saint Mary's,Saint Mary's,Tue Feb 11,21,59,Santa Clara,"W, 73-64",65,Home,22-4,12-1,
2025,Saint Mary's,Saint Mary's,Sat Feb 15,21,120,Washington St.,"W, 77-56",63,Home,23-4,13-1,
2025,Saint Mary's,Saint Mary's,Wed Feb 19,19,270,Portland,"W, 79-66",66,Home,24-4,14-1,
2025,Saint Mary's,Saint Mary's,Sat Feb 22,20,8,Gonzaga,"W, 74-67",62,Away,25-4,15-1,
2025,Saint Mary's,Saint Mary's,Thu Feb 27,18,155,Loyola Marymount,"W, 58-55",61,Away,26-4,16-1,
2025,Saint Mary's,Saint Mary's,Sat Mar 1,19,80,Oregon St.,"W, 74-64",55,Home,27-4,17-1,
2025,Saint Mary's,Saint Mary's,Mon Mar 10,22,216,Pepperdine,"W, 74-59",63,Neutral,28-4,,West Coast
2025,Saint Mary's,Saint Mary's,Tue Mar 11,22,8,Gonzaga,"L, 58-51",62,Neutral,28-5,,West Coast
2025,Saint Mary's,Saint Mary's,Fri Mar 21,20,48,Vanderbilt,"W, 59-56",59,Neutral,29-5,,NCAA
2025,Saint Mary's,Saint Mary's,Sun Mar 23,22,6,Alabama,"L, 80-66",70,Neutral,29-6,,NCAA
