Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Troy,Troy,Mon Nov 4,126,236,Toledo,"W, 84-74",75,Home,1-0,,
2025,Troy,Troy,Sat Nov 9,121,341,New Orleans,"W, 78-61",76,Away,2-0,,
2025,Troy,Troy,Wed Nov 13,116,36,Arkansas,"L, 65-49",68,Away,2-1,,
2025,Troy,Troy,Sun Nov 17,116,27,Oregon,"L, 82-61",74,Away,2-2,,
2025,Troy,Troy,Tue Nov 19,122,350,West Georgia,"W, 84-65",64,Away,3-2,,
2025,Troy,Troy,Mon Nov 25,114,191,UTSA,"W, 86-72",71,Home,4-2,,
2025,Troy,Troy,Fri Nov 29,113,184,Merrimack,"L, 72-68",64,Home,4-3,,
2025,Troy,Troy,Sun Dec 1,128,187,Eastern Kentucky,"W, 84-74",69,Home,5-3,,
2025,Troy,Troy,Tue Dec 10,120,2,Houston,"L, 62-42",55,Away,5-4,,
2025,Troy,Troy,Sat Dec 14,122,NR,Middle Georgia St.,"W, 87-53",81,Home,6-4,,
2025,Troy,Troy,Tue Dec 17,124,NR,LaGrange,"W, 105-60",74,Home,7-4,,
2025,Troy,Troy,Sat Dec 21,125,262,Georgia St.,"W, 77-57",66,Home,8-4,1-0,
2025,Troy,Troy,Thu Jan 2,116,170,Appalachian St.,"W, 69-61",63,Away,9-4,2-0,
2025,Troy,Troy,Sat Jan 4,110,168,Marshall,"W, 58-57",62,Away,10-4,3-0,
2025,Troy,Troy,Thu Jan 9,109,194,Texas St.,"L, 74-73",66,Home,10-5,3-1,
2025,Troy,Troy,Sat Jan 11,115,84,Arkansas St.,"L, 84-78",65,Home,10-6,3-2,
2025,Troy,Troy,Wed Jan 15,116,344,Louisiana Monroe,"W, 77-58",64,Away,11-6,4-2,
2025,Troy,Troy,Sat Jan 18,113,109,South Alabama,"L, 64-63",65,Away,11-7,4-3,
2025,Troy,Troy,Sat Jan 25,104,109,South Alabama,"W, 65-55",62,Home,12-7,5-3,
2025,Troy,Troy,Mon Jan 27,104,293,Southern Miss,"W, 70-61",74,Home,13-7,6-3,
2025,Troy,Troy,Thu Jan 30,104,249,Georgia Southern,"W, 81-74",66,Home,14-7,7-3,
2025,Troy,Troy,Sat Feb 1,109,344,Louisiana Monroe,"W, 87-50",63,Home,15-7,8-3,
2025,Troy,Troy,Wed Feb 5,104,160,James Madison,"L, 64-61",59,Away,15-8,8-4,
2025,Troy,Troy,Sat Feb 8,105,146,Miami OH,"L, 69-62",71,Away,15-9,,
2025,Troy,Troy,Wed Feb 12,109,313,Louisiana,"W, 74-56",65,Away,16-9,9-4,
2025,Troy,Troy,Sat Feb 15,108,84,Arkansas St.,"W, 71-70",69,Away,17-9,10-4,
2025,Troy,Troy,Thu Feb 20,103,313,Louisiana,"L, 72-69",70,Home,17-10,10-5,
2025,Troy,Troy,Sat Feb 22,111,329,Coastal Carolina,"W, 83-66",61,Home,18-10,11-5,
2025,Troy,Troy,Tue Feb 25,110,194,Texas St.,"W, 74-69",68,Away,19-10,12-5,
2025,Troy,Troy,Fri Feb 28,108,293,Southern Miss,"W, 70-58",71,Away,20-10,13-5,
2025,Troy,Troy,Sat Mar 8,112,282,Old Dominion,"W, 75-59",66,Neutral,21-10,,Sun Belt
2025,Troy,Troy,Sun Mar 9,107,160,James Madison,"W, 79-60",65,Neutral,22-10,,Sun Belt
2025,Troy,Troy,Mon Mar 10,98,84,Arkansas St.,"W, 94-81",74,Neutral,23-10,,Sun Belt
2025,Troy,Troy,Fri Mar 21,94,16,Kentucky,"L, 76-57",68,Neutral,23-11,,NCAA
