Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,UC San Diego,UC San Diego,Wed Nov 6,130,51,San Diego St.,"L, 63-58",66,Away,0-1,,
2025,UC San Diego,UC San Diego,Sat Nov 9,120,216,Pepperdine,"W, 94-76",72,Home,1-1,,
2025,UC San Diego,UC San Diego,Tue Nov 12,111,348,Sacramento St.,"W, 64-54",62,Home,2-1,,
2025,UC San Diego,UC San Diego,Sat Nov 16,111,145,Seattle,"L, 84-71",65,Home,2-2,,
2025,UC San Diego,UC San Diego,Thu Nov 21,139,229,La Salle,"W, 72-67",72,Neutral,3-2,,
2025,UC San Diego,UC San Diego,Fri Nov 22,129,160,James Madison,"W, 73-67",62,Neutral,4-2,,
2025,UC San Diego,UC San Diego,Sat Nov 23,124,236,Toledo,"W, 80-45",68,Neutral,5-2,,
2025,UC San Diego,UC San Diego,Sat Nov 30,95,NR,La Verne,"W, 109-33",77,Home,6-2,,
2025,UC San Diego,UC San Diego,Thu Dec 5,97,148,UC Santa Barbara,"W, 84-76",68,Away,7-2,1-0,
2025,UC San Diego,UC San Diego,Sat Dec 7,92,245,Cal St. Bakersfield,"W, 81-60",69,Home,8-2,2-0,
2025,UC San Diego,UC San Diego,Sun Dec 15,88,281,Idaho,"W, 80-56",67,Away,9-2,,
2025,UC San Diego,UC San Diego,Tue Dec 17,78,61,Utah St.,"W, 75-73",72,Away,10-2,,
2025,UC San Diego,UC San Diego,Sat Dec 21,75,297,San Diego,"W, 77-71",71,Away,11-2,,
2025,UC San Diego,UC San Diego,Sat Dec 28,81,NR,Occidental,"W, 109-50",73,Home,12-2,,
2025,UC San Diego,UC San Diego,Sat Jan 4,75,351,Cal St. Fullerton,"W, 90-51",68,Away,13-2,3-0,
2025,UC San Diego,UC San Diego,Thu Jan 9,66,182,Cal Poly,"W, 95-68",69,Home,14-2,4-0,
2025,UC San Diego,UC San Diego,Sat Jan 11,60,68,UC Irvine,"L, 60-52",62,Home,14-3,4-1,
2025,UC San Diego,UC San Diego,Thu Jan 16,66,308,Long Beach St.,"W, 80-54",61,Away,15-3,5-1,
2025,UC San Diego,UC San Diego,Sat Jan 18,62,159,UC Riverside,"L, 85-81",71,Away,15-4,5-2,
2025,UC San Diego,UC San Diego,Thu Jan 23,66,148,UC Santa Barbara,"W, 77-63",68,Home,16-4,6-2,
2025,UC San Diego,UC San Diego,Sat Jan 25,64,117,CSUN,"W, 79-54",73,Home,17-4,7-2,
2025,UC San Diego,UC San Diego,Thu Jan 30,60,227,Hawaii,"W, 74-63",64,Away,18-4,8-2,
2025,UC San Diego,UC San Diego,Thu Feb 6,56,159,UC Riverside,"W, 91-71",70,Home,19-4,9-2,
2025,UC San Diego,UC San Diego,Sat Feb 8,52,68,UC Irvine,"W, 85-67",69,Away,20-4,10-2,
2025,UC San Diego,UC San Diego,Thu Feb 13,49,245,Cal St. Bakersfield,"W, 73-54",57,Away,21-4,11-2,
2025,UC San Diego,UC San Diego,Sat Feb 15,45,250,UC Davis,"W, 85-60",66,Home,22-4,12-2,
2025,UC San Diego,UC San Diego,Thu Feb 20,40,182,Cal Poly,"W, 81-67",70,Away,23-4,13-2,
2025,UC San Diego,UC San Diego,Sat Feb 22,40,227,Hawaii,"W, 83-44",64,Home,24-4,14-2,
2025,UC San Diego,UC San Diego,Thu Feb 27,35,117,CSUN,"W, 77-71",71,Away,25-4,15-2,
2025,UC San Diego,UC San Diego,Sat Mar 1,35,351,Cal St. Fullerton,"W, 100-55",72,Home,26-4,16-2,
2025,UC San Diego,UC San Diego,Thu Mar 6,36,308,Long Beach St.,"W, 70-63",65,Home,27-4,17-2,
2025,UC San Diego,UC San Diego,Sat Mar 8,38,250,UC Davis,"W, 68-57",62,Away,28-4,18-2,
2025,UC San Diego,UC San Diego,Fri Mar 14,39,148,UC Santa Barbara,"W, 69-51",59,Neutral,29-4,,Big West
2025,UC San Diego,UC San Diego,Sat Mar 15,39,68,UC Irvine,"W, 75-61",67,Neutral,30-4,,Big West
2025,UC San Diego,UC San Diego,Thu Mar 20,37,21,Michigan,"L, 68-65",66,Neutral,30-5,,NCAA
