Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Utah St.,Utah St.,Wed Nov 6,71,325,Alcorn St.,"W, 101-46",70,Home,1-0,,
2025,Utah St.,Utah St.,Sat Nov 9,61,257,Charlotte,"W, 103-74",70,Home,2-0,,
2025,Utah St.,Utah St.,Wed Nov 13,47,NR,Westminster UT,"W, 117-53",73,Home,3-0,,
2025,Utah St.,Utah St.,Mon Nov 18,48,163,Montana,"W, 95-83",75,Home,4-0,,
2025,Utah St.,Utah St.,Fri Nov 22,49,62,Iowa,"W, 77-69",77,Neutral,5-0,,
2025,Utah St.,Utah St.,Thu Nov 28,44,123,St. Bonaventure,"W, 72-67",68,Neutral,6-0,,
2025,Utah St.,Utah St.,Fri Nov 29,47,71,North Texas,"W, 61-57",63,Neutral,7-0,,
2025,Utah St.,Utah St.,Wed Dec 4,42,185,Wyoming,"W, 70-67",60,Home,8-0,1-0,
2025,Utah St.,Utah St.,Sat Dec 7,56,301,Utah Tech,"W, 92-62",73,Home,9-0,,
2025,Utah St.,Utah St.,Sat Dec 14,50,196,South Florida,"W, 88-67",71,Home,10-0,,
2025,Utah St.,Utah St.,Tue Dec 17,46,39,UC San Diego,"L, 75-73",72,Home,10-1,,
2025,Utah St.,Utah St.,Sun Dec 22,52,25,Saint Mary's,"W, 75-68",66,Away,11-1,,
2025,Utah St.,Utah St.,Sat Dec 28,46,51,San Diego St.,"W, 67-66",70,Away,12-1,2-0,
2025,Utah St.,Utah St.,Tue Dec 31,44,78,Nevada,"W, 69-64",64,Away,13-1,3-0,
2025,Utah St.,Utah St.,Sat Jan 4,41,259,Fresno St.,"W, 89-83",77,Home,14-1,4-0,
2025,Utah St.,Utah St.,Tue Jan 7,46,169,San Jose St.,"W, 85-78",65,Away,15-1,5-0,
2025,Utah St.,Utah St.,Sat Jan 11,43,49,Boise St.,"W, 81-79",58,Home,16-1,6-0,
2025,Utah St.,Utah St.,Wed Jan 15,43,93,UNLV,"L, 65-62",61,Away,16-2,6-1,
2025,Utah St.,Utah St.,Wed Jan 22,49,78,Nevada,"W, 90-69",65,Home,17-2,7-1,
2025,Utah St.,Utah St.,Sat Jan 25,43,310,Air Force,"W, 87-58",67,Away,18-2,8-1,
2025,Utah St.,Utah St.,Wed Jan 29,38,93,UNLV,"W, 76-71",70,Home,19-2,9-1,
2025,Utah St.,Utah St.,Sat Feb 1,43,41,New Mexico,"L, 82-63",74,Home,19-3,9-2,
2025,Utah St.,Utah St.,Tue Feb 4,49,185,Wyoming,"W, 71-67",67,Away,20-3,10-2,
2025,Utah St.,Utah St.,Fri Feb 7,49,259,Fresno St.,"W, 89-81",69,Away,21-3,11-2,
2025,Utah St.,Utah St.,Tue Feb 11,52,42,Colorado St.,"W, 93-85",68,Home,22-3,12-2,
2025,Utah St.,Utah St.,Sun Feb 16,51,41,New Mexico,"L, 82-79",68,Away,22-4,12-3,
2025,Utah St.,Utah St.,Wed Feb 19,50,169,San Jose St.,"W, 105-57",68,Home,23-4,13-3,
2025,Utah St.,Utah St.,Sat Feb 22,42,51,San Diego St.,"W, 79-71",63,Home,24-4,14-3,
2025,Utah St.,Utah St.,Wed Feb 26,44,49,Boise St.,"L, 82-65",65,Away,24-5,14-4,
2025,Utah St.,Utah St.,Sat Mar 1,51,42,Colorado St.,"L, 93-66",63,Away,24-6,14-5,
2025,Utah St.,Utah St.,Sat Mar 8,57,310,Air Force,"W, 87-47",59,Home,25-6,15-5,
2025,Utah St.,Utah St.,Thu Mar 13,52,93,UNLV,"W, 70-58",61,Semi-Away,26-6,,Mountain West
2025,Utah St.,Utah St.,Fri Mar 14,52,42,Colorado St.,"L, 83-72",67,Neutral,26-7,,Mountain West
2025,Utah St.,Utah St.,Thu Mar 20,54,20,UCLA,"L, 72-47",59,Neutral,26-8,,NCAA
