Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Wofford,Wofford,Mon Nov 4,110,NR,Erskine,"W, 112-58",83,Home,1-0,,
2025,Wofford,Wofford,Sat Nov 9,115,89,Lipscomb,"L, 78-69",62,Away,1-1,,
2025,Wofford,Wofford,Wed Nov 13,132,233,Presbyterian,"L, 71-68",63,Away,1-2,,
2025,Wofford,Wofford,Sat Nov 16,145,1,Duke,"L, 86-35",64,Away,1-3,,
2025,Wofford,Wofford,Fri Nov 22,164,130,St. Thomas,"W, 81-73",68,Neutral,2-3,,
2025,Wofford,Wofford,Sat Nov 23,148,141,Milwaukee,"L, 76-74",65,Away,2-4,,
2025,Wofford,Wofford,Sun Nov 24,151,207,Portland St.,"L, 79-74",67,Neutral,2-5,,
2025,Wofford,Wofford,Sun Dec 1,162,113,North Alabama,"W, 74-54",67,Home,3-5,,
2025,Wofford,Wofford,Wed Dec 4,145,264,Gardner Webb,"W, 88-64",66,Home,4-5,,
2025,Wofford,Wofford,Sat Dec 7,121,206,Elon,"L, 79-56",66,Away,4-6,,
2025,Wofford,Wofford,Mon Dec 16,146,153,Charleston,"L, 77-67",66,Away,4-7,,
2025,Wofford,Wofford,Wed Dec 18,152,121,Saint Louis,"W, 74-71",63,Away,5-7,,
2025,Wofford,Wofford,Sat Dec 28,143,NR,Kentucky Christian,"W, 100-55",71,Home,6-7,,
2025,Wofford,Wofford,Wed Jan 1,139,143,UNC Greensboro,"L, 68-66",60,Home,6-8,0-1,
2025,Wofford,Wofford,Sat Jan 4,144,142,East Tennessee St.,"W, 81-78",67,Away,7-8,1-1,
2025,Wofford,Wofford,Wed Jan 8,138,338,Western Carolina,"W, 77-69",68,Home,8-8,2-1,
2025,Wofford,Wofford,Mon Jan 13,145,139,Furman,"W, 81-62",62,Away,9-8,3-1,
2025,Wofford,Wofford,Wed Jan 15,122,94,Chattanooga,"L, 83-81",69,Away,9-9,3-2,
2025,Wofford,Wofford,Sat Jan 18,125,258,Mercer,"W, 69-49",65,Home,10-9,4-2,
2025,Wofford,Wofford,Wed Jan 22,109,355,The Citadel,"W, 79-68",63,Home,11-9,5-2,
2025,Wofford,Wofford,Sat Jan 25,116,118,Samford,"L, 77-61",61,Away,11-10,5-3,
2025,Wofford,Wofford,Wed Jan 29,127,287,VMI,"L, 74-67",64,Home,11-11,5-4,
2025,Wofford,Wofford,Sat Feb 1,150,143,UNC Greensboro,"W, 74-62",63,Away,12-11,6-4,
2025,Wofford,Wofford,Wed Feb 5,134,94,Chattanooga,"L, 79-70",64,Home,12-12,6-5,
2025,Wofford,Wofford,Sat Feb 8,146,258,Mercer,"W, 77-66",72,Away,13-12,7-5,
2025,Wofford,Wofford,Wed Feb 12,140,355,The Citadel,"W, 74-71",65,Away,14-12,8-5,
2025,Wofford,Wofford,Sat Feb 15,146,118,Samford,"L, 76-68",68,Home,14-13,8-6,
2025,Wofford,Wofford,Wed Feb 19,145,287,VMI,"W, 82-43",69,Away,15-13,9-6,
2025,Wofford,Wofford,Sat Feb 22,128,142,East Tennessee St.,"L, 73-68",62,Home,15-14,9-7,
2025,Wofford,Wofford,Wed Feb 26,133,338,Western Carolina,"W, 90-67",68,Away,16-14,10-7,
2025,Wofford,Wofford,Sat Mar 1,125,139,Furman,"L, 78-75",67,Home,16-15,10-8,
2025,Wofford,Wofford,Sat Mar 8,132,142,East Tennessee St.,"W, 72-60",60,Neutral,17-15,,Southern
2025,Wofford,Wofford,Sun Mar 9,126,287,VMI,"W, 85-65",60,Neutral,18-15,,Southern
2025,Wofford,Wofford,Mon Mar 10,120,139,Furman,"W, 92-85",67,Neutral,19-15,,Southern
2025,Wofford,Wofford,Thu Mar 20,122,5,Tennessee,"L, 77-62",60,Neutral,19-16,,NCAA
