Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2025,Yale,Yale,Mon Nov 4,109,213,Quinnipiac,"W, 88-62",72,Home,1-0,,
2025,Yale,Yale,Fri Nov 8,102,171,Illinois Chicago,"L, 91-79",77,Away,1-1,,
2025,Yale,Yale,Mon Nov 11,114,15,Purdue,"L, 92-84",73,Away,1-2,,
2025,Yale,Yale,Wed Nov 13,106,NR,Emerson,"W, 100-46",72,Home,2-2,,
2025,Yale,Yale,Sat Nov 16,104,83,Minnesota,"L, 59-56",54,Away,2-3,,
2025,Yale,Yale,Wed Nov 20,106,333,Stony Brook,"W, 86-64",71,Away,3-3,,
2025,Yale,Yale,Sat Nov 23,93,334,Fairfield,"W, 91-66",61,Neutral,4-3,,
2025,Yale,Yale,Sun Nov 24,84,235,Delaware,"L, 100-94",75,Neutral,4-4,,
2025,Yale,Yale,Mon Dec 2,98,157,Rhode Island,"L, 84-78",75,Away,4-5,,
2025,Yale,Yale,Sat Dec 7,106,242,Vermont,"W, 65-50",63,Home,5-5,,
2025,Yale,Yale,Fri Dec 20,102,100,Akron,"W, 74-58",72,Neutral,6-5,,
2025,Yale,Yale,Sat Dec 21,92,162,UTEP,"L, 75-74",70,Away,6-6,,
2025,Yale,Yale,Wed Jan 1,93,314,Howard,"W, 93-65",65,Home,7-6,,
2025,Yale,Yale,Sat Jan 11,81,208,Brown,"W, 79-58",65,Home,8-6,1-0,
2025,Yale,Yale,Sat Jan 18,75,279,Columbia,"W, 92-88",77,Away,9-6,2-0,
2025,Yale,Yale,Mon Jan 20,79,203,Dartmouth,"W, 83-67",76,Home,10-6,3-0,
2025,Yale,Yale,Sat Jan 25,82,256,Harvard,"W, 84-55",67,Home,11-6,4-0,
2025,Yale,Yale,Fri Jan 31,73,177,Princeton,"W, 77-70",65,Away,12-6,5-0,
2025,Yale,Yale,Sat Feb 1,72,294,Penn,"W, 90-61",71,Away,13-6,6-0,
2025,Yale,Yale,Sat Feb 8,70,129,Cornell,"W, 103-88",75,Away,14-6,7-0,
2025,Yale,Yale,Fri Feb 14,63,294,Penn,"W, 72-71",63,Home,15-6,8-0,
2025,Yale,Yale,Sat Feb 15,68,177,Princeton,"W, 84-57",66,Home,16-6,9-0,
2025,Yale,Yale,Fri Feb 21,65,129,Cornell,"W, 92-88",73,Home,17-6,10-0,
2025,Yale,Yale,Sat Feb 22,65,279,Columbia,"W, 90-64",73,Home,18-6,11-0,
2025,Yale,Yale,Fri Feb 28,65,203,Dartmouth,"W, 72-67",70,Away,19-6,12-0,
2025,Yale,Yale,Sat Mar 1,66,256,Harvard,"L, 74-69",66,Away,19-7,12-1,
2025,Yale,Yale,Sat Mar 8,74,208,Brown,"W, 70-61",65,Away,20-7,13-1,
2025,Yale,Yale,Sat Mar 15,71,177,Princeton,"W, 59-57",60,Neutral,21-7,,Ivy League
2025,Yale,Yale,Sun Mar 16,74,129,Cornell,"W, 90-84",67,Neutral,22-7,,Ivy League
2025,Yale,Yale,Thu Mar 20,74,18,Texas A&M,"L, 80-71",71,Neutral,22-8,,NCAA
