Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Cal Baptist,Cal Baptist,Mon Nov 3,192,302,USC Upstate,"W, 87-75",71,Home,1-0,,
2026,Cal Baptist,Cal Baptist,Fri Nov 7,185,107,UC Irvine,"W, 69-61",72,Away,2-0,,
2026,Cal Baptist,Cal Baptist,Fri Nov 14,152,364,Western Illinois,"W, 69-59",63,Home,3-0,,
2026,Cal Baptist,Cal Baptist,Tue Nov 18,153,261,UC Riverside,"W, 80-57",76,Home,4-0,,
2026,Cal Baptist,Cal Baptist,Fri Nov 21,142,298,Grambling St.,"W, 72-59",64,Home,5-0,,
2026,Cal Baptist,Cal Baptist,Tue Nov 25,140,226,San Diego,"W, 76-61",71,Neutral,6-0,,
2026,Cal Baptist,Cal Baptist,Sat Nov 29,138,179,Oregon St.,"W, 75-69",67,Away,7-0,,
2026,Cal Baptist,Cal Baptist,Mon Dec 1,130,70,Colorado,"L, 78-70",68,Away,7-1,,
2026,Cal Baptist,Cal Baptist,Wed Dec 3,129,24,BYU,"L, 91-60",69,Semi-Away,7-2,,
2026,Cal Baptist,Cal Baptist,Sat Dec 6,137,128,Utah,"L, 91-85",71,Away,7-3,,
2026,Cal Baptist,Cal Baptist,Fri Dec 12,131,171,Eastern Washington,"W, 88-83",71,Away,8-3,,
2026,Cal Baptist,Cal Baptist,Tue Dec 16,129,277,Southern,"W, 75-67",69,Home,9-3,,
2026,Cal Baptist,Cal Baptist,Sat Dec 20,126,266,Sacramento St.,"W, 74-67",68,Home,10-3,,
2026,Cal Baptist,Cal Baptist,Mon Dec 29,127,92,Utah Valley,"L, 73-66",70,Away,10-4,0-1,
2026,Cal Baptist,Cal Baptist,Thu Jan 1,128,154,UT Arlington,"L, 63-51",64,Away,10-5,0-2,
2026,Cal Baptist,Cal Baptist,Sat Jan 3,140,220,Tarleton St.,"L, 81-76",75,Away,10-6,0-3,
2026,Cal Baptist,Cal Baptist,Thu Jan 8,142,189,Utah Tech,"W, 84-72",62,Home,11-6,1-3,
2026,Cal Baptist,Cal Baptist,Sat Jan 10,139,252,Southern Utah,"W, 58-55",61,Home,12-6,2-3,
2026,Cal Baptist,Cal Baptist,Thu Jan 15,150,245,Abilene Christian,"W, 74-58",64,Away,13-6,3-3,
2026,Cal Baptist,Cal Baptist,Wed Jan 21,138,189,Utah Tech,"W, 73-64",62,Home,14-6,4-3,
2026,Cal Baptist,Cal Baptist,Sat Jan 24,134,92,Utah Valley,"W, 78-71",76,Home,15-6,5-3,
2026,Cal Baptist,Cal Baptist,Sat Jan 31,129,154,UT Arlington,"W, 87-77",78,Away,16-6,6-3,
2026,Cal Baptist,Cal Baptist,Thu Feb 5,120,220,Tarleton St.,"W, 56-55",66,Home,17-6,7-3,
2026,Cal Baptist,Cal Baptist,Sat Feb 7,120,245,Abilene Christian,"W, 65-63",68,Home,18-6,8-3,
2026,Cal Baptist,Cal Baptist,Thu Feb 12,125,252,Southern Utah,"W, 83-66",68,Away,19-6,9-3,
2026,Cal Baptist,Cal Baptist,Sat Feb 14,118,189,Utah Tech,"L, 70-65",64,Away,19-7,9-4,
2026,Cal Baptist,Cal Baptist,Thu Feb 19,122,92,Utah Valley,"L, 65-46",65,Away,19-8,9-5,
2026,Cal Baptist,Cal Baptist,Thu Feb 26,126,154,UT Arlington,"W, 68-56",63,Home,20-8,10-5,
2026,Cal Baptist,Cal Baptist,Sat Feb 28,122,220,Tarleton St.,"W, 82-67",67,Home,21-8,11-5,
2026,Cal Baptist,Cal Baptist,Thu Mar 5,119,245,Abilene Christian,"W, 87-48",72,Home,22-8,12-5,
2026,Cal Baptist,Cal Baptist,Sat Mar 7,112,252,Southern Utah,"W, 82-75",70,Away,23-8,13-5,
2026,Cal Baptist,Cal Baptist,Fri Mar 13,112,189,Utah Tech,"W, 86-72",70,Neutral,24-8,,Western Athletic
2026,Cal Baptist,Cal Baptist,Sat Mar 14,108,92,Utah Valley,"W, 63-61",66,Neutral,25-8,,Western Athletic
2026,Cal Baptist,Cal Baptist,Fri Mar 20,106,21,Kansas,"L, 68-60",69,Neutral,25-9,,NCAA
