Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Connecticut,Connecticut,Mon Nov 3,5,328,New Haven,"W, 79-55",67,Home,1-0,,
2026,Connecticut,Connecticut,Fri Nov 7,7,320,UMass Lowell,"W, 110-47",75,Home,2-0,,
2026,Connecticut,Connecticut,Mon Nov 10,6,193,Columbia,"W, 89-62",67,Home,3-0,,
2026,Connecticut,Connecticut,Sat Nov 15,6,24,BYU,"W, 86-84",74,Semi-Home,4-0,,
2026,Connecticut,Connecticut,Wed Nov 19,6,2,Arizona,"L, 71-67",63,Home,4-1,,
2026,Connecticut,Connecticut,Sun Nov 23,9,355,Bryant,"W, 72-49",65,Home,5-1,,
2026,Connecticut,Connecticut,Fri Nov 28,11,5,Illinois,"W, 74-61",66,Semi-Home,6-1,,
2026,Connecticut,Connecticut,Tue Dec 2,7,21,Kansas,"W, 61-56",62,Away,7-1,,
2026,Connecticut,Connecticut,Fri Dec 5,6,288,East Texas A&M,"W, 83-59",66,Home,8-1,,
2026,Connecticut,Connecticut,Tue Dec 9,7,6,Florida,"W, 77-73",68,Semi-Home,9-1,,
2026,Connecticut,Connecticut,Fri Dec 12,7,31,Texas,"W, 71-63",66,Home,10-1,,
2026,Connecticut,Connecticut,Tue Dec 16,7,84,Butler,"W, 79-60",70,Home,11-1,1-0,
2026,Connecticut,Connecticut,Sun Dec 21,7,99,DePaul,"W, 72-54",68,Away,12-1,2-0,
2026,Connecticut,Connecticut,Wed Dec 31,7,94,Xavier,"W, 90-67",73,Away,13-1,3-0,
2026,Connecticut,Connecticut,Sun Jan 4,6,83,Marquette,"W, 73-57",68,Home,14-1,4-0,
2026,Connecticut,Connecticut,Wed Jan 7,7,67,Providence,"W, 103-98",83,Away,15-1,5-0,
2026,Connecticut,Connecticut,Sat Jan 10,8,99,DePaul,"W, 72-60",65,Home,16-1,6-0,
2026,Connecticut,Connecticut,Tue Jan 13,9,51,Seton Hall,"W, 69-64",65,Away,17-1,7-0,
2026,Connecticut,Connecticut,Sat Jan 17,9,74,Georgetown,"W, 64-62",59,Away,18-1,8-0,
2026,Connecticut,Connecticut,Sat Jan 24,11,33,Villanova,"W, 75-67",64,Home,19-1,9-0,
2026,Connecticut,Connecticut,Tue Jan 27,10,67,Providence,"W, 87-81",72,Home,20-1,10-0,
2026,Connecticut,Connecticut,Sat Jan 31,13,76,Creighton,"W, 85-58",59,Away,21-1,11-0,
2026,Connecticut,Connecticut,Tue Feb 3,10,94,Xavier,"W, 92-60",68,Home,22-1,12-0,
2026,Connecticut,Connecticut,Fri Feb 6,8,13,St. John's,"L, 81-72",69,Away,22-2,12-1,
2026,Connecticut,Connecticut,Wed Feb 11,8,84,Butler,"W, 80-70",60,Away,23-2,13-1,
2026,Connecticut,Connecticut,Sat Feb 14,8,74,Georgetown,"W, 79-75",65,Home,24-2,14-1,
2026,Connecticut,Connecticut,Wed Feb 18,9,76,Creighton,"L, 91-84",75,Home,24-3,14-2,
2026,Connecticut,Connecticut,Sat Feb 21,13,33,Villanova,"W, 73-63",63,Away,25-3,15-2,
2026,Connecticut,Connecticut,Wed Feb 25,12,13,St. John's,"W, 72-40",58,Home,26-3,16-2,
2026,Connecticut,Connecticut,Sat Feb 28,9,51,Seton Hall,"W, 71-67",63,Home,27-3,17-2,
2026,Connecticut,Connecticut,Sat Mar 7,9,83,Marquette,"L, 68-62",67,Away,27-4,17-3,
2026,Connecticut,Connecticut,Thu Mar 12,10,94,Xavier,"W, 93-68",64,Neutral,28-4,,Big East
2026,Connecticut,Connecticut,Fri Mar 13,10,74,Georgetown,"W, 67-51",60,Neutral,29-4,,Big East
2026,Connecticut,Connecticut,Sat Mar 14,9,13,St. John's,"L, 72-52",63,Semi-Away,29-5,,Big East
2026,Connecticut,Connecticut,Fri Mar 20,10,184,Furman,"W, 82-71",65,Neutral,30-5,,NCAA
2026,Connecticut,Connecticut,Sun Mar 22,10,28,UCLA,"W, 73-57",63,Neutral,31-5,,NCAA
2026,Connecticut,Connecticut,Fri Mar 27,10,10,Michigan St.,"W, 67-63",64,Neutral,32-5,,NCAA
2026,Connecticut,Connecticut,Sun Mar 29,10,3,Duke,"W, 73-72",63,Neutral,33-5,,NCAA
2026,Connecticut,Connecticut,Sat Apr 4,9,5,Illinois,"W, 71-62",64,Neutral,34-5,,NCAA
2026,Connecticut,Connecticut,Mon Apr 6,9,1,Michigan,"L, 69-63",65,Neutral,34-6,,NCAA
