Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Hofstra,Hofstra,Mon Nov 3,162,53,UCF,"L, 82-78",73,Away,0-1,,
2026,Hofstra,Hofstra,Fri Nov 7,145,256,Iona,"L, 81-73",75,Away,0-2,,
2026,Hofstra,Hofstra,Mon Nov 10,159,NR,Molloy,"W, 95-61",78,Home,1-2,,
2026,Hofstra,Hofstra,Fri Nov 14,155,331,Bucknell,"W, 83-77",75,Away,2-2,,
2026,Hofstra,Hofstra,Wed Nov 19,148,159,Temple,"L, 81-76",69,Away,2-3,,
2026,Hofstra,Hofstra,Fri Nov 28,156,228,La Salle,"W, 63-58",66,Semi-Away,3-3,,
2026,Hofstra,Hofstra,Sat Nov 29,149,177,Merrimack,"W, 78-58",67,Neutral,4-3,,
2026,Hofstra,Hofstra,Sun Nov 30,145,156,Penn,"W, 77-60",67,Away,5-3,,
2026,Hofstra,Hofstra,Wed Dec 3,133,193,Columbia,"L, 72-70",66,Away,5-4,,
2026,Hofstra,Hofstra,Sun Dec 7,131,98,Pittsburgh,"W, 80-73",62,Away,6-4,,
2026,Hofstra,Hofstra,Wed Dec 10,118,NR,Old Westbury,"W, 92-23",64,Home,7-4,,
2026,Hofstra,Hofstra,Sat Dec 13,119,87,Syracuse,"W, 70-69",58,Away,8-4,,
2026,Hofstra,Hofstra,Sun Dec 21,109,217,Quinnipiac,"W, 74-66",67,Home,9-4,,
2026,Hofstra,Hofstra,Mon Dec 29,106,185,Campbell,"W, 86-72",66,Home,10-4,1-0,
2026,Hofstra,Hofstra,Sat Jan 3,101,223,Drexel,"W, 70-67",59,Away,11-4,2-0,
2026,Hofstra,Hofstra,Thu Jan 8,102,157,Towson,"W, 78-67",67,Away,12-4,3-0,
2026,Hofstra,Hofstra,Sat Jan 10,97,181,Monmouth,"W, 67-64",71,Home,13-4,4-0,
2026,Hofstra,Hofstra,Thu Jan 15,99,229,Stony Brook,"L, 76-71",59,Away,13-5,4-1,
2026,Hofstra,Hofstra,Sat Jan 17,104,231,Elon,"L, 89-85",66,Home,13-6,4-2,
2026,Hofstra,Hofstra,Thu Jan 22,109,290,North Carolina A&T,"L, 79-78",66,Away,13-7,4-3,
2026,Hofstra,Hofstra,Sat Jan 24,113,145,William & Mary,"L, 89-82",67,Away,13-8,4-4,
2026,Hofstra,Hofstra,Thu Jan 29,115,174,Charleston,"L, 66-64",68,Home,13-9,4-5,
2026,Hofstra,Hofstra,Sat Jan 31,117,181,Monmouth,"W, 73-57",65,Away,14-9,5-5,
2026,Hofstra,Hofstra,Thu Feb 5,115,287,Northeastern,"W, 80-63",66,Home,15-9,6-5,
2026,Hofstra,Hofstra,Sat Feb 7,110,157,Towson,"W, 71-49",62,Home,16-9,7-5,
2026,Hofstra,Hofstra,Thu Feb 12,104,174,Charleston,"W, 66-62",70,Away,17-9,8-5,
2026,Hofstra,Hofstra,Sat Feb 14,102,114,UNC Wilmington,"L, 70-66",61,Away,17-10,8-6,
2026,Hofstra,Hofstra,Thu Feb 19,103,272,Hampton,"W, 79-43",61,Home,18-10,9-6,
2026,Hofstra,Hofstra,Sat Feb 21,93,287,Northeastern,"W, 82-68",64,Away,19-10,10-6,
2026,Hofstra,Hofstra,Sat Feb 28,94,229,Stony Brook,"W, 67-58",69,Home,20-10,11-6,
2026,Hofstra,Hofstra,Tue Mar 3,92,223,Drexel,"W, 62-51",57,Home,21-10,12-6,
2026,Hofstra,Hofstra,Sun Mar 8,92,145,William & Mary,"W, 92-61",66,Neutral,22-10,,Coastal Athletic Association
2026,Hofstra,Hofstra,Mon Mar 9,84,157,Towson,"W, 68-65",62,Neutral,23-10,,Coastal Athletic Association
2026,Hofstra,Hofstra,Tue Mar 10,87,181,Monmouth,"W, 75-69",66,Neutral,24-10,,Coastal Athletic Association
2026,Hofstra,Hofstra,Fri Mar 20,85,12,Alabama,"L, 90-70",70,Neutral,24-11,,NCAA
