Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Howard,Howard,Mon Nov 3,308,54,Missouri,"L, 88-67",72,Home,0-1,,
2026,Howard,Howard,Thu Nov 6,311,NR,UDC,"W, 103-71",73,Home,1-1,,
2026,Howard,Howard,Sun Nov 9,311,298,Grambling St.,"L, 73-70",65,Home,1-2,,
2026,Howard,Howard,Thu Nov 13,318,346,Alcorn St.,"W, 72-64",67,Home,2-2,,
2026,Howard,Howard,Wed Nov 19,313,303,Stetson,"L, 64-60",68,Away,2-3,,
2026,Howard,Howard,Sat Nov 22,320,337,Niagara,"W, 80-70",76,Neutral,3-3,,
2026,Howard,Howard,Sun Nov 23,307,3,Duke,"L, 93-56",71,Away,3-4,,
2026,Howard,Howard,Wed Nov 26,310,NR,St. Mary's MD,"W, 115-61",79,Home,4-4,,
2026,Howard,Howard,Sat Nov 29,312,273,Mount St. Mary's,"L, 79-75",71,Away,4-5,,
2026,Howard,Howard,Sat Dec 6,312,NR,Bowie St.,"W, 85-69",82,Home,5-5,,
2026,Howard,Howard,Tue Dec 9,314,290,North Carolina A&T,"W, 73-69",68,Away,6-5,,
2026,Howard,Howard,Sat Dec 13,308,272,Hampton,"W, 61-57",68,Semi-Home,7-5,,
2026,Howard,Howard,Tue Dec 16,300,223,Drexel,"W, 74-66",67,Away,8-5,,
2026,Howard,Howard,Sat Dec 20,288,114,UNC Wilmington,"W, 67-66",67,Away,9-5,,
2026,Howard,Howard,Tue Dec 30,268,58,Northwestern,"L, 80-60",64,Away,9-6,,
2026,Howard,Howard,Sat Jan 3,267,356,South Carolina St.,"L, 58-57",70,Away,9-7,0-1,
2026,Howard,Howard,Sat Jan 10,271,350,Maryland Eastern Shore,"L, 69-57",74,Away,9-8,0-2,
2026,Howard,Howard,Mon Jan 12,287,362,Delaware St.,"W, 84-58",64,Home,10-8,1-2,
2026,Howard,Howard,Sat Jan 17,270,351,North Carolina Central,"W, 83-69",69,Away,11-8,2-2,
2026,Howard,Howard,Mon Jan 19,266,NR,Morehouse,"W, 78-69",68,Home,12-8,,
2026,Howard,Howard,Sat Jan 24,261,353,Morgan St.,"L, 78-77",81,Home,12-9,2-3,
2026,Howard,Howard,Sat Jan 31,271,325,Norfolk St.,"W, 88-60",70,Home,13-9,3-3,
2026,Howard,Howard,Mon Feb 2,253,363,Coppin St.,"W, 72-53",62,Away,14-9,4-3,
2026,Howard,Howard,Sat Feb 7,254,356,South Carolina St.,"W, 85-57",75,Home,15-9,5-3,
2026,Howard,Howard,Mon Feb 9,250,81,Yale,"L, 87-81",72,Home,15-10,,
2026,Howard,Howard,Sat Feb 14,244,350,Maryland Eastern Shore,"W, 79-53",64,Home,16-10,6-3,
2026,Howard,Howard,Mon Feb 16,229,362,Delaware St.,"W, 91-59",72,Away,17-10,7-3,
2026,Howard,Howard,Sat Feb 21,221,351,North Carolina Central,"W, 100-67",71,Home,18-10,8-3,
2026,Howard,Howard,Sat Feb 28,217,353,Morgan St.,"W, 84-59",72,Away,19-10,9-3,
2026,Howard,Howard,Mon Mar 2,199,363,Coppin St.,"W, 90-70",71,Home,20-10,10-3,
2026,Howard,Howard,Thu Mar 5,201,325,Norfolk St.,"W, 84-76",69,Away,21-10,11-3,
2026,Howard,Howard,Fri Mar 13,205,356,South Carolina St.,"W, 78-61",74,Neutral,22-10,,Mid-Eastern Athletic
2026,Howard,Howard,Sat Mar 14,204,351,North Carolina Central,"W, 70-63",62,Neutral,23-10,,Mid-Eastern Athletic
2026,Howard,Howard,Tue Mar 17,207,187,UMBC,"W, 86-83",70,Neutral,24-10,,NCAA
2026,Howard,Howard,Thu Mar 19,204,1,Michigan,"L, 101-80",71,Neutral,24-11,,NCAA
