Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Idaho,Idaho,Mon Nov 3,244,140,Washington St.,"W, 83-81",72,Away,1-0,,
2026,Idaho,Idaho,Fri Nov 7,207,NR,Whitman,"W, 94-49",73,Home,2-0,,
2026,Idaho,Idaho,Wed Nov 12,213,226,San Diego,"L, 78-74",67,Away,2-1,,
2026,Idaho,Idaho,Sat Nov 15,217,121,UC San Diego,"L, 75-67",70,Away,2-2,,
2026,Idaho,Idaho,Sat Nov 22,225,NR,Eastern Oregon,"W, 97-68",72,Home,3-2,,
2026,Idaho,Idaho,Wed Nov 26,219,178,CSUN,"W, 78-64",73,Semi-Home,4-2,,
2026,Idaho,Idaho,Fri Nov 28,193,111,Sam Houston St.,"L, 94-68",64,Semi-Home,4-3,,
2026,Idaho,Idaho,Wed Dec 3,236,279,North Dakota,"W, 90-58",69,Home,5-3,,
2026,Idaho,Idaho,Sat Dec 6,210,221,South Dakota St.,"W, 84-81",69,Away,6-3,,
2026,Idaho,Idaho,Wed Dec 10,195,93,Notre Dame,"L, 80-65",63,Away,6-4,,
2026,Idaho,Idaho,Sun Dec 14,194,NR,Evergreen St.,"W, 109-55",73,Home,7-4,,
2026,Idaho,Idaho,Sun Dec 21,186,214,Cal Poly,"W, 83-80",83,Away,8-4,,
2026,Idaho,Idaho,Tue Dec 23,186,327,Cal St. Bakersfield,"L, 64-63",65,Away,8-5,,
2026,Idaho,Idaho,Sat Jan 3,187,171,Eastern Washington,"W, 84-81",69,Home,9-5,1-0,
2026,Idaho,Idaho,Thu Jan 8,193,190,Montana,"L, 79-73",70,Home,9-6,1-1,
2026,Idaho,Idaho,Sat Jan 10,206,134,Montana St.,"W, 92-89",68,Home,10-6,2-1,
2026,Idaho,Idaho,Thu Jan 15,200,255,Idaho St.,"L, 76-68",67,Away,10-7,2-2,
2026,Idaho,Idaho,Sat Jan 17,206,202,Weber St.,"W, 75-67",76,Away,11-7,3-2,
2026,Idaho,Idaho,Thu Jan 22,191,266,Sacramento St.,"W, 86-76",72,Home,12-7,4-2,
2026,Idaho,Idaho,Sat Jan 24,189,148,Portland St.,"L, 69-66",67,Home,12-8,4-3,
2026,Idaho,Idaho,Thu Jan 29,190,143,Northern Colorado,"L, 91-83",76,Away,12-9,4-4,
2026,Idaho,Idaho,Sat Jan 31,189,321,Northern Arizona,"W, 79-62",65,Away,13-9,5-4,
2026,Idaho,Idaho,Thu Feb 5,185,134,Montana St.,"L, 73-66",73,Away,13-10,5-5,
2026,Idaho,Idaho,Sat Feb 7,183,190,Montana,"L, 73-68",72,Away,13-11,5-6,
2026,Idaho,Idaho,Thu Feb 12,181,202,Weber St.,"L, 83-72",64,Home,13-12,5-7,
2026,Idaho,Idaho,Sat Feb 14,196,255,Idaho St.,"W, 99-69",73,Home,14-12,6-7,
2026,Idaho,Idaho,Thu Feb 19,177,148,Portland St.,"L, 77-67",69,Away,14-13,6-8,
2026,Idaho,Idaho,Sat Feb 21,178,266,Sacramento St.,"W, 86-80",73,Away,15-13,7-8,
2026,Idaho,Idaho,Thu Feb 26,174,321,Northern Arizona,"W, 78-58",61,Home,16-13,8-8,
2026,Idaho,Idaho,Sat Feb 28,169,143,Northern Colorado,"L, 76-67",67,Home,16-14,8-9,
2026,Idaho,Idaho,Mon Mar 2,173,171,Eastern Washington,"W, 85-81",67,Away,17-14,9-9,
2026,Idaho,Idaho,Sat Mar 7,173,266,Sacramento St.,"W, 68-45",69,Neutral,18-14,,Big Sky
2026,Idaho,Idaho,Sun Mar 8,167,134,Montana St.,"W, 78-74",67,Neutral,19-14,,Big Sky
2026,Idaho,Idaho,Tue Mar 10,164,171,Eastern Washington,"W, 81-68",72,Neutral,20-14,,Big Sky
2026,Idaho,Idaho,Wed Mar 11,152,190,Montana,"W, 77-66",72,Neutral,21-14,,Big Sky
2026,Idaho,Idaho,Thu Mar 19,149,4,Houston,"L, 78-47",66,Neutral,21-15,,NCAA
