Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,LIU,LIU,Mon Nov 3,287,93,Notre Dame,"L, 89-67",71,Away,0-1,,
2026,LIU,LIU,Thu Nov 6,290,317,IU Indy,"W, 94-90",86,Away,1-1,,
2026,LIU,LIU,Tue Nov 11,282,345,Air Force,"W, 76-72",69,Away,2-1,,
2026,LIU,LIU,Sat Nov 15,272,215,James Madison,"W, 88-79",76,Home,3-1,,
2026,LIU,LIU,Thu Nov 20,247,160,Fordham,"L, 69-53",66,Away,3-2,,
2026,LIU,LIU,Sat Nov 22,276,5,Illinois,"L, 98-58",71,Away,3-3,,
2026,LIU,LIU,Mon Nov 24,278,204,Missouri St.,"W, 75-61",63,Away,4-3,,
2026,LIU,LIU,Tue Dec 2,231,146,Winthrop,"L, 94-92",76,Home,4-4,,
2026,LIU,LIU,Sat Dec 6,233,292,Lehigh,"W, 87-82",73,Away,5-4,,
2026,LIU,LIU,Sat Dec 13,234,228,La Salle,"W, 70-60",66,Home,6-4,,
2026,LIU,LIU,Tue Dec 16,216,102,Mississippi St.,"L, 87-83",72,Away,6-5,,
2026,LIU,LIU,Sat Dec 20,206,192,FIU,"L, 86-79",76,Away,6-6,,
2026,LIU,LIU,Mon Dec 29,212,35,Georgia,"L, 89-74",75,Away,6-7,,
2026,LIU,LIU,Fri Jan 2,206,307,Central Connecticut,"W, 84-78",59,Home,7-7,1-0,
2026,LIU,LIU,Sun Jan 4,198,344,Chicago St.,"W, 74-55",65,Away,8-7,2-0,
2026,LIU,LIU,Thu Jan 8,183,285,Mercyhurst,"W, 60-58",60,Home,9-7,3-0,
2026,LIU,LIU,Sat Jan 10,195,354,Saint Francis,"W, 67-63",71,Home,10-7,4-0,
2026,LIU,LIU,Sat Jan 17,208,336,Fairleigh Dickinson,"W, 66-59",65,Away,11-7,5-0,
2026,LIU,LIU,Mon Jan 19,209,299,Le Moyne,"L, 83-77",71,Away,11-8,5-1,
2026,LIU,LIU,Fri Jan 23,212,333,Stonehill,"W, 66-63",65,Away,12-8,6-1,
2026,LIU,LIU,Thu Jan 29,219,299,Le Moyne,"W, 83-61",76,Home,13-8,7-1,
2026,LIU,LIU,Sat Jan 31,205,307,Central Connecticut,"W, 80-59",66,Away,14-8,8-1,
2026,LIU,LIU,Thu Feb 5,195,328,New Haven,"W, 60-55",63,Home,15-8,9-1,
2026,LIU,LIU,Sat Feb 7,201,333,Stonehill,"W, 61-54",61,Home,16-8,10-1,
2026,LIU,LIU,Thu Feb 12,203,305,Wagner,"W, 67-57",70,Away,17-8,11-1,
2026,LIU,LIU,Sat Feb 14,205,328,New Haven,"L, 55-52",62,Away,17-9,11-2,
2026,LIU,LIU,Mon Feb 16,210,305,Wagner,"W, 83-65",64,Home,18-9,12-2,
2026,LIU,LIU,Thu Feb 19,204,354,Saint Francis,"W, 91-89",77,Away,19-9,13-2,
2026,LIU,LIU,Sat Feb 21,209,285,Mercyhurst,"L, 91-83",70,Away,19-10,13-3,
2026,LIU,LIU,Thu Feb 26,218,344,Chicago St.,"W, 73-56",65,Home,20-10,14-3,
2026,LIU,LIU,Sat Feb 28,213,336,Fairleigh Dickinson,"W, 74-60",63,Home,21-10,15-3,
2026,LIU,LIU,Wed Mar 4,212,344,Chicago St.,"W, 79-75",61,Home,22-10,,NEC
2026,LIU,LIU,Sat Mar 7,215,305,Wagner,"W, 64-56",64,Home,23-10,,NEC
2026,LIU,LIU,Tue Mar 10,217,285,Mercyhurst,"W, 79-70",66,Home,24-10,,NEC
2026,LIU,LIU,Fri Mar 20,214,2,Arizona,"L, 92-58",71,Neutral,24-11,,NCAA
