Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,McNeese,McNeese,Mon Nov 3,101,NR,Champion Christian,"W, 127-65",84,Home,1-0,,
2026,McNeese,McNeese,Fri Nov 7,101,38,Santa Clara,"L, 79-67",67,Away,1-1,,
2026,McNeese,McNeese,Mon Nov 10,110,NR,Biblical Studies,"W, 132-50",77,Home,2-1,,
2026,McNeese,McNeese,Fri Nov 14,104,315,Louisiana,"W, 88-62",67,Home,3-1,,
2026,McNeese,McNeese,Sun Nov 23,95,86,George Washington,"W, 92-86",74,Neutral,4-1,,
2026,McNeese,McNeese,Mon Nov 24,89,127,Murray St.,"W, 73-60",74,Neutral,5-1,,
2026,McNeese,McNeese,Tue Nov 25,87,175,Middle Tennessee,"W, 72-62",57,Neutral,6-1,,
2026,McNeese,McNeese,Mon Dec 1,78,265,Incarnate Word,"L, 71-67",66,Away,6-2,0-1,
2026,McNeese,McNeese,Fri Dec 5,80,282,Northwestern St.,"W, 92-54",67,Home,7-2,1-1,
2026,McNeese,McNeese,Tue Dec 9,78,135,Rhode Island,"W, 66-64",68,Away,8-2,,
2026,McNeese,McNeese,Fri Dec 12,76,288,East Texas A&M,"W, 102-66",79,Home,9-2,2-1,
2026,McNeese,McNeese,Mon Dec 15,70,293,Houston Christian,"W, 78-68",60,Away,10-2,3-1,
2026,McNeese,McNeese,Mon Dec 29,62,1,Michigan,"L, 112-71",83,Away,10-3,,
2026,McNeese,McNeese,Fri Jan 2,70,238,Lamar,"W, 82-70",60,Home,11-3,4-1,
2026,McNeese,McNeese,Mon Jan 5,66,91,Stephen F. Austin,"W, 66-64",61,Home,12-3,5-1,
2026,McNeese,McNeese,Sat Jan 10,75,286,Southeastern Louisiana,"W, 73-61",63,Home,13-3,6-1,
2026,McNeese,McNeese,Mon Jan 12,73,237,Nicholls,"W, 94-68",75,Home,14-3,7-1,
2026,McNeese,McNeese,Sat Jan 17,68,117,UT Rio Grande Valley,"L, 79-76",64,Away,14-4,7-2,
2026,McNeese,McNeese,Mon Jan 19,73,173,Texas A&M Corpus Chris,"W, 69-53",59,Away,15-4,8-2,
2026,McNeese,McNeese,Sat Jan 24,67,194,New Orleans,"W, 82-63",70,Home,16-4,9-2,
2026,McNeese,McNeese,Tue Jan 27,67,286,Southeastern Louisiana,"W, 76-66",66,Away,17-4,10-2,
2026,McNeese,McNeese,Sat Jan 31,68,238,Lamar,"W, 64-63",57,Away,18-4,11-2,
2026,McNeese,McNeese,Mon Feb 2,68,91,Stephen F. Austin,"L, 67-60",70,Away,18-5,11-3,
2026,McNeese,McNeese,Sat Feb 7,69,265,Incarnate Word,"W, 81-64",62,Home,19-5,12-3,
2026,McNeese,McNeese,Mon Feb 9,67,293,Houston Christian,"W, 73-69",68,Home,20-5,13-3,
2026,McNeese,McNeese,Sat Feb 14,75,288,East Texas A&M,"W, 97-54",68,Away,21-5,14-3,
2026,McNeese,McNeese,Mon Feb 16,64,282,Northwestern St.,"W, 75-64",63,Away,22-5,15-3,
2026,McNeese,McNeese,Sat Feb 21,62,173,Texas A&M Corpus Chris,"W, 70-54",66,Home,23-5,16-3,
2026,McNeese,McNeese,Mon Feb 23,61,117,UT Rio Grande Valley,"W, 75-68",69,Home,24-5,17-3,
2026,McNeese,McNeese,Sat Feb 28,67,194,New Orleans,"W, 66-63",65,Away,25-5,18-3,
2026,McNeese,McNeese,Mon Mar 2,69,237,Nicholls,"W, 75-65",67,Away,26-5,19-3,
2026,McNeese,McNeese,Tue Mar 10,68,117,UT Rio Grande Valley,"W, 84-80",85,Home,27-5,,Southland
2026,McNeese,McNeese,Wed Mar 11,69,91,Stephen F. Austin,"W, 76-59",64,Home,28-5,,Southland
2026,McNeese,McNeese,Thu Mar 19,66,11,Vanderbilt,"L, 78-68",64,Neutral,28-6,,NCAA
