Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Miami OH,Miami OH,Mon Nov 3,127,248,Old Dominion,"W, 87-72",75,Home,1-0,,
2026,Miami OH,Miami OH,Fri Nov 7,121,NR,Trinity Christian,"W, 129-49",80,Home,2-0,,
2026,Miami OH,Miami OH,Sat Nov 15,124,345,Air Force,"W, 76-61",67,Away,3-0,,
2026,Miami OH,Miami OH,Thu Nov 20,119,285,Mercyhurst,"W, 76-71",65,Home,4-0,,
2026,Miami OH,Miami OH,Sun Nov 23,126,313,Arkansas Pine Bluff,"W, 111-84",82,Home,5-0,,
2026,Miami OH,Miami OH,Wed Nov 26,126,300,UNC Greensboro,"W, 82-71",73,Neutral,6-0,,
2026,Miami OH,Miami OH,Tue Dec 2,134,NR,Indiana East,"W, 109-65",81,Home,7-0,,
2026,Miami OH,Miami OH,Sat Dec 6,135,348,Maine,"W, 93-61",71,Home,8-0,,
2026,Miami OH,Miami OH,Wed Dec 10,119,242,UNC Asheville,"W, 90-87",78,Away,9-0,,
2026,Miami OH,Miami OH,Sat Dec 13,120,297,Eastern Kentucky,"W, 79-69",67,Away,10-0,,
2026,Miami OH,Miami OH,Tue Dec 16,119,138,Wright St.,"W, 83-76",72,Away,11-0,,
2026,Miami OH,Miami OH,Sat Dec 20,111,296,Ball St.,"W, 86-77",70,Away,12-0,1-0,
2026,Miami OH,Miami OH,Mon Dec 22,113,NR,Milligan,"W, 135-81",79,Home,13-0,,
2026,Miami OH,Miami OH,Tue Dec 30,112,144,Bowling Green,"W, 93-83",76,Away,14-0,2-0,
2026,Miami OH,Miami OH,Sat Jan 3,106,71,Akron,"W, 76-73",72,Home,15-0,3-0,
2026,Miami OH,Miami OH,Tue Jan 6,98,274,Western Michigan,"W, 87-76",74,Home,16-0,4-0,
2026,Miami OH,Miami OH,Fri Jan 9,104,130,Toledo,"W, 87-73",70,Away,17-0,5-0,
2026,Miami OH,Miami OH,Tue Jan 13,97,271,Central Michigan,"W, 100-61",70,Home,18-0,6-0,
2026,Miami OH,Miami OH,Sat Jan 17,87,203,Buffalo,"W, 105-102",84,Home,19-0,7-0,
2026,Miami OH,Miami OH,Tue Jan 20,94,161,Kent St.,"W, 107-101",82,Away,20-0,8-0,
2026,Miami OH,Miami OH,Tue Jan 27,86,198,Massachusetts,"W, 86-84",67,Home,21-0,9-0,
2026,Miami OH,Miami OH,Sat Jan 31,89,334,Northern Illinois,"W, 85-61",73,Home,22-0,10-0,
2026,Miami OH,Miami OH,Tue Feb 3,90,203,Buffalo,"W, 73-71",68,Away,23-0,11-0,
2026,Miami OH,Miami OH,Sat Feb 7,89,209,Marshall,"W, 90-74",71,Away,24-0,,
2026,Miami OH,Miami OH,Fri Feb 13,83,230,Ohio,"W, 90-74",72,Home,25-0,12-0,
2026,Miami OH,Miami OH,Tue Feb 17,85,198,Massachusetts,"W, 86-77",71,Away,26-0,13-0,
2026,Miami OH,Miami OH,Fri Feb 20,87,144,Bowling Green,"W, 91-77",74,Home,27-0,14-0,
2026,Miami OH,Miami OH,Tue Feb 24,84,243,Eastern Michigan,"W, 74-64",71,Away,28-0,15-0,
2026,Miami OH,Miami OH,Fri Feb 27,82,274,Western Michigan,"W, 69-67",68,Away,29-0,16-0,
2026,Miami OH,Miami OH,Tue Mar 3,86,130,Toledo,"W, 74-72",69,Home,30-0,17-0,
2026,Miami OH,Miami OH,Fri Mar 6,88,230,Ohio,"W, 110-108",83,Away,31-0,18-0,
2026,Miami OH,Miami OH,Thu Mar 12,90,198,Massachusetts,"L, 87-83",69,Neutral,31-1,,Mid American
2026,Miami OH,Miami OH,Wed Mar 18,93,48,SMU,"W, 89-79",66,Neutral,32-1,,NCAA
2026,Miami OH,Miami OH,Fri Mar 20,88,14,Tennessee,"L, 78-56",66,Neutral,32-2,,NCAA
