Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Missouri,Missouri,Mon Nov 3,28,196,Howard,"W, 88-67",72,Away,1-0,,
2026,Missouri,Missouri,Fri Nov 7,29,232,Southeast Missouri,"W, 89-84",77,Home,2-0,,
2026,Missouri,Missouri,Sun Nov 9,38,360,VMI,"W, 106-68",76,Home,3-0,,
2026,Missouri,Missouri,Wed Nov 12,37,82,Minnesota,"W, 83-60",62,Home,4-0,,
2026,Missouri,Missouri,Mon Nov 17,29,281,Prairie View A&M,"W, 91-73",76,Home,5-0,,
2026,Missouri,Missouri,Thu Nov 20,33,284,South Dakota,"W, 102-68",74,Home,6-0,,
2026,Missouri,Missouri,Tue Nov 25,33,356,South Carolina St.,"W, 98-66",70,Home,7-0,,
2026,Missouri,Missouri,Fri Nov 28,33,319,Cleveland St.,"W, 86-59",71,Home,8-0,,
2026,Missouri,Missouri,Tue Dec 2,29,93,Notre Dame,"L, 76-71",69,Away,8-1,,
2026,Missouri,Missouri,Sun Dec 7,38,21,Kansas,"L, 80-60",66,Neutral,8-2,,
2026,Missouri,Missouri,Thu Dec 11,45,318,Alabama St.,"W, 85-77",62,Home,9-2,,
2026,Missouri,Missouri,Sun Dec 14,53,240,Bethune Cookman,"W, 82-60",67,Home,10-2,,
2026,Missouri,Missouri,Mon Dec 22,50,5,Illinois,"L, 91-48",62,Neutral,10-3,,
2026,Missouri,Missouri,Sat Jan 3,65,6,Florida,"W, 76-74",68,Home,11-3,1-0,
2026,Missouri,Missouri,Wed Jan 7,60,29,Kentucky,"W, 73-68",68,Away,12-3,2-0,
2026,Missouri,Missouri,Sat Jan 10,52,64,Mississippi,"L, 76-69",67,Away,12-4,2-1,
2026,Missouri,Missouri,Wed Jan 14,54,36,Auburn,"W, 84-74",69,Home,13-4,3-1,
2026,Missouri,Missouri,Sat Jan 17,54,61,LSU,"L, 78-70",62,Away,13-5,3-2,
2026,Missouri,Missouri,Tue Jan 20,55,35,Georgia,"L, 74-72",68,Home,13-6,3-3,
2026,Missouri,Missouri,Sat Jan 24,55,41,Oklahoma,"W, 88-87",75,Home,14-6,4-3,
2026,Missouri,Missouri,Tue Jan 27,56,12,Alabama,"L, 90-64",74,Away,14-7,4-4,
2026,Missouri,Missouri,Sat Jan 31,62,102,Mississippi St.,"W, 84-79",73,Home,15-7,5-4,
2026,Missouri,Missouri,Sat Feb 7,57,96,South Carolina,"W, 78-59",66,Away,16-7,6-4,
2026,Missouri,Missouri,Wed Feb 11,52,39,Texas A&M,"W, 86-85",66,Away,17-7,7-4,
2026,Missouri,Missouri,Sat Feb 14,52,31,Texas,"L, 85-68",64,Home,17-8,7-5,
2026,Missouri,Missouri,Wed Feb 18,55,11,Vanderbilt,"W, 81-80",70,Home,18-8,8-5,
2026,Missouri,Missouri,Sat Feb 21,52,18,Arkansas,"L, 94-86",68,Away,18-9,8-6,
2026,Missouri,Missouri,Tue Feb 24,52,14,Tennessee,"W, 73-69",66,Home,19-9,9-6,
2026,Missouri,Missouri,Sat Feb 28,51,102,Mississippi St.,"W, 88-64",69,Away,20-9,10-6,
2026,Missouri,Missouri,Tue Mar 3,47,41,Oklahoma,"L, 80-64",64,Away,20-10,10-7,
2026,Missouri,Missouri,Sat Mar 7,50,18,Arkansas,"L, 88-84",76,Home,20-11,10-8,
2026,Missouri,Missouri,Thu Mar 12,50,29,Kentucky,"L, 78-72",69,Neutral,20-12,,Southeastern
2026,Missouri,Missouri,Fri Mar 20,52,30,Miami FL,"L, 80-66",67,Neutral,20-13,,NCAA
