Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Nebraska,Nebraska,Mon Nov 3,51,306,West Georgia,"W, 86-53",71,Home,1-0,,
2026,Nebraska,Nebraska,Sat Nov 8,46,192,FIU,"W, 96-66",77,Home,2-0,,
2026,Nebraska,Nebraska,Tue Nov 11,42,350,Maryland Eastern Shore,"W, 69-50",67,Home,3-0,,
2026,Nebraska,Nebraska,Sat Nov 15,46,41,Oklahoma,"W, 105-99",72,Neutral,4-0,,
2026,Nebraska,Nebraska,Thu Nov 20,42,46,New Mexico,"W, 84-72",81,Neutral,5-0,,
2026,Nebraska,Nebraska,Fri Nov 21,40,103,Kansas St.,"W, 86-85",75,Neutral,6-0,,
2026,Nebraska,Nebraska,Tue Nov 25,40,146,Winthrop,"W, 80-73",69,Home,7-0,,
2026,Nebraska,Nebraska,Sat Nov 29,41,302,USC Upstate,"W, 72-63",72,Home,8-0,,
2026,Nebraska,Nebraska,Sun Dec 7,47,76,Creighton,"W, 71-50",64,Home,9-0,,
2026,Nebraska,Nebraska,Wed Dec 10,42,23,Wisconsin,"W, 90-60",70,Home,10-0,1-0,
2026,Nebraska,Nebraska,Sat Dec 13,27,5,Illinois,"W, 83-80",63,Away,11-0,2-0,
2026,Nebraska,Nebraska,Sun Dec 21,21,279,North Dakota,"W, 78-55",67,Home,12-0,,
2026,Nebraska,Nebraska,Tue Dec 30,23,349,New Hampshire,"W, 86-55",69,Home,13-0,,
2026,Nebraska,Nebraska,Fri Jan 2,22,10,Michigan St.,"W, 58-56",65,Home,14-0,3-0,
2026,Nebraska,Nebraska,Mon Jan 5,22,25,Ohio St.,"W, 72-69",68,Away,15-0,4-0,
2026,Nebraska,Nebraska,Sat Jan 10,21,45,Indiana,"W, 83-77",67,Away,16-0,5-0,
2026,Nebraska,Nebraska,Tue Jan 13,17,101,Oregon,"W, 90-55",64,Home,17-0,6-0,
2026,Nebraska,Nebraska,Sat Jan 17,16,58,Northwestern,"W, 77-58",60,Away,18-0,7-0,
2026,Nebraska,Nebraska,Wed Jan 21,12,52,Washington,"W, 76-66",64,Home,19-0,8-0,
2026,Nebraska,Nebraska,Sat Jan 24,12,82,Minnesota,"W, 76-57",65,Away,20-0,9-0,
2026,Nebraska,Nebraska,Tue Jan 27,12,1,Michigan,"L, 75-72",71,Away,20-1,9-1,
2026,Nebraska,Nebraska,Sun Feb 1,12,5,Illinois,"L, 78-69",63,Home,20-2,9-2,
2026,Nebraska,Nebraska,Sat Feb 7,12,125,Rutgers,"W, 80-68",68,Away,21-2,10-2,
2026,Nebraska,Nebraska,Tue Feb 10,12,8,Purdue,"L, 80-77",76,Home,21-3,10-3,
2026,Nebraska,Nebraska,Sat Feb 14,14,58,Northwestern,"W, 68-49",64,Home,22-3,11-3,
2026,Nebraska,Nebraska,Tue Feb 17,11,22,Iowa,"L, 57-52",60,Away,22-4,11-4,
2026,Nebraska,Nebraska,Sat Feb 21,11,139,Penn St.,"W, 87-64",69,Home,23-4,12-4,
2026,Nebraska,Nebraska,Wed Feb 25,11,119,Maryland,"W, 74-61",64,Home,24-4,13-4,
2026,Nebraska,Nebraska,Sat Feb 28,12,77,USC,"W, 82-67",69,Away,25-4,14-4,
2026,Nebraska,Nebraska,Tue Mar 3,11,28,UCLA,"L, 72-52",61,Away,25-5,14-5,
2026,Nebraska,Nebraska,Sun Mar 8,12,22,Iowa,"W, 84-75",74,Home,26-5,15-5,
2026,Nebraska,Nebraska,Fri Mar 13,12,8,Purdue,"L, 74-58",60,Neutral,26-6,,Big Ten
2026,Nebraska,Nebraska,Thu Mar 19,14,150,Troy,"W, 76-47",61,Neutral,27-6,,NCAA
2026,Nebraska,Nebraska,Sat Mar 21,13,11,Vanderbilt,"W, 74-72",64,Neutral,28-6,,NCAA
2026,Nebraska,Nebraska,Thu Mar 26,13,22,Iowa,"L, 77-71",60,Neutral,28-7,,NCAA
