Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Prairie View A&M,Prairie View A&M,Mon Nov 3,326,NR,Biblical Studies,"W, 95-48",83,Home,1-0,,
2026,Prairie View A&M,Prairie View A&M,Wed Nov 5,321,NR,Dallas,"W, 94-53",73,Home,2-0,,
2026,Prairie View A&M,Prairie View A&M,Sat Nov 8,324,73,Wichita St.,"L, 105-62",77,Away,2-1,,
2026,Prairie View A&M,Prairie View A&M,Wed Nov 12,341,79,Oklahoma St.,"L, 94-67",79,Away,2-2,,
2026,Prairie View A&M,Prairie View A&M,Mon Nov 17,343,54,Missouri,"L, 91-73",76,Away,2-3,,
2026,Prairie View A&M,Prairie View A&M,Sat Nov 22,328,224,Tennessee Martin,"L, 69-68",69,Neutral,2-4,,
2026,Prairie View A&M,Prairie View A&M,Sun Nov 23,320,335,North Florida,"W, 85-82",73,Neutral,3-4,,
2026,Prairie View A&M,Prairie View A&M,Sun Nov 30,321,136,North Texas,"L, 72-69",70,Away,3-5,,
2026,Prairie View A&M,Prairie View A&M,Sat Dec 6,298,NR,Champion Christian,"W, 124-62",90,Home,4-5,,
2026,Prairie View A&M,Prairie View A&M,Sat Dec 13,301,284,South Dakota,"L, 97-85",79,Away,4-6,,
2026,Prairie View A&M,Prairie View A&M,Sat Dec 20,310,NR,Paul Quinn,"W, 101-64",83,Home,5-6,,
2026,Prairie View A&M,Prairie View A&M,Mon Dec 22,309,61,LSU,"L, 104-90",75,Away,5-7,,
2026,Prairie View A&M,Prairie View A&M,Mon Dec 29,299,39,Texas A&M,"L, 111-82",86,Away,5-8,,
2026,Prairie View A&M,Prairie View A&M,Sat Jan 3,299,298,Grambling St.,"L, 76-72",75,Away,5-9,0-1,
2026,Prairie View A&M,Prairie View A&M,Mon Jan 5,295,277,Southern,"W, 89-85",76,Away,6-9,1-1,
2026,Prairie View A&M,Prairie View A&M,Sat Jan 10,288,365,Mississippi Valley St.,"W, 70-69",71,Home,7-9,2-1,
2026,Prairie View A&M,Prairie View A&M,Mon Jan 12,303,313,Arkansas Pine Bluff,"W, 73-61",69,Home,8-9,3-1,
2026,Prairie View A&M,Prairie View A&M,Sat Jan 17,291,340,Jackson St.,"L, 82-78",74,Away,8-10,3-2,
2026,Prairie View A&M,Prairie View A&M,Mon Jan 19,299,346,Alcorn St.,"L, 76-75",70,Away,8-11,3-3,
2026,Prairie View A&M,Prairie View A&M,Sat Jan 24,304,318,Alabama St.,"L, 95-80",84,Home,8-12,3-4,
2026,Prairie View A&M,Prairie View A&M,Tue Jan 27,312,304,Alabama A&M,"L, 80-60",68,Home,8-13,3-5,
2026,Prairie View A&M,Prairie View A&M,Sat Jan 31,333,314,Texas Southern,"W, 85-78",74,Home,9-13,4-5,
2026,Prairie View A&M,Prairie View A&M,Sat Feb 7,326,240,Bethune Cookman,"L, 82-76",76,Away,9-14,4-6,
2026,Prairie View A&M,Prairie View A&M,Mon Feb 9,322,308,Florida A&M,"L, 100-96",86,Away,9-15,4-7,
2026,Prairie View A&M,Prairie View A&M,Sat Feb 14,324,277,Southern,"L, 87-82",77,Home,9-16,4-8,
2026,Prairie View A&M,Prairie View A&M,Mon Feb 16,326,298,Grambling St.,"W, 68-63",70,Home,10-16,5-8,
2026,Prairie View A&M,Prairie View A&M,Thu Feb 19,322,365,Mississippi Valley St.,"W, 72-62",68,Away,11-16,6-8,
2026,Prairie View A&M,Prairie View A&M,Sat Feb 21,322,313,Arkansas Pine Bluff,"L, 84-82",68,Away,11-17,6-9,
2026,Prairie View A&M,Prairie View A&M,Thu Feb 26,321,340,Jackson St.,"W, 85-76",74,Home,12-17,7-9,
2026,Prairie View A&M,Prairie View A&M,Sat Feb 28,322,346,Alcorn St.,"W, 72-51",70,Home,13-17,8-9,
2026,Prairie View A&M,Prairie View A&M,Thu Mar 5,317,314,Texas Southern,"W, 70-59",67,Away,14-17,9-9,
2026,Prairie View A&M,Prairie View A&M,Tue Mar 10,312,346,Alcorn St.,"W, 65-56",67,Neutral,15-17,,Southwestern Athletic
2026,Prairie View A&M,Prairie View A&M,Wed Mar 11,307,240,Bethune Cookman,"W, 71-67",66,Neutral,16-17,,Southwestern Athletic
2026,Prairie View A&M,Prairie View A&M,Fri Mar 13,302,304,Alabama A&M,"W, 74-55",63,Neutral,17-17,,Southwestern Athletic
2026,Prairie View A&M,Prairie View A&M,Sat Mar 14,291,277,Southern,"W, 72-66",66,Neutral,18-17,,Southwestern Athletic
2026,Prairie View A&M,Prairie View A&M,Wed Mar 18,288,292,Lehigh,"W, 67-55",65,Neutral,19-17,,NCAA
2026,Prairie View A&M,Prairie View A&M,Fri Mar 20,280,6,Florida,"L, 114-55",69,Neutral,19-18,,NCAA
