Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Queens,Queens,Mon Nov 3,219,146,Winthrop,"L, 81-74",72,Semi-Away,0-1,,
2026,Queens,Queens,Wed Nov 5,214,NR,Lynchburg,"W, 87-76",79,Home,1-1,,
2026,Queens,Queens,Sat Nov 8,215,33,Villanova,"L, 94-74",68,Away,1-2,,
2026,Queens,Queens,Tue Nov 11,226,123,Duquesne,"L, 87-81",86,Away,1-3,,
2026,Queens,Queens,Sat Nov 15,207,294,Sacred Heart,"W, 81-64",70,Home,2-3,,
2026,Queens,Queens,Thu Nov 20,182,300,UNC Greensboro,"W, 101-94",68,Home,3-3,,
2026,Queens,Queens,Sun Nov 23,183,184,Furman,"L, 90-79",63,Away,3-4,,
2026,Queens,Queens,Fri Nov 28,202,17,Virginia,"L, 94-69",64,Away,3-5,,
2026,Queens,Queens,Wed Dec 3,211,361,Gardner Webb,"W, 107-74",73,Home,4-5,,
2026,Queens,Queens,Fri Dec 12,189,356,South Carolina St.,"W, 102-78",72,Home,5-5,,
2026,Queens,Queens,Sun Dec 14,182,80,Wake Forest,"L, 111-73",72,Away,5-6,,
2026,Queens,Queens,Tue Dec 16,197,18,Arkansas,"L, 108-80",80,Away,5-7,,
2026,Queens,Queens,Mon Dec 29,204,36,Auburn,"L, 106-65",74,Away,5-8,,
2026,Queens,Queens,Thu Jan 1,221,297,Eastern Kentucky,"W, 91-89",70,Home,6-8,1-0,
2026,Queens,Queens,Sat Jan 3,227,278,Bellarmine,"W, 98-76",72,Home,7-8,2-0,
2026,Queens,Queens,Thu Jan 8,210,295,Jacksonville,"W, 77-51",65,Away,8-8,3-0,
2026,Queens,Queens,Sat Jan 10,185,335,North Florida,"W, 89-82",73,Away,9-8,4-0,
2026,Queens,Queens,Thu Jan 15,181,244,Florida Gulf Coast,"W, 85-74",71,Away,10-8,5-0,
2026,Queens,Queens,Sat Jan 17,167,303,Stetson,"W, 87-81",70,Away,11-8,6-0,
2026,Queens,Queens,Wed Jan 21,166,343,North Alabama,"W, 87-62",68,Home,12-8,7-0,
2026,Queens,Queens,Sat Jan 24,162,306,West Georgia,"L, 74-66",67,Away,12-9,7-1,
2026,Queens,Queens,Wed Jan 28,178,151,Central Arkansas,"L, 100-90",74,Home,12-10,7-2,
2026,Queens,Queens,Sat Jan 31,186,278,Bellarmine,"L, 78-75",64,Away,12-11,7-3,
2026,Queens,Queens,Thu Feb 5,202,295,Jacksonville,"W, 93-84",71,Home,13-11,8-3,
2026,Queens,Queens,Sat Feb 7,203,335,North Florida,"W, 91-72",69,Home,14-11,9-3,
2026,Queens,Queens,Wed Feb 11,196,172,Austin Peay,"L, 95-87",74,Home,14-12,9-4,
2026,Queens,Queens,Sat Feb 14,208,200,Lipscomb,"W, 87-81",78,Home,15-12,10-4,
2026,Queens,Queens,Wed Feb 18,204,343,North Alabama,"W, 85-78",67,Away,16-12,11-4,
2026,Queens,Queens,Sat Feb 21,200,306,West Georgia,"W, 91-84",72,Home,17-12,12-4,
2026,Queens,Queens,Wed Feb 25,202,297,Eastern Kentucky,"W, 96-79",71,Away,18-12,13-4,
2026,Queens,Queens,Sat Feb 28,193,151,Central Arkansas,"L, 84-79",71,Away,18-13,13-5,
2026,Queens,Queens,Fri Mar 6,191,306,West Georgia,"W, 71-63",73,Neutral,19-13,,ASUN
2026,Queens,Queens,Sat Mar 7,192,172,Austin Peay,"W, 90-83",73,Neutral,20-13,,ASUN
2026,Queens,Queens,Sun Mar 8,186,151,Central Arkansas,"W, 98-93",80,Neutral,21-13,,ASUN
2026,Queens,Queens,Fri Mar 20,183,8,Purdue,"L, 104-71",68,Neutral,21-14,,NCAA
