Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Santa Clara,Santa Clara,Tue Nov 4,105,NR,Cal Poly Humboldt,"W, 83-53",73,Home,1-0,,
2026,Santa Clara,Santa Clara,Fri Nov 7,107,65,McNeese,"W, 79-67",67,Home,2-0,,
2026,Santa Clara,Santa Clara,Mon Nov 10,98,94,Xavier,"W, 87-68",72,Away,3-0,,
2026,Santa Clara,Santa Clara,Sat Nov 15,75,72,Nevada,"W, 98-83",70,Home,4-0,,
2026,Santa Clara,Santa Clara,Tue Nov 18,68,255,Idaho St.,"W, 64-55",64,Home,5-0,,
2026,Santa Clara,Santa Clara,Fri Nov 21,73,315,Louisiana,"W, 80-43",66,Home,6-0,,
2026,Santa Clara,Santa Clara,Thu Nov 27,53,34,Saint Louis,"L, 71-70",71,Neutral,6-1,,
2026,Santa Clara,Santa Clara,Fri Nov 28,54,82,Minnesota,"W, 86-75",67,Neutral,7-1,,
2026,Santa Clara,Santa Clara,Wed Dec 3,50,189,Utah Tech,"W, 90-80",76,Home,8-1,,
2026,Santa Clara,Santa Clara,Sat Dec 6,49,46,New Mexico,"L, 98-71",72,Away,8-2,,
2026,Santa Clara,Santa Clara,Sat Dec 13,64,66,Arizona St.,"L, 82-79",73,Neutral,8-3,,
2026,Santa Clara,Santa Clara,Wed Dec 17,65,136,North Texas,"W, 63-60",68,Semi-Home,9-3,,
2026,Santa Clara,Santa Clara,Sat Dec 20,71,280,Loyola Chicago,"L, 80-78",68,Semi-Home,9-4,,
2026,Santa Clara,Santa Clara,Sun Dec 28,80,179,Oregon St.,"W, 102-64",69,Away,10-4,1-0,
2026,Santa Clara,Santa Clara,Tue Dec 30,58,206,Portland,"W, 92-85",71,Away,11-4,2-0,
2026,Santa Clara,Santa Clara,Fri Jan 2,58,263,Pepperdine,"W, 82-63",75,Home,12-4,3-0,
2026,Santa Clara,Santa Clara,Sun Jan 4,58,226,San Diego,"W, 98-70",74,Home,13-4,4-0,
2026,Santa Clara,Santa Clara,Thu Jan 8,55,15,Gonzaga,"L, 89-77",73,Away,13-5,4-1,
2026,Santa Clara,Santa Clara,Sat Jan 10,54,165,Loyola Marymount,"W, 103-72",77,Home,14-5,5-1,
2026,Santa Clara,Santa Clara,Wed Jan 14,51,112,Pacific,"W, 85-69",66,Home,15-5,6-1,
2026,Santa Clara,Santa Clara,Sat Jan 17,49,26,Saint Mary's,"W, 62-54",67,Home,16-5,7-1,
2026,Santa Clara,Santa Clara,Sat Jan 24,43,226,San Diego,"W, 85-73",75,Away,17-5,8-1,
2026,Santa Clara,Santa Clara,Wed Jan 28,44,122,San Francisco,"W, 88-73",69,Home,18-5,9-1,
2026,Santa Clara,Santa Clara,Sat Jan 31,44,165,Loyola Marymount,"W, 104-73",78,Away,19-5,10-1,
2026,Santa Clara,Santa Clara,Wed Feb 4,41,112,Pacific,"W, 71-56",64,Away,20-5,11-1,
2026,Santa Clara,Santa Clara,Sat Feb 7,37,140,Washington St.,"W, 96-92",71,Away,21-5,12-1,
2026,Santa Clara,Santa Clara,Wed Feb 11,39,113,Seattle,"W, 84-72",68,Home,22-5,13-1,
2026,Santa Clara,Santa Clara,Sat Feb 14,38,15,Gonzaga,"L, 94-86",76,Home,22-6,13-2,
2026,Santa Clara,Santa Clara,Sat Feb 21,38,122,San Francisco,"W, 94-73",75,Away,23-6,14-2,
2026,Santa Clara,Santa Clara,Wed Feb 25,34,26,Saint Mary's,"L, 86-67",65,Away,23-7,14-3,
2026,Santa Clara,Santa Clara,Sat Feb 28,38,179,Oregon St.,"W, 93-72",68,Home,24-7,15-3,
2026,Santa Clara,Santa Clara,Sun Mar 8,37,112,Pacific,"W, 76-68",59,Neutral,25-7,,West Coast
2026,Santa Clara,Santa Clara,Mon Mar 9,37,26,Saint Mary's,"W, 76-71",62,Neutral,26-7,,West Coast
2026,Santa Clara,Santa Clara,Tue Mar 10,34,15,Gonzaga,"L, 79-68",60,Neutral,26-8,,West Coast
2026,Santa Clara,Santa Clara,Fri Mar 20,38,29,Kentucky,"L, 89-84",75,Neutral,26-9,,NCAA
