Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,TCU,TCU,Mon Nov 3,66,194,New Orleans,"L, 78-74",76,Home,0-1,,
2026,TCU,TCU,Thu Nov 6,92,354,Saint Francis,"W, 104-63",78,Home,1-1,,
2026,TCU,TCU,Mon Nov 10,89,238,Lamar,"W, 78-65",65,Home,2-1,,
2026,TCU,TCU,Fri Nov 14,91,1,Michigan,"L, 67-63",70,Home,2-2,,
2026,TCU,TCU,Wed Nov 19,86,358,Kansas City,"W, 81-45",71,Home,3-2,,
2026,TCU,TCU,Thu Nov 27,75,6,Florida,"W, 84-80",76,Neutral,4-2,,
2026,TCU,TCU,Fri Nov 28,58,23,Wisconsin,"W, 74-63",74,Neutral,5-2,,
2026,TCU,TCU,Fri Dec 5,49,93,Notre Dame,"L, 87-85",75,Home,5-3,,
2026,TCU,TCU,Sun Dec 7,56,136,North Texas,"W, 65-55",67,Neutral,6-3,,
2026,TCU,TCU,Mon Dec 15,56,265,Incarnate Word,"W, 69-65",64,Home,7-3,,
2026,TCU,TCU,Thu Dec 18,63,311,Oral Roberts,"W, 72-53",60,Home,8-3,,
2026,TCU,TCU,Sun Dec 21,61,308,Florida A&M,"W, 80-56",65,Home,9-3,,
2026,TCU,TCU,Mon Dec 29,56,340,Jackson St.,"W, 115-64",74,Home,10-3,,
2026,TCU,TCU,Sat Jan 3,55,50,Baylor,"W, 69-63",64,Home,11-3,1-0,
2026,TCU,TCU,Tue Jan 6,53,21,Kansas,"L, 104-100",86,Away,11-4,1-1,
2026,TCU,TCU,Sat Jan 10,49,2,Arizona,"L, 86-73",74,Home,11-5,1-2,
2026,TCU,TCU,Wed Jan 14,52,24,BYU,"L, 76-70",70,Away,11-6,1-3,
2026,TCU,TCU,Sat Jan 17,52,128,Utah,"L, 82-79",68,Away,11-7,1-4,
2026,TCU,TCU,Tue Jan 20,53,79,Oklahoma St.,"W, 68-65",68,Home,12-7,2-4,
2026,TCU,TCU,Sat Jan 24,53,50,Baylor,"W, 97-90",79,Away,13-7,3-4,
2026,TCU,TCU,Wed Jan 28,49,4,Houston,"L, 79-70",70,Home,13-8,3-5,
2026,TCU,TCU,Sun Feb 1,49,70,Colorado,"L, 87-61",66,Away,13-9,3-6,
2026,TCU,TCU,Sat Feb 7,53,103,Kansas St.,"W, 84-82",71,Home,14-9,4-6,
2026,TCU,TCU,Tue Feb 10,55,7,Iowa St.,"W, 62-55",68,Home,15-9,5-6,
2026,TCU,TCU,Sat Feb 14,53,79,Oklahoma St.,"W, 95-92",76,Away,16-9,6-6,
2026,TCU,TCU,Tue Feb 17,50,53,UCF,"L, 82-71",71,Away,16-10,6-7,
2026,TCU,TCU,Sat Feb 21,51,55,West Virginia,"W, 60-54",60,Home,17-10,7-7,
2026,TCU,TCU,Tue Feb 24,50,66,Arizona St.,"W, 90-78",75,Home,18-10,8-7,
2026,TCU,TCU,Sat Feb 28,50,103,Kansas St.,"W, 77-68",72,Away,19-10,9-7,
2026,TCU,TCU,Tue Mar 3,49,20,Texas Tech,"W, 73-65",64,Away,20-10,10-7,
2026,TCU,TCU,Sat Mar 7,44,43,Cincinnati,"W, 73-63",63,Home,21-10,11-7,
2026,TCU,TCU,Wed Mar 11,44,79,Oklahoma St.,"W, 95-88",69,Neutral,22-10,,Big 12
2026,TCU,TCU,Thu Mar 12,42,21,Kansas,"L, 78-73",75,Neutral,22-11,,Big 12
2026,TCU,TCU,Thu Mar 19,42,25,Ohio St.,"W, 66-64",62,Neutral,23-11,,NCAA
2026,TCU,TCU,Sat Mar 21,43,3,Duke,"L, 81-58",69,Neutral,23-12,,NCAA
