Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2026,Tennessee St.,Tennessee St.,Mon Nov 3,240,NR,Fisk,"W, 101-50",88,Home,1-0,,
2026,Tennessee St.,Tennessee St.,Sat Nov 8,245,69,Belmont,"L, 87-79",81,Away,1-1,,
2026,Tennessee St.,Tennessee St.,Tue Nov 11,230,NR,Oakwood,"W, 114-76",83,Home,2-1,,
2026,Tennessee St.,Tennessee St.,Sun Nov 16,229,167,Western Kentucky,"L, 95-82",77,Away,2-2,,
2026,Tennessee St.,Tennessee St.,Thu Nov 20,241,14,Tennessee,"L, 89-60",79,Away,2-3,,
2026,Tennessee St.,Tennessee St.,Tue Nov 25,233,242,UNC Asheville,"W, 75-73",74,Away,3-3,,
2026,Tennessee St.,Tennessee St.,Sat Nov 29,212,NR,Tennessee Wesleyan,"W, 98-77",86,Neutral,4-3,,
2026,Tennessee St.,Tennessee St.,Sun Nov 30,216,301,Chattanooga,"W, 70-64",65,Away,5-3,,
2026,Tennessee St.,Tennessee St.,Wed Dec 3,197,304,Alabama A&M,"L, 80-53",65,Away,5-4,,
2026,Tennessee St.,Tennessee St.,Sat Dec 13,254,104,UNLV,"W, 63-60",71,Semi-Away,6-4,,
2026,Tennessee St.,Tennessee St.,Thu Dec 18,235,224,Tennessee Martin,"W, 78-71",71,Home,7-4,1-0,
2026,Tennessee St.,Tennessee St.,Sat Dec 20,227,232,Southeast Missouri,"L, 91-82",76,Home,7-5,1-1,
2026,Tennessee St.,Tennessee St.,Tue Dec 30,249,316,Tennessee Tech,"W, 88-76",70,Away,8-5,2-1,
2026,Tennessee St.,Tennessee St.,Sat Jan 3,235,310,Little Rock,"W, 84-79",74,Away,9-5,3-1,
2026,Tennessee St.,Tennessee St.,Thu Jan 8,239,364,Western Illinois,"W, 90-68",72,Away,10-5,4-1,
2026,Tennessee St.,Tennessee St.,Sat Jan 10,227,324,Eastern Illinois,"L, 74-70",68,Away,10-6,4-2,
2026,Tennessee St.,Tennessee St.,Thu Jan 15,228,283,Morehead St.,"W, 105-100",78,Home,11-6,5-2,
2026,Tennessee St.,Tennessee St.,Sat Jan 17,235,341,Southern Indiana,"W, 73-67",67,Home,12-6,6-2,
2026,Tennessee St.,Tennessee St.,Thu Jan 22,239,258,SIUE,"L, 74-66",63,Away,12-7,6-3,
2026,Tennessee St.,Tennessee St.,Sat Jan 24,246,267,Lindenwood,"W, 96-86",78,Away,13-7,7-3,
2026,Tennessee St.,Tennessee St.,Thu Jan 29,239,310,Little Rock,"W, 70-63",69,Home,14-7,8-3,
2026,Tennessee St.,Tennessee St.,Mon Feb 2,239,316,Tennessee Tech,"L, 90-85",69,Home,14-8,8-4,
2026,Tennessee St.,Tennessee St.,Thu Feb 5,252,324,Eastern Illinois,"W, 77-68",69,Home,15-8,9-4,
2026,Tennessee St.,Tennessee St.,Sat Feb 7,251,364,Western Illinois,"W, 83-56",68,Home,16-8,10-4,
2026,Tennessee St.,Tennessee St.,Thu Feb 12,252,341,Southern Indiana,"W, 73-71",66,Away,17-8,11-4,
2026,Tennessee St.,Tennessee St.,Sat Feb 14,254,283,Morehead St.,"L, 94-86",69,Away,17-9,11-5,
2026,Tennessee St.,Tennessee St.,Thu Feb 19,261,267,Lindenwood,"W, 89-80",79,Home,18-9,12-5,
2026,Tennessee St.,Tennessee St.,Sat Feb 21,255,258,SIUE,"W, 80-53",64,Home,19-9,13-5,
2026,Tennessee St.,Tennessee St.,Thu Feb 26,238,232,Southeast Missouri,"W, 79-71",74,Away,20-9,14-5,
2026,Tennessee St.,Tennessee St.,Sat Feb 28,226,224,Tennessee Martin,"W, 67-42",66,Away,21-9,15-5,
2026,Tennessee St.,Tennessee St.,Fri Mar 6,208,224,Tennessee Martin,"W, 68-55",61,Neutral,22-9,,Ohio Valley
2026,Tennessee St.,Tennessee St.,Sat Mar 7,195,283,Morehead St.,"W, 93-67",70,Neutral,23-9,,Ohio Valley
2026,Tennessee St.,Tennessee St.,Fri Mar 20,187,7,Iowa St.,"L, 108-74",78,Neutral,23-10,,NCAA
