Season,Region,Seed,Team
2010,east,1,Kentucky
2010,east,16,ETSU
2010,east,8,Texas
2010,east,9,Wake Forest
2010,east,5,Temple
2010,east,12,Cornell
2010,east,4,Wisconsin
2010,east,13,Wofford
2010,east,6,Marquette
2010,east,11,Washington
2010,east,3,New Mexico
2010,east,14,Montana
2010,east,7,Clemson
2010,east,10,Missouri
2010,east,2,West Virginia
2010,east,15,Morgan State
2010,midwest,1,Kansas
2010,midwest,16,Lehigh
2010,midwest,8,UNLV
2010,midwest,9,Northern Iowa
2010,midwest,5,Michigan State
2010,midwest,12,New Mexico State
2010,midwest,4,Maryland
2010,midwest,13,Houston
2010,midwest,6,Tennessee
2010,midwest,11,San Diego State
2010,midwest,3,Georgetown
2010,midwest,14,Ohio
2010,midwest,7,Oklahoma State
2010,midwest,10,Georgia Tech
2010,midwest,2,Ohio State
2010,midwest,15,UC Santa Barbara
2010,south,1,Duke
2010,south,16,Arkansas-Pine Bluff
2010,south,8,California
2010,south,9,Louisville
2010,south,5,Texas A&M
2010,south,12,Utah State
2010,south,4,Purdue
2010,south,13,Siena
2010,south,6,Notre Dame
2010,south,11,Old Dominion
2010,south,3,Baylor
2010,south,14,Sam Houston
2010,south,7,Richmond
2010,south,10,Saint Mary's
2010,south,2,Villanova
2010,south,15,Robert Morris
2010,west,1,Syracuse
2010,west,16,Vermont
2010,west,8,Gonzaga
2010,west,9,Florida State
2010,west,5,Butler
2010,west,12,UTEP
2010,west,4,Vanderbilt
2010,west,13,Murray State
2010,west,6,Xavier
2010,west,11,Minnesota
2010,west,3,Pitt
2010,west,14,Oakland
2010,west,7,BYU
2010,west,10,Florida
2010,west,2,Kansas State
2010,west,15,North Texas
2011,east,1,Ohio State
2011,east,16,UTSA
2011,east,8,George Mason
2011,east,9,Villanova
2011,east,5,West Virginia
2011,east,12,Clemson
2011,east,4,Kentucky
2011,east,13,Princeton
2011,east,6,Xavier
2011,east,11,Marquette
2011,east,3,Syracuse
2011,east,14,Indiana State
2011,east,7,Washington
2011,east,10,Georgia
2011,east,2,UNC
2011,east,15,LIU
2011,southeast,1,Pitt
2011,southeast,16,UNC Asheville
2011,southeast,8,Butler
2011,southeast,9,Old Dominion
2011,southeast,5,Kansas State
2011,southeast,12,Utah State
2011,southeast,4,Wisconsin
2011,southeast,13,Belmont
2011,southeast,6,St. John's (NY)
2011,southeast,11,Gonzaga
2011,southeast,3,BYU
2011,southeast,14,Wofford
2011,southeast,7,UCLA
2011,southeast,10,Michigan State
2011,southeast,2,Florida
2011,southeast,15,UC Santa Barbara
2011,southwest,1,Kansas
2011,southwest,16,Boston University
2011,southwest,8,UNLV
2011,southwest,9,Illinois
2011,southwest,5,Vanderbilt
2011,southwest,12,Richmond
2011,southwest,4,Louisville
2011,southwest,13,Morehead State
2011,southwest,6,Georgetown
2011,southwest,11,VCU
2011,southwest,3,Purdue
2011,southwest,14,Saint Peter's
2011,southwest,7,Texas A&M
2011,southwest,10,Florida State
2011,southwest,2,Notre Dame
2011,southwest,15,Akron
2011,west,1,Duke
2011,west,16,Hampton
2011,west,8,Michigan
2011,west,9,Tennessee
2011,west,5,Arizona
2011,west,12,Memphis
2011,west,4,Texas
2011,west,13,Oakland
2011,west,6,Cincinnati
2011,west,11,Missouri
2011,west,3,UConn
2011,west,14,Bucknell
2011,west,7,Temple
2011,west,10,Penn State
2011,west,2,San Diego State
2011,west,15,Northern Colorado
2012,east,1,Syracuse
2012,east,16,UNC Asheville
2012,east,8,Kansas State
2012,east,9,Southern Miss
2012,east,5,Vanderbilt
2012,east,12,Harvard
2012,east,4,Wisconsin
2012,east,13,Montana
2012,east,6,Cincinnati
2012,east,11,Texas
2012,east,3,Florida State
2012,east,14,St. Bonaventure
2012,east,7,Gonzaga
2012,east,10,West Virginia
2012,east,2,Ohio State
2012,east,15,Loyola (MD)
2012,midwest,1,UNC
2012,midwest,16,Vermont
2012,midwest,8,Creighton
2012,midwest,9,Alabama
2012,midwest,5,Temple
2012,midwest,12,South Florida
2012,midwest,4,Michigan
2012,midwest,13,Ohio
2012,midwest,6,San Diego State
2012,midwest,11,NC State
2012,midwest,3,Georgetown
2012,midwest,14,Belmont
2012,midwest,7,Saint Mary's
2012,midwest,10,Purdue
2012,midwest,2,Kansas
2012,midwest,15,Detroit Mercy
2012,south,1,Kentucky
2012,south,16,Western Kentucky
2012,south,8,Iowa State
2012,south,9,UConn
2012,south,5,Wichita State
2012,south,12,VCU
2012,south,4,Indiana
2012,south,13,New Mexico State
2012,south,6,UNLV
2012,south,11,Colorado
2012,south,3,Baylor
2012,south,14,South Dakota State
2012,south,7,Notre Dame
2012,south,10,Xavier
2012,south,2,Duke
2012,south,15,Lehigh
2012,west,1,Michigan State
2012,west,16,LIU
2012,west,8,Memphis
2012,west,9,Saint Louis
2012,west,5,New Mexico
2012,west,12,Long Beach State
2012,west,4,Louisville
2012,west,13,Davidson
2012,west,6,Murray State
2012,west,11,Colorado State
2012,west,3,Marquette
2012,west,14,BYU
2012,west,7,Florida
2012,west,10,Virginia
2012,west,2,Missouri
2012,west,15,Norfolk State
2013,east,1,Indiana
2013,east,16,James Madison
2013,east,8,NC State
2013,east,9,Temple
2013,east,5,UNLV
2013,east,12,California
2013,east,4,Syracuse
2013,east,13,Montana
2013,east,6,Butler
2013,east,11,Bucknell
2013,east,3,Marquette
2013,east,14,Davidson
2013,east,7,Illinois
2013,east,10,Colorado
2013,east,2,Miami (FL)
2013,east,15,Pacific
2013,midwest,1,Louisville
2013,midwest,16,North Carolina A&T
2013,midwest,8,Colorado State
2013,midwest,9,Missouri
2013,midwest,5,Oklahoma State
2013,midwest,12,Oregon
2013,midwest,4,Saint Louis
2013,midwest,13,New Mexico State
2013,midwest,6,Memphis
2013,midwest,11,Saint Mary's
2013,midwest,3,Michigan State
2013,midwest,14,Valparaiso
2013,midwest,7,Creighton
2013,midwest,10,Cincinnati
2013,midwest,2,Duke
2013,midwest,15,Albany (NY)
2013,south,1,Kansas
2013,south,16,Western Kentucky
2013,south,8,UNC
2013,south,9,Villanova
2013,south,5,VCU
2013,south,12,Akron
2013,south,4,Michigan
2013,south,13,South Dakota State
2013,south,6,UCLA
2013,south,11,Minnesota
2013,south,3,Florida
2013,south,14,Northwestern State
2013,south,7,San Diego State
2013,south,10,Oklahoma
2013,south,2,Georgetown
2013,south,15,Florida Gulf Coast
2013,west,1,Gonzaga
2013,west,16,Southern
2013,west,8,Pitt
2013,west,9,Wichita State
2013,west,5,Wisconsin
2013,west,12,Ole Miss
2013,west,4,Kansas State
2013,west,13,La Salle
2013,west,6,Arizona
2013,west,11,Belmont
2013,west,3,New Mexico
2013,west,14,Harvard
2013,west,7,Notre Dame
2013,west,10,Iowa State
2013,west,2,Ohio State
2013,west,15,Iona
2014,east,1,Virginia
2014,east,16,Coastal Carolina
2014,east,8,Memphis
2014,east,9,George Washington
2014,east,5,Cincinnati
2014,east,12,Harvard
2014,east,4,Michigan State
2014,east,13,Delaware
2014,east,6,UNC
2014,east,11,Providence
2014,east,3,Iowa State
2014,east,14,North Carolina Central
2014,east,7,UConn
2014,east,10,Saint Joseph's
2014,east,2,Villanova
2014,east,15,Milwaukee
2014,midwest,1,Wichita State
2014,midwest,16,Cal Poly
2014,midwest,8,Kentucky
2014,midwest,9,Kansas State
2014,midwest,5,Saint Louis
2014,midwest,12,NC State
2014,midwest,4,Louisville
2014,midwest,13,Manhattan
